no	UH	no
,	,	,
it	PP	it
is	VBZ	be
not	RB	not
a	DT	a
bad	JJ	bad
film	NN	film
,	,	,
in	IN	in
fact	NN	fact
it	PP	it
is	VBZ	be
so	RB	so
good	JJ	good
in	IN	in
achieving	VBG	achieve
its	PP$	its
purpose	NN	purpose
,	,	,
i	NP	i
actually	RB	actually
wished	VBD	wish
for	IN	for
the	DT	the
film	NN	film
to	TO	to
end	VB	end
itself	PP	itself
quickly	RB	quickly
.	SENT	.
event	NN	event
horizon	NN	horizon
is	VBZ	be
not	RB	not
your	PP$	your
run-of-the-mill	JJ	run-of-the-mill
sci-fi	NN	sci-fi
film	NN	film
,	,	,
i	NNS	i
'm	VBP	be
sure	RB	sure
many	JJ	many
who	WP	who
have	VBP	have
watched	VBN	watch
this	DT	this
will	MD	will
agree	VB	agree
with	IN	with
me	PP	me
.	SENT	.
it	PP	it
is	VBZ	be
not	RB	not
even	RB	even
original	JJ	original
in	IN	in
that	DT	that
sense	NN	sense
,	,	,
and	CC	and
it	PP	it
does	VBZ	do
borrow	VB	borrow
heavily	RB	heavily
from	IN	from
films	NNS	film
like	IN	like
alien	NN	alien
,	,	,
hellraiser	NN	<unknown>
and	CC	and
even	RB	even
blade	NN	blade
runner	NN	runner
.	SENT	.
the	DT	the
magic	NN	magic
of	IN	of
this	DT	this
film	NN	film
lies	VBZ	lie
in	IN	in
its	PP$	its
unorthodox	JJ	unorthodox
setting	NN	setting
and	CC	and
methodical	JJ	methodical
build-up	NN	build-up
that	WDT	that
makes	VBZ	make
it	PP	it
wonderfully	RB	wonderfully
horrifying	VBG	horrify
.	SENT	.
the	DT	the
story	NN	story
brings	VBZ	bring
us	PP	us
to	TO	to
the	DT	the
year	NN	year
2050	CD	@card@
,	,	,
where	WRB	where
space	NN	space
travel	NN	travel
have	VBP	have
since	RB	since
enormously	RB	enormously
progressed	VBN	progress
.	SENT	.
the	DT	the
event	NN	event
horizon	NN	horizon
is	VBZ	be
actually	RB	actually
a	DT	a
ship	NN	ship
built	VBN	build
for	IN	for
a	DT	a
secret	JJ	secret
experimental	JJ	experimental
purpose	NN	purpose
