like	IN	like
a	DT	a
good	JJ	good
action	NN	action
film	NN	film
should	MD	should
,	,	,
"	``	"
metro	NN	metro
"	''	"
has	VBZ	have
action	NN	action
that	WDT	that
keeps	VBZ	keep
you	PP	you
involved	VBD	involve
.	SENT	.
some	DT	some
action	NN	action
films	NNS	film
have	VBP	have
action	NN	action
sequences	NNS	sequence
that	WDT	that
are	VBP	be
so	RB	so
conventional	JJ	conventional
,	,	,
our	PP$	our
attention	NN	attention
is	VBZ	be
detracted	VBN	detract
and	CC	and
diverted	VBN	divert
by	IN	by
other	JJ	other
thoughts	NNS	thought
.	SENT	.
"	''	"
the	DT	the
ghost	NN	ghost
in	IN	in
the	DT	the
darkness	NN	darkness
,	,	,
"	''	"
which	WDT	which
opened	VBD	open
a	DT	a
few	JJ	few
months	NNS	month
ago	RB	ago
,	,	,
is	VBZ	be
a	DT	a
film	NN	film
that		IN	that
s	NN	S
action	NN	action
was	VBD	be
so	RB	so
bland	JJ	bland
and	CC	and
uninvolving	JJ	<unknown>
,	,	,
it	PP	it
not	RB	not
only	RB	only
invited	VBN	invite
my	PP$	my
thoughts	NNS	thought
to	TO	to
divert	VB	divert
me	PP	me
,	,	,
it	PP	it
nearly	RB	nearly
put	VBD	put
me	PP	me
asleep	RB	asleep
.	SENT	.
but	CC	but
"	``	"
metro	NN	metro
"	''	"
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
action	NN	action
films	NNS	film
in	IN	in
a	DT	a
while	NN	while
.	SENT	.
it	PP	it
is	VBZ	be
hip	JJ	hip
,	,	,
sharp	JJ	sharp
,	,	,
nifty	JJ	nifty
,	,	,
and	CC	and
has	VBZ	have
nice	JJ	nice
little	JJ	little
pieces	NNS	piece
of	IN	of
suspense	NN	suspense
and	CC	and
comedy	NN	comedy
.	SENT	.
eddie	NN	<unknown>
murphy	NN	murphy
was	VBD	be
in	IN	in
bad	JJ	bad
shape	NN	shape
for	IN	for
a	DT	a
while	NN	while
.	SENT	.
and	CC	and
this	DT	this
invites	VBZ	invite
me	PP	me
to	TO	to
mention	VB	mention
last	JJ	last
year	NN	year
s	NN	S
"	``	"
the	DT	the
nutty	JJ	nutty
professor	NN	professor
,	,	,
"	''	"
which	WDT	which
was	VBD	be
his	PP$	his
blessed	VBN	bless
revival	NN	revival
back	RB	back
to	TO	to
the	DT	the
position	NN	position
at	IN	at
