many	JJ	many
people	NNS	people
will	MD	will
not	RB	not
find	VB	find
much	RB	much
to	TO	to
like	VB	like
in	IN	in
what	WP	what
dreams	NNS	dream
may	MD	may
come	VB	come
,	,	,
the	DT	the
new	JJ	new
film	NN	film
by	IN	by
visionary	JJ	visionary
director	NN	director
vincent	NN	<unknown>
ward	NN	ward
.	SENT	.
most	JJS	most
will	MD	will
come	VB	come
to	TO	to
see	VB	see
the	DT	the
computer	NN	computer
animated	JJ	animated
landscapes	NNS	landscape
and	CC	and
vibrant	JJ	vibrant
colors	NNS	color
.	SENT	.
but	CC	but
little	RB	little
do	VBP	do
they	PP	they
know	VBP	know
(	(	(
as	IN	as
i	NP	i
so	RB	so
plainly	RB	plainly
found	VBN	find
out	IN	out
)	)	)
that		IN	that
this	DT	this
has	VBZ	have
quite	RB	quite
a	DT	a
complex	JJ	complex
story	NN	story
to	TO	to
tell	VB	tell
.	SENT	.
walking	VBG	walk
out	RP	out
of	IN	of
the	DT	the
theater	NN	theater
,	,	,
i	NP	i
could	MD	could
see	VB	see
the	DT	the
audience	NN	audience
's	POS	's
disgust	NN	disgust
.	SENT	.
.	SENT	.
.	SENT	.
one	CD	one
member	NN	member
even	RB	even
had	VBD	have
to	TO	to
be	VB	be
awakened	VBN	awaken
after	IN	after
the	DT	the
film	NN	film
ended	VBD	end
.	SENT	.
do	VBP	do
n't	RB	n't
believe	VB	believe
the	DT	the
previews	NNS	preview
that	WDT	that
you	PP	you
see	VBP	see
.	SENT	.
.	SENT	.
.	SENT	.
this	DT	this
is	VBZ	be
definitely	RB	definitely
not	RB	not
a	DT	a
film	NN	film
for	IN	for
everyone	NN	everyone
.	SENT	.
this	DT	this
is	VBZ	be
quite	RB	quite
possibly	RB	possibly
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
adult-oriented	JJ	adult-oriented
films	NNS	film
to	TO	to
come	VB	come
out	RP	out
in	IN	in
recent	JJ	recent
years	NNS	year
.	SENT	.
kids	NNS	kid
will	MD	will
get	VB	get
bored	VBN	bore
with	IN	with
the	DT	the
slow	JJ	slow
plotting	VBG	plot
and	CC	and
the	DT	the
complex	JJ	complex
storyline	NN	storyline
.	SENT	.
the	DT	the
plot	NN	plot
is	VBZ	be
