one	CD	one
of	IN	of
the	DT	the
funniest	JJS	funny
carry	NN	carry
on	IN	on
movies	NNS	movie
and	CC	and
the	DT	the
third	JJ	third
with	IN	with
a	DT	a
medical	JJ	medical
setting	NN	setting
.	SENT	.
the	DT	the
main	JJ	main
story	NN	story
is	VBZ	be
about	RB	about
dr	NN	Dr
.	SENT	.
james	NNS	<unknown>
nookey	NN	<unknown>
(	(	(
jim	NN	<unknown>
dale	NN	dale
)	)	)
who	WP	who
is	VBZ	be
disliked	VBN	dislike
by	IN	by
his	PP$	his
superiors	NNS	superior
,	,	,
frederick	NN	<unknown>
carver	NN	carver
,	,	,
head	NN	head
of	IN	of
the	DT	the
hospital	NN	hospital
(	(	(
kenneth	NP	Kenneth
williams	NP	Williams
)	)	)
,	,	,
and	CC	and
dr	NN	Dr
.	SENT	.
ernest	JJ	<unknown>
stoppidge	NN	<unknown>
(	(	(
charles	NNS	<unknown>
hawtrey	NN	<unknown>
)	)	)
who	WP	who
seems	VBZ	seem
to	TO	to
dislike	VB	dislike
everyone	NN	everyone
.	SENT	.
they	PP	they
attempt	VBP	attempt
to	TO	to
cause	VB	cause
him	PP	him
as	IN	as
much	JJ	much
trouble	NN	trouble
in	IN	in
the	DT	the
hospital	NN	hospital
as	IN	as
possible	JJ	possible
and	CC	and
all	RB	all
the	DT	the
blame	NN	blame
is	VBZ	be
laid	VBN	lay
on	IN	on
nookey	NN	<unknown>
.	SENT	.
carver	NN	carver
learns	VBZ	learn
of	IN	of
a	DT	a
possible	JJ	possible
job	NN	job
opportunity	NN	opportunity
from	IN	from
wealthy	JJ	wealthy
ellen	NP	Ellen
moore	NP	Moore
(	(	(
joan	NN	<unknown>
sims	NNS	<unknown>
)	)	)
on	IN	on
a	DT	a
distant	JJ	distant
tropical	JJ	tropical
island	NN	island
and	CC	and
gets	VBZ	get
nookey	NN	<unknown>
trannsferred	NN	<unknown>
there	RB	there
.	SENT	.
when	WRB	when
nookey	NN	<unknown>
arrives	VBZ	arrive
at	IN	at
this	DT	this
island	NN	island
,	,	,
he	PP	he
meets	VBZ	meet
gladstone	NN	<unknown>
screwer	NN	screwer
(	(	(
sid	JJ	<unknown>
james	NNS	<unknown>
)	)	)
who	WP	who
has	VBZ	have
lived	VBN	live
on	IN	on
the	DT	the
island	NN	island
just	RB	just
about	IN	about
all	PDT	all
his	PP$	his
life	NN	life
.	SENT	.
screwer	NN	screwer
is	VBZ	be
in	IN	in
possession	NN	possession
of	IN	of
a	DT	a
wonderful	JJ	wonderful
slimming	JJ	slimming
drug	NN	drug
made	VBN	make
from	IN	from
natural	JJ	natural
ingredients	NNS	ingredient
.	SENT	.
dr	NN	Dr
.	SENT	.
nookey	NN	<unknown>
returns	NNS	return
with	IN	with
the	DT	the
drug	NN	drug
to	TO	to
england	NN	<unknown>
and	CC	and
sets	VBZ	set
up	RP	up
a	DT	a
new	JJ	new
slimming	JJ	slimming
business	NN	business
with	IN	with
ellen	NP	Ellen
moore	NP	Moore
's	POS	's
financial	JJ	financial
backing	NN	backing
.	SENT	.
however	RB	however
,	,	,
nookey	NN	<unknown>
and	CC	and
moore	JJ	<unknown>
face	NN	face
opposition	NN	opposition
from	IN	from
screwer	NN	screwer
who	WP	who
goes	VBZ	go
to	TO	to
england	NN	<unknown>
to	TO	to
cash	VB	cash
in	IN	in
on	IN	on
the	DT	the
drug	NN	drug
,	,	,
and	CC	and
carver	NN	carver
and	CC	and
stoppidge	NN	<unknown>
who	WP	who
want	VBP	want
to	TO	to
know	VB	know
the	DT	the
ingredients	NNS	ingredient
to	TO	to
create	VB	create
a	DT	a
rival	JJ	rival
drug	NN	drug
.	SENT	.
the	DT	the
performances	NNS	performance
are	VBP	be
all	RB	all
very	RB	very
commendable	JJ	commendable
.	SENT	.
sid	JJ	<unknown>
james	NNS	<unknown>
has	VBZ	have
a	DT	a
slightly	RB	slightly
ambiguous	JJ	ambiguous
character	NN	character
to	TO	to
play	VB	play
this	DT	this
time	NN	time
and	CC	and
he	PP	he
excels	VBZ	excel
in	IN	in
his	PP$	his
role	NN	role
.	SENT	.
kenneth	NP	Kenneth
williams	NP	Williams
,	,	,
as	IN	as
usual	JJ	usual
,	,	,
plays	VBZ	play
the	DT	the
unpopular	JJ	unpopular
and	CC	and
cunning	JJ	cunning
head	NN	head
of	IN	of
the	DT	the
hospital	NN	hospital
.	SENT	.
joan	JJ	<unknown>
sims	NN	<unknown>
is	VBZ	be
entertaining	VBG	entertain
as	IN	as
the	DT	the
wealthy	JJ	wealthy
benefactor	NN	benefactor
and	CC	and
jim	NN	<unknown>
dale	NN	dale
should	MD	should
really	RB	really
head	VB	head
the	DT	the
cast	NN	cast
with	IN	with
his	PP$	his
excellent	JJ	excellent
portrayal	NN	portrayal
of	IN	of
bumbling	VBG	bumble
nookey	NN	<unknown>
.	SENT	.
charles	NP	Charles
hawtrey	NP	<unknown>
plays	VBZ	play
an	DT	an
'out-of-character	NN	<unknown>
'	POS	'
role	NN	role
as	IN	as
dr	NN	Dr
.	SENT	.
stoppidge	NP	<unknown>
,	,	,
the	DT	the
nasty	JJ	nasty
and	CC	and
evil	JJ	evil
practitioner	NN	practitioner
who	WP	who
wants	VBZ	want
to	TO	to
knock	VB	knock
nookey	NN	<unknown>
off	IN	off
his	PP$	his
perch	NN	perch
.	SENT	.
some	DT	some
critics	NNS	critic
have	VBP	have
said	VBN	say
that		IN	that
this	DT	this
combination	NN	combination
of	IN	of
hawtrey	NP	<unknown>
and	CC	and
stoppidge	NP	<unknown>
does	VBZ	do
not	RB	not
work	VB	work
well	RB	well
,	,	,
but	CC	but
i	NP	i
think	VBP	think
that		IN	that
it	PP	it
at	IN	at
least	JJS	least
gives	VBZ	give
hawtrey	NN	<unknown>
a	DT	a
new	JJ	new
part	NN	part
to	TO	to
play	VB	play
instead	RB	instead
of	IN	of
the	DT	the
usual	JJ	usual
dimwit	NN	dimwit
characters	NNS	character
.	SENT	.
as	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
hawtrey	NP	<unknown>
is	VBZ	be
suitably	RB	suitably
cunning	JJ	cunning
in	IN	in
the	DT	the
part	NN	part
.	SENT	.
other	JJ	other
regulars	NNS	regular
in	IN	in
the	DT	the
movie	NN	movie
include	VBP	include
