oliver	JJR	olive
stone	NN	stone
's	POS	's
latest	JJS	late
feature	NN	feature
is	VBZ	be
the	DT	the
last	JJ	last
one	CD	one
standing	NN	standing
in	IN	in
the	DT	the
long	JJ	long
line	NN	line
of	IN	of
biographies	NNS	biography
of	IN	of
american	JJ	American
presidents	NNS	president
.	SENT	.
it	PP	it
's	VBZ	be
a	DT	a
three-hour	NN	three-hour
long	JJ	long
saga	NN	saga
about	IN	about
the	DT	the
life	NN	life
of	IN	of
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
hated	VBN	hate
and	CC	and
misunderstood	VBN	misunderstand
leaders	NNS	leader
of	IN	of
the	DT	the
20th	JJ	20th
century	NN	century
.	SENT	.
stone	NN	stone
does	VBZ	do
n't	RB	n't
hold	VB	hold
back	RB	back
anything	NN	anything
as	IN	as
he	PP	he
digs	VBZ	dig
deep	JJ	deep
inside	JJ	inside
politics	NNS	politics
and	CC	and
legal	JJ	legal
maneuvers	NNS	maneuver
of	IN	of
the	DT	the
white	JJ	white
house	NN	house
.	SENT	.
the	DT	the
director	NN	director
holds	VBZ	hold
nixon	NN	<unknown>
responsible	JJ	responsible
for	IN	for
everything	NN	everything
he	PP	he
has	VBZ	have
done	VBN	do
.	SENT	.
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
he	PP	he
creates	VBZ	create
a	DT	a
very	RB	very
human	JJ	human
character	NN	character
,	,	,
a	DT	a
brilliant	JJ	brilliant
and	CC	and
tortured	JJ	tortured
man	NN	man
that	WDT	that
is	VBZ	be
caught	VBN	catch
in	IN	in
the	DT	the
dirty	JJ	dirty
game	NN	game
of	IN	of
politics	NNS	politics
,	,	,
which	WDT	which
is	VBZ	be
here	RB	here
pictured	VBN	picture
as	IN	as
a	DT	a
wild	JJ	wild
animal	NN	animal
.	SENT	.
he	PP	he
is	VBZ	be
simply	RB	simply
trying	VBG	try
to	TO	to
tame	VB	tame
it	PP	it
.	SENT	.
but	CC	but
the	DT	the
occasional	JJ	occasional
switch	NN	switch
to	TO	to
the	DT	the
raging	VBG	rage
sky	NN	sky
and	CC	and
the	DT	the
clouds	NNS	cloud
swiftly	RB	swiftly
fleeing	VBG	flee
over	IN	over
the	DT	the
white	JJ	white
house	NN	house
as	IN	as
events	NNS	event
run	VBN	run
ahead	RB	ahead
of	IN	of
the	DT	the
president	NN	president
's	POS	's
ability	NN	ability
to	TO	to
control	VB	control
them	PP	them
.	SENT	.
stone	NN	stone
does	VBZ	do
n't	RB	n't
in	IN	in
any	DT	any
way	NN	way
apologize	VB	apologize
for	IN	for
nixon	NN	<unknown>
.	SENT	.
he	PP	he
blames	VBZ	blame
not	RB	not
only	JJ	only
nixon	NN	<unknown>
's	POS	's
own	JJ	own
character	NN	character
flaws	NNS	flaw
but	CC	but
also	RB	also
the	DT	the
imperial	JJ	imperial
presidency	NN	presidency
itself	PP	itself
,	,	,
the	DT	the
system	NN	system
that		IN	that
,	,	,
once	RB	once
set	VBN	set
in	IN	in
motion	NN	motion
,	,	,
behaves	VBZ	behave
with	IN	with
a	DT	a
mindlessness	NN	mindlessness
of	IN	of
its	PP$	its
own	JJ	own
.	SENT	.
"	``	"
nixon	NN	<unknown>
"	''	"
is	VBZ	be
a	DT	a
modern	JJ	modern
shakespeare	NN	Shakespeare
story	NN	story
-	:	-
a	DT	a
saga	NN	saga
about	IN	about
a	DT	a
ruler	NN	ruler
destroyed	VBN	destroy
by	IN	by
his	PP$	his
fatal	JJ	fatal
flaws	NNS	flaw
.	SENT	.
there	EX	there
's	VBZ	be
something	NN	something
almost	RB	almost
majestic	JJ	majestic
about	IN	about
the	DT	the
process	NN	process
:	:	:
as	IN	as
nixon	NN	<unknown>
goes	VBZ	go
down	RP	down
in	IN	in
this	DT	this
film	NN	film
,	,	,
there	EX	there
is	VBZ	be
no	RB	no
gloating	VBG	gloat
,	,	,
but	CC	but
a	DT	a
watery	JJ	watery
sigh	NN	sigh
,	,	,
as	RB	as
of	IN	of
a	DT	a
great	JJ	great
ship	NN	ship
sinking	NN	sinking
.	SENT	.
sir	NN	sir
anthony	NN	<unknown>
hopkins	NNS	<unknown>
is	VBZ	be
staggering	JJ	staggering
and	CC	and
plays	VBZ	play
nixon	NN	<unknown>
with	IN	with
incredible	JJ	incredible
honesty	NN	honesty
and	CC	and
understanding	NN	understanding
,	,	,
creating	VBG	create
a	DT	a
very	RB	very
emotional	JJ	emotional
picture	NN	picture
of	IN	of
the	DT	the
37th	JJ	37th
american	NN	American
president	NN	president
.	SENT	.
joan	NP	Joan
allen	NP	Allen
's	POS	's
magnificent	JJ	magnificent
and	CC	and
captivating	JJ	captivating
performance	NN	performance
is	VBZ	be
certainly	RB	certainly
worth	JJ	worth
an	DT	an
oscar	NN	oscar
statuette	NN	statuette
.	SENT	.
she	PP	she
is	VBZ	be
strong	JJ	strong
and	CC	and
loyal	JJ	loyal
as	IN	as
mrs	NN	Mrs
.	SENT	.
nixon	NN	<unknown>
.	SENT	.
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
cast	NN	cast
is	VBZ	be
equally	RB	equally
magnificent	JJ	magnificent
,	,	,
including	VBG	include
:	:	:
james	NNS	<unknown>
woods	NNS	wood
,	,	,
j	NN	j
.	SENT	.
t	NN	t
.	SENT	.
walsh	NN	<unknown>
,	,	,
paul	NP	Paul
sorvino	NP	<unknown>
,	,	,
ed	NN	editor
harris	NNS	<unknown>
and	CC	and
bob	NN	bob
hoskins	NNS	<unknown>
.	SENT	.
everyone	NN	everyone
does	VBZ	do
a	DT	a
serious	JJ	serious
and	CC	and
demanding	JJ	demanding
job	NN	job
,	,	,
no	DT	no
one	CD	one
are	VBP	be
disappointing	JJ	disappointing
.	SENT	.
stone	NN	stone
never	RB	never
loses	VBZ	lose
focus	NN	focus
and	CC	and
his	PP$	his
direction	NN	direction
is	VBZ	be
steddy	JJ	<unknown>
,	,	,
honest	JJ	honest
and	CC	and
determined	VBN	determine
.	SENT	.
he	PP	he
is	VBZ	be
displaying	VBG	display
the	DT	the
historical	JJ	historical
facts	NNS	fact
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
concentrating	VBG	concentrate
at	IN	at
the	DT	the
human	JJ	human
element	NN	element
.	SENT	.
at	IN	at
times	NNS	time
he	PP	he
is	VBZ	be
showing	VBG	show
to	TO	to
black	JJ	black
and	CC	and
white	JJ	white
showing	VBG	show
flashbacks	NNS	flashback
from	IN	from
nixon	NN	<unknown>
's	POS	's
youth	NN	youth
and	CC	and
childhood	NN	childhood
.	SENT	.
the	DT	the
flashy	JJ	flashy
editing	VBG	edit
by	IN	by
brian	JJ	<unknown>
berdan	NN	<unknown>
and	CC	and
frank	JJ	frank
corwin	NN	<unknown>
,	,	,
robert	NP	Robert
richardson	NP	Richardson
's	POS	's
rich	JJ	rich
cinematography	NN	cinematography
and	CC	and
john	NN	john
williams	NN	<unknown>
'	POS	'
musical	JJ	musical
score	NN	score
create	VB	create
a	DT	a
hectic	JJ	hectic
and	CC	and
bizarre	JJ	bizarre
atmosphere	NN	atmosphere
.	SENT	.
the	DT	the
film	NN	film
's	POS	's
only	JJ	only
fault	NN	fault
is	VBZ	be
that		IN	that
it	PP	it
's	VBZ	be
a	DT	a
bit	NN	bit
tiering	VBG	tier
and	CC	and
overloaded	VBN	overload
with	IN	with
too	RB	too
much	JJ	much
political	JJ	political
material	NN	material
and	CC	and
legal	JJ	legal
maneuvers	NNS	maneuver
.	SENT	.
still	RB	still
it	PP	it
's	VBZ	be
an	DT	an
honest	JJ	honest
and	CC	and
captivating	JJ	captivating
-	:	-
a	DT	a
solid	JJ	solid
piece	NN	piece
of	IN	of
movie	NN	movie
making	NN	making
.	SENT	.
