according	VBG	accord
to	TO	to
popular	JJ	popular
film	NN	film
opinion	NN	opinion
,	,	,
a	DT	a
film	NN	film
's	POS	's
greatness	NN	greatness
is	VBZ	be
determined	VBN	determine
by	IN	by
time	NN	time
.	SENT	.
take	VB	take
for	IN	for
example	NN	example
"	''	"
casablanca	NN	<unknown>
.	SENT	.
"	''	"
great	JJ	great
film	NN	film
,	,	,
even	RB	even
today	NN	today
.	SENT	.
it	PP	it
's	VBZ	be
still	RB	still
as	RB	as
powerful	JJ	powerful
as	IN	as
it	PP	it
was	VBD	be
when	WRB	when
it	PP	it
came	VBD	come
out	RP	out
and	CC	and
still	RB	still
as	RB	as
romantic	JJ	romantic
and	CC	and
tragic	JJ	tragic
.	SENT	.
another	DT	another
example	NN	example
would	MD	would
be	VB	be
"	``	"
star	JJ	star
wars	NNS	war
,	,	,
"	''	"
which	WDT	which
had	VBD	have
a	DT	a
very	JJ	very
,	,	,
very	RB	very
healthy	JJ	healthy
box	NN	box
office	NN	office
gross	JJ	gross
despite	IN	despite
the	DT	the
fact	NN	fact
that		IN	that
we	PP	we
had	VBD	have
all	RB	all
seen	VBN	see
it	PP	it
about	IN	about
3	CD	3
billion	CD	billion
times	NNS	time
before	RB	before
.	SENT	.
but	CC	but
as	IN	as
i	NP	i
rewatched	VBD	<unknown>
"	``	"
independence	NN	independence
day	NN	day
"	''	"
when	WRB	when
it	PP	it
came	VBD	come
out	RP	out
on	IN	on
video	NN	video
after	IN	after
being	VBG	be
the	DT	the
number	NN	number
one	PP	one
hit	VBD	hit
of	IN	of
1996	CD	@card@
,	,	,
i	NP	i
kinda	RB	kinda
felt	VBD	feel
like	IN	like
it	PP	it
was	VBD	be
n't	RB	n't
as	RB	as
cool	VB	cool
as	RB	as
when	WRB	when
i	NP	i
had	VBD	have
first	RB	first
seen	VBN	see
it	PP	it
.	SENT	.
i	NP	i
had	VBD	have
liked	VBN	like
it	PP	it
when	WRB	when
i	NP	i
saw	VBD	see
it	PP	it
the	DT	the
first	JJ	first
time	NN	time
(	(	(
*	SYM	*
*	SYM	*
*	SYM	*
was	VBD	be
my	PP$	my
original	JJ	original
view	NN	view
)	)	)
and	CC	and
basically	RB	basically
saw	VBD	see
it	PP	it
as	IN	as
a	DT	a
good	JJ	good
"	``	"
escape	NN	escape
film	NN	film
.	SENT	.
"	``	"
but	CC	but
when	WRB	when
i	NP	i
rewatched	VBD	<unknown>
it	PP	it
,	,	,
i	NP	i
felt	VBD	feel
cheated	JJ	cheated
.	SENT	.
thus	RB	thus
,	,	,
the	DT	the
curse	NN	curse
of	IN	of
the	DT	the
"	``	"
event	NN	event
film	NN	film
.	SENT	.
"	''	"
"	``	"
independence	NN	independence
day	NN	day
"	``	"
is	VBZ	be
like	IN	like
that	DT	that
kid	NN	kid
who	WP	who
come	VBP	come
out	RP	out
of	IN	of
nowhere	RB	nowhere
and	CC	and
makes	VBZ	make
everybody	NN	everybody
happy	JJ	happy
at	IN	at
once	RB	once
(	(	(
except	IN	except
for	IN	for
a	DT	a
couple	NN	couple
kids	NNS	kid
-	:	-
the	DT	the
critics	NNS	critic
,	,	,
in	IN	in
this	DT	this
situation	NN	situation
)	)	)
.	SENT	.
but	CC	but
after	IN	after
a	DT	a
while	NN	while
,	,	,
this	DT	this
kid	NN	kid
becomes	VBZ	become
annoying	VBG	annoy
and	CC	and
you	PP	you
just	RB	just
wait	VBP	wait
for	IN	for
the	DT	the
next	JJ	next
one	CD	one
.	SENT	.
well	RB	well
,	,	,
this	DT	this
kid	NN	kid
is	VBZ	be
the	DT	the
"	``	"
event	NN	event
film	NN	film
"	''	"
in	IN	in
my	PP$	my
little	JJ	little
analogy	NN	analogy
.	SENT	.
and	CC	and
when	WRB	when
i	NP	i
rewatched	VBD	<unknown>
"	``	"
independence	NN	independence
day	NN	day
,	,	,
"	''	"
not	RB	not
only	RB	only
did	VBD	do
it	PP	it
not	RB	not
look	VBP	look
cooler	JJR	cool
at	IN	at
all	DT	all
on	IN	on
the	DT	the
big	JJ	big
screen	NN	screen
,	,	,
but	CC	but
i	NP	i
felt	VBD	feel
insulted	VBN	insult
the	DT	the
whole	JJ	whole
time	NN	time
.	SENT	.
there	EX	there
are	VBP	be
too	RB	too
many	JJ	many
gaping	VBG	gape
craters	NNS	crater
in	IN	in
the	DT	the
plot	NN	plot
and	CC	and
you	PP	you
just	RB	just
are	VBP	be
n't	RB	n't
sure	JJ	sure
if	IN	if
it	PP	it
's	POS	's
comedy	NN	comedy
or	CC	or
hokey	NN	hokey
drama	NN	drama
.	SENT	.
one	CD	one
scene	NN	scene
,	,	,
you	PP	you
'll	MD	will
see	VB	see
a	DT	a
hilariously	RB	hilariously
nebbish	JJ	<unknown>
scene	NN	scene
between	IN	between
jeff	NP	Jeff
goldblum	NN	<unknown>
and	CC	and
judd	NN	<unknown>
