woody	JJ	woody
allen	NN	<unknown>
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
successful	JJ	successful
artist-directors	NNS	<unknown>
in	IN	in
hollywood	NN	<unknown>
,	,	,
but	CC	but
he	PP	he
is	VBZ	be
becoming	VBG	become
less	RBR	less
and	CC	and
less	RBR	less
reliable	JJ	reliable
as	IN	as
a	DT	a
filmmaker	NN	filmmaker
.	SENT	.
in	IN	in
his	PP$	his
early	JJ	early
years	NNS	year
of	IN	of
film-making	NN	film-making
he	PP	he
mastered	VBD	master
the	DT	the
simple	JJ	simple
comedy	NN	comedy
.	SENT	.
from	IN	from
there	EX	there
he	PP	he
went	VBD	go
into	IN	into
a	DT	a
second	JJ	second
phase	NN	phase
and	CC	and
took	VBD	take
risks	NNS	risk
experimenting	VBG	experiment
with	IN	with
different	JJ	different
approaches	NNS	approach
and	CC	and
styles	NNS	style
.	SENT	.
some	DT	some
of	IN	of
these	DT	these
work	NN	work
better	RBR	well
than	IN	than
others	NNS	other
.	SENT	.
zelig	NN	<unknown>
and	CC	and
crimes	NNS	crime
and	CC	and
misdemeanors	NNS	misdemeanor
are	VBP	be
the	DT	the
work	NN	work
of	IN	of
a	DT	a
creative	JJ	creative
and	CC	and
intelligent	JJ	intelligent
artist	NN	artist
.	SENT	.
deconstructing	NN	<unknown>
harry	VBP	harry
goes	VBZ	go
to	TO	to
the	DT	the
other	JJ	other
extreme	NN	extreme
and	CC	and
is	VBZ	be
a	DT	a
bizarre	JJ	bizarre
experiment	NN	experiment
demanding	VBG	demand
more	JJR	more
of	IN	of
the	DT	the
viewer	NN	viewer
than	IN	than
it	PP	it
gives	VBZ	give
back	RB	back
.	SENT	.
harry	VB	harry
block	VB	block
(	(	(
allen	NN	<unknown>
)	)	)
has	VBZ	have
in	IN	in
his	PP$	his
life	NN	life
only	RB	only
two	CD	two
drives	NNS	drive
.	SENT	.
he	PP	he
wants	VBZ	want
to	TO	to
have	VB	have
sex	NN	sex
with	IN	with
as	IN	as
many	JJ	many
women	NNS	woman
as	IN	as
possible	JJ	possible
and	CC	and
when	WRB	when
he	PP	he
makes	VBZ	make
a	DT	a
mess	NN	mess
of	IN	of
his	PP$	his
life	NN	life
and	CC	and
those	DT	those
of	IN	of
his	PP$	his
lovers	NNS	lover
he	PP	he
wants	VBZ	want
to	TO	to
retreat	VB	retreat
into	IN	into
his	PP$	his
writing	NN	writing
.	SENT	.
the	DT	the
story	NN	story
of	IN	of
this	DT	this
static	JJ	static
and	CC	and
highly	RB	highly
unsympathetic	JJ	unsympathetic
character	NN	character
is	VBZ	be
told	VBN	tell
with	IN	with
a	DT	a
number	NN	number
of	IN	of
often	RB	often
clumsy	JJ	clumsy
stylistic	JJ	stylistic
experiments	NNS	experiment
.	SENT	.
perhaps	RB	perhaps
the	DT	the
most	RBS	most
irritating	VBG	irritate
device	NN	device
is	VBZ	be
to	TO	to
express	VB	express
the	DT	the
disjointedness	NN	disjointedness
of	IN	of
harry	VB	harry
's	VBZ	be
life	NN	life
by	IN	by
editing	VBG	edit
harry	VBP	harry
's	POS	's
scenes	NNS	scene
putting	VBG	put
in	IN	in
cuts	NNS	cut
in	IN	in
the	DT	the
middle	NN	middle
as	IN	as
if	IN	if
to	TO	to
show	VB	show
missing	JJ	missing
time	NN	time
with	IN	with
something	NN	something
edited	VBN	edit
out	RP	out
.	SENT	.
as	IN	as
a	DT	a
writer	NN	writer
,	,	,
harry	VBP	harry
puts	VBZ	put
his	PP$	his
friends	NNS	friend
into	IN	into
his	PP$	his
books	NNS	book
in	IN	in
the	DT	the
thinnest	JJS	thin
of	IN	of
disguises	NNS	disguise
.	SENT	.
the	DT	the
film	NN	film
dramatizes	VBZ	dramatize
incidents	NNS	incident
from	IN	from
these	DT	these
supposed	VBN	suppose
books	NNS	book
and	CC	and
