well	RB	well
arnold	NP	Arnold
has	VBZ	have
completed	VBN	complete
the	DT	the
seemingly	RB	seemingly
impossible	JJ	impossible
task	NN	task
.	SENT	.
he	PP	he
has	VBZ	have
made	VBN	make
three	CD	three
consecutive	JJ	consecutive
unsatisfactory	JJ	unsatisfactory
action	NN	action
films	NNS	film
.	SENT	.
in	IN	in
a	DT	a
domain	NN	domain
that		IN	that
he	PP	he
owns	VBZ	own
,	,	,
it	PP	it
is	VBZ	be
very	RB	very
surprising	JJ	surprising
that		IN	that
this	DT	this
goliath	NN	Goliath
of	IN	of
an	DT	an
action	NN	action
star	NN	star
can	MD	can
not	RB	not
tell	VB	tell
a	DT	a
good	JJ	good
action	NN	action
script	NN	script
from	IN	from
a	DT	a
bad	JJ	bad
one	CD	one
.	SENT	.
eraser	NN	eraser
,	,	,
back	RB	back
in	IN	in
1996	CD	@card@
,	,	,
was	VBD	be
a	DT	a
confused	JJ	confused
film	NN	film
that	WDT	that
made	VBD	make
no	DT	no
attempt	NN	attempt
at	IN	at
all	DT	all
to	TO	to
make	VB	make
sense	NN	sense
.	SENT	.
batman	NN	batman
and	CC	and
robin	NN	robin
,	,	,
in	IN	in
1997	CD	@card@
,	,	,
was	VBD	be
the	DT	the
black	JJ	black
sheep	NN	sheep
of	IN	of
the	DT	the
batman	NN	batman
series	NN	series
with	IN	with
ridiculous	JJ	ridiculous
acting	NN	acting
,	,	,
idiotic	JJ	idiotic
action	NN	action
scenes	NNS	scene
,	,	,
and	CC	and
painfully	RB	painfully
flashy	JJ	flashy
costumes	NNS	costume
.	SENT	.
now	RB	now
in	IN	in
1999	CD	@card@
,	,	,
"	''	"
end	NN	end
of	IN	of
days	NNS	day
"	''	"
(	(	(
not	RB	not
"	``	"
the	DT	the
end	NN	end
of	IN	of
days	NNS	day
"	''	"
)	)	)
is	VBZ	be
the	DT	the
third	JJ	third
strike	NN	strike
in	IN	in
a	DT	a
tough	JJ	tough
at	IN	at
bat	NN	bat
for	IN	for
arnold	NP	Arnold
.	SENT	.
is	VBZ	be
this	DT	this
the	DT	the
end	NN	end
of	IN	of
a	DT	a
powerful	JJ	powerful
action	NN	action
star	NN	star
's	POS	's
long-lived	JJ	long-lived
career	NN	career
?	SENT	?
will	MD	will
arnold	NNS	<unknown>
ever	RB	ever
give	VBP	give
us	PP	us
another	DT	another
unforgettable	JJ	unforgettable
performance	NN	performance
in	IN	in
another	DT	another
unforgettable	JJ	unforgettable
classic	NN	classic
like	IN	like
those	DT	those
in	IN	in
the	DT	the
past	NN	past
(	(	(
"	``	"
terminator	NN	terminator
"	''	"
,	,	,
"	``	"
terminator	NN	terminator
2	CD	2
:	:	:
judgement	NN	judgement
day	NN	day
"	''	"
,	,	,
"	``	"
predator	NN	predator
"	''	"
)	)	)
?	SENT	?
or	CC	or
an	DT	an
unforgettable	JJ	unforgettable
performance	NN	performance
in	IN	in
a	DT	a
great	JJ	great
guilty	JJ	guilty
pleasure	NN	pleasure
like	IN	like
those	DT	those
in	IN	in
the	DT	the
past	NN	past
(	(	(
"	``	"
commando	NN	commando
"	''	"
,	,	,
"	``	"
red	JJ	red
sonja	NN	<unknown>
"	''	"
,	,	,
"	''	"
true	JJ	true
lies	NNS	lie
"	''	"
)	)	)
?	SENT	?
it	PP	it
does	VBZ	do
n't	RB	n't
look	VB	look
that	DT	that
way	NN	way
.	SENT	.
"	''	"
end	NN	end
of	IN	of
days	NNS	day
"	``	"
begins	VBZ	begin
with	IN	with
the	DT	the
birth	NN	birth
of	IN	of
a	DT	a
baby	NN	baby
girl	NN	girl
in	IN	in
1979	CD	@card@
who	WP	who
inexorably	RB	inexorably
,	,	,
due	JJ	due
to	TO	to
the	DT	the
formation	NN	formation
of	IN	of
the	DT	the
stars	NNS	star
on	IN	on
that	DT	that
night	NN	night
,	,	,
will	MD	will
be	VB	be
the	DT	the
carrier	NN	carrier
of	IN	of
satan	NP	<unknown>
's	POS	's
baby	NN	baby
the	DT	the
hour	NN	hour
before	IN	before
new	JJ	new
year	NN	year
's	VBZ	be
of	IN	of
2000	CD	@card@
.	SENT	.
fortunately	RB	fortunately
for	IN	for
the	DT	the
movie	NN	movie
's	POS	's
sake	NN	sake
,	,	,
the	DT	the
girl	NN	girl
grows	VBZ	grow
up	RB	up
and	CC	and
now	RB	now
resides	VBZ	reside
in	IN	in
manhattan	NN	manhattan
with	IN	with
skyscrapers	NNS	skyscraper
,	,	,
subway	NN	subway
trains	NNS	train
in	IN	in
dark	JJ	dark
tunnels	NNS	tunnel
,	,	,
and	CC	and
a	DT	a
myriad	NN	myriad
of	IN	of
inept	JJ	inept
nypd	NN	<unknown>
officers	NNS	officer
.	SENT	.
it	PP	it
's	VBZ	be
an	DT	an
action	NN	action
film	NN	film
's	POS	's
dream	NN	dream
come	VBP	come
true	JJ	true
when	WRB	when
the	DT	the
director	NN	director
is	VBZ	be
given	VBN	give
tons	NNS	ton
of	IN	of
cool	JJ	cool
stuff	NN	stuff
to	TO	to
blow	VB	blow
up	RP	up
.	SENT	.
imagine	VB	imagine
if	IN	if
the	DT	the
girl	NN	girl
had	VBD	have
lived	VBN	live
in	IN	in
anytown	NN	<unknown>
,	,	,
usa	NP	Usa
,	,	,
where	WRB	where
the	DT	the
only	JJ	only
thing	NN	thing
to	TO	to
destroy	VB	destroy
is	VBZ	be
a	DT	a
dairy	NN	dairy
queen	NN	queen
and	CC	and
a	DT	a
post	NN	post
office	NN	office
.	SENT	.
arnold	NP	Arnold
schwarzenegger	NP	Schwarzenegger
(	(	(
jericho	NN	<unknown>
cane	NN	cane
)	)	)
,	,	,
in	IN	in
a	DT	a
series	NN	series
of	IN	of
boring	JJ	boring
events	NNS	event
finds	VBZ	find
himself	PP	himself
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
religious	JJ	religious
battle	NN	battle
between	IN	between
the	DT	the
church	NN	church
,	,	,
who	WP	who
is	VBZ	be
trying	VBG	try
to	TO	to
hide	VB	hide
the	DT	the
girl	NN	girl
(	(	(
or	CC	or
in	IN	in
some	DT	some
cases	NNS	case
trying	VBG	try
to	TO	to
kill	VB	kill
her	PP$	her
)	)	)
,	,	,
and	CC	and
satan	JJ	<unknown>
(	(	(
gabriel	NN	<unknown>
byrne	NN	<unknown>
)	)	)
who	WP	who
is	VBZ	be
trying	VBG	try
to	TO	to
make	VB	make
her	PP$	her
pregnant	JJ	pregnant
.	SENT	.
if	IN	if
the	DT	the
devil	NN	devil
is	VBZ	be
successful	JJ	successful
,	,	,
the	DT	the
world	NN	world
will	MD	will
no	RB	no
longer	RBR	longer
exist	VB	exist
as	IN	as
we	PP	we
know	VBP	know
it	PP	it
.	SENT	.
jericho	NP	Jericho
feels	VBZ	feel
it	PP	it
is	VBZ	be
his	PP$	his
duty	NN	duty
to	TO	to
protect	VB	protect
the	DT	the
girl	NN	girl
from	IN	from
everyone	NN	everyone
because	IN	because
1	CD	1
)	)	)
he	PP	he
once	RB	once
had	VBD	have
faith	NN	faith
but	CC	but
no	RB	no
longer	RBR	longer
does	VBZ	do
and	CC	and
2	LS	2
)	)	)
his	PP$	his
wife	NN	wife
and	CC	and
daughter	NN	daughter
were	VBD	be
killed	VBN	kill
and	CC	and
he	PP	he
feels	VBZ	feel
responsible	JJ	responsible
for	IN	for
it	PP	it
.	SENT	.
jericho	NN	<unknown>
cane	NN	cane
is	VBZ	be
your	PP$	your
cliched	JJ	cliched
,	,	,
by-the-numbers	NNS	<unknown>
hero	NN	hero
right	RB	right
up	RB	up
to	TO	to
his	PP$	his
name	NN	name
.	SENT	.
arnold	NP	Arnold
fittingly	RB	fittingly
plays	VBZ	play
the	DT	the
character	NN	character
as	IN	as
cliched	JJ	cliched
as	IN	as
he	PP	he
can	MD	can
.	SENT	.
he	PP	he
shouts	VBZ	shout
at	IN	at
everyone	NN	everyone
,	,	,
from	IN	from
cops	VBZ	cop
to	TO	to
priests	NNS	priest
,	,	,
to	TO	to
the	DT	the
devil	NN	devil
.	SENT	.
in	IN	in
one	CD	one
truly	RB	truly
hilarious	JJ	hilarious
scene	NN	scene
,	,	,
which	WDT	which
was	VBD	be
supposed	VBN	suppose
to	TO	to
be	VB	be
the	DT	the
ultimate	JJ	ultimate
dramatic	JJ	dramatic
high	JJ	high
point	NN	point
,	,	,
jericho	NP	Jericho
screams	VBZ	scream
to	TO	to
the	DT	the
devil	NN	devil
;	:	;
"	``	"
you	PP	you
are	VBP	be
a	DT	a
@#$^	JJ	<unknown>
%	NN	%
!	SENT	!
&	CC	&
choir	NN	choir
boy	NN	boy
!	SENT	!
you	PP	you
are	VBP	be
a	DT	a
choir	NN	choir
boy	NN	boy
!	SENT	!
"	''	"
those	DT	those
two	CD	two
lines	NNS	line
marked	VBD	mark
the	DT	the
high	JJ	high
points	NNS	point
of	IN	of
this	DT	this
film	NN	film
.	SENT	.
