much	JJ	much
ballyhoo	NN	ballyhoo
has	VBZ	have
been	VBN	be
made	VBN	make
over	IN	over
this	DT	this
new	JJ	new
version	NN	version
of	IN	of
"	``	"
lolita	NN	<unknown>
,	,	,
"	''	"
made	VBN	make
in	IN	in
a	DT	a
time	NN	time
when	WRB	when
one	PP	one
would	MD	would
think	VB	think
that		IN	that
a	DT	a
faithful	JJ	faithful
adaptation	NN	adaptation
of	IN	of
the	DT	the
infamous	JJ	infamous
novel	NN	novel
could	MD	could
be	VB	be
made	VBN	make
,	,	,
over	IN	over
its	PP$	its
use	NN	use
of	IN	of
pedophilia	NN	<unknown>
,	,	,
and	CC	and
as	RB	as
such	JJ	such
,	,	,
it	PP	it
's	VBZ	be
important	JJ	important
to	TO	to
address	VB	address
it	PP	it
straight-forwardly	RB	straight-forwardly
,	,	,
before	IN	before
any	DT	any
other	JJ	other
ideals	NNS	ideal
such	JJ	such
as	IN	as
goodness	NN	goodness
and	CC	and
themes	NNS	theme
can	MD	can
be	VB	be
discussed	VBN	discuss
,	,	,
as	IN	as
this	DT	this
film	NN	film
has	VBZ	have
been	VBN	be
in	IN	in
film	NN	film
limbo	NN	limbo
for	IN	for
a	DT	a
number	NN	number
of	IN	of
years	NNS	year
,	,	,
lying	VBG	lie
around	RP	around
in	IN	in
vaults	NNS	vault
san	VBG	<unknown>
a	DT	a
distributor	NN	distributor
,	,	,
and	CC	and
having	VBG	have
critics	NNS	critic
waiting	VBG	wait
to	TO	to
either	RB	either
hail	VB	hail
it	PP	it
a	DT	a
masterpiece	NN	masterpiece
or	CC	or
call	VB	call
it	PP	it
anticlimactic	JJ	anticlimactic
horseshit	NN	horseshit
.	SENT	.
when	WRB	when
seeing	VBG	see
this	DT	this
film	NN	film
,	,	,
after	IN	after
all	PDT	all
the	DT	the
hoopla	NN	hoopla
,	,	,
keeping	VBG	keep
in	IN	in
mind	NN	mind
that		IN	that
there	EX	there
are	VBP	be
people	NNS	people
,	,	,
namely	RB	namely
me	PP	me
,	,	,
who	WP	who
are	VBP	be
fans	NNS	fan
of	IN	of
the	DT	the
novel	NN	novel
,	,	,
who	WP	who
have	VBP	have
been	VBN	be
eagerly	RB	eagerly
awaiting	VBG	await
this	DT	this
flick	NN	flick
since	IN	since
its	PP$	its
creation	NN	creation
.	SENT	.
.	SENT	.
.	SENT	.
well	RB	well
,	,	,
you	PP	you
just	RB	just
have	VB	have
to	TO	to
wonder	VB	wonder
why	WRB	why
no	DT	no
one	CD	one
really	RB	really
picked	VBD	pick
it	PP	it
up	RP	up
for	IN	for
distribution	NN	distribution
.	SENT	.
what	WP	what
's	VBZ	be
even	RB	even
worse	JJR	bad
is	VBZ	be
that		IN	that
seeing	VBG	see
this	DT	this
"	``	"
lolita	NN	<unknown>
,	,	,
"	''	"
especially	RB	especially
the	DT	the
first	JJ	first
time	NN	time
and	CC	and
if	IN	if
you	PP	you
're	VBP	be
familiar	JJ	familiar
with	IN	with
anything	NN	anything
"	''	"
lolita	NN	<unknown>
,	,	,
"	''	"
is	VBZ	be
admittingly	RB	<unknown>
very	RB	very
anticlimactic	JJ	anticlimactic
.	SENT	.
this	DT	this
is	VBZ	be
a	DT	a
real	JJ	real
pity	NN	pity
because	IN	because
when	WRB	when
you	PP	you
really	RB	really
sit	VBP	sit
down	RP	down
to	TO	to
watch	VB	watch
this	DT	this
film	NN	film
,	,	,
ignoring	VBG	ignore
all	PDT	all
the	DT	the
crap	NN	crap
that	WDT	that
has	VBZ	have
preceeded	VBN	<unknown>
it	PP	it
,	,	,
it	PP	it
's	VBZ	be
really	RB	really
quite	RB	quite
a	DT	a
film	NN	film
,	,	,
perhaps	RB	perhaps
the	DT	the
best	JJS	good
film	NN	film
by	IN	by
director	NN	director
adrian	NN	<unknown>
lyne	NN	<unknown>
(	(	(
although	IN	although
,	,	,
really	RB	really
,	,	,
look	VBP	look
at	IN	at
its	PP$	its
competition	NN	competition
:	:	:
"	``	"
flashdance	NN	<unknown>
,	,	,
"	''	"
"	``	"
fatal	JJ	fatal
attraction	NN	attraction
,	,	,
"	''	"
and	CC	and
"	``	"
indecent	JJ	indecent
proposal	NN	proposal
"	''	"
)	)	)
,	,	,
at	IN	at
least	JJS	least
besides	IN	besides
"	``	"
jacob	NN	<unknown>
's	POS	's
ladder	NN	ladder
.	SENT	.
"	``	"
i	NNS	i
've	VBP	have
seen	VBN	see
this	DT	this
"	``	"
lolita	NN	<unknown>
"	''	"
twice	RB	twice
:	:	:
the	DT	the
first	JJ	first
time	NN	time
,	,	,
i	NP	i
was	VBD	be
n't	RB	n't
so	RB	so
blown	VBN	blow
away	RB	away
.	SENT	.
it	PP	it
seemed	VBD	seem
overly	RB	overly
dramatic	JJ	dramatic
and	CC	and
surprisingly	RB	surprisingly
unaffecting	JJ	<unknown>
.	SENT	.
the	DT	the
second	JJ	second
time	NN	time
,	,	,
not	RB	not
really	RB	really
thinking	VBG	think
about	RB	about
how	WRB	how
i	NNS	i
've	VBP	have
waited	VBN	wait
for	IN	for
what	WP	what
seems	VBZ	seem
like	IN	like
forever	RB	forever
to	TO	to
see	VB	see
it	PP	it
and	CC	and
how	WRB	how
i	NNS	i
'm	VBP	be
seeing	VBG	see
it	PP	it
on	IN	on
a	DT	a
tv	NN	tv
set	VBN	set
on	IN	on
a	DT	a
premium	NN	premium
cable	NN	cable
channel	NN	channel
and	CC	and
not	RB	not
a	DT	a
giant	JJ	giant
movie	NN	movie
theatre	NN	theatre
,	,	,
it	PP	it
