you	PP	you
know	VBP	know
,	,	,
i	NP	i
never	RB	never
really	RB	really
wondered	VBD	wonder
what	WP	what
the	DT	the
tarzan	JJ	<unknown>
films	NNS	film
would	MD	would
have	VB	have
been	VBN	be
like	JJ	like
had	VBD	have
tarzan	NNS	<unknown>
been	VBN	be
an	DT	an
old	JJ	old
man	NN	man
.	SENT	.
while	IN	while
watching	VBG	watch
instinct	NN	instinct
,	,	,
i	NP	i
could	MD	could
n't	RB	n't
help	VB	help
but	CC	but
acknowledge	VB	acknowledge
the	DT	the
way	NN	way
the	DT	the
film	NN	film
carelessly	RB	carelessly
rehashes	VBZ	rehash
the	DT	the
well-explored	JJ	<unknown>
themes	NNS	theme
of	IN	of
those	DT	those
earlier	JJR	early
movies	NNS	movie
.	SENT	.
even	RB	even
beside	IN	beside
the	DT	the
tarzan	JJ	<unknown>
comparison	NN	comparison
,	,	,
instinct	NN	instinct
just	RB	just
is	VBZ	be
n't	RB	n't
a	DT	a
very	RB	very
good	JJ	good
film	NN	film
.	SENT	.
it	PP	it
's	VBZ	be
painfully	RB	painfully
idealistic	JJ	idealistic
,	,	,
manipulative	JJ	manipulative
,	,	,
and	CC	and
silly	JJ	silly
.	SENT	.
i	NP	i
did	VBD	do
n't	RB	n't
hate	VB	hate
it	PP	it
--	:	--
it	PP	it
's	VBZ	be
simply	RB	simply
impossible	JJ	impossible
for	IN	for
me	PP	me
to	TO	to
hate	VB	hate
any	DT	any
film	NN	film
starring	VBG	star
anthony	NN	<unknown>
hopkins	NNS	<unknown>
;	:	;
furthermore	RB	furthermore
,	,	,
most	JJS	most
of	IN	of
the	DT	the
acting	NN	acting
is	VBZ	be
quite	RB	quite
good	JJ	good
.	SENT	.
but	CC	but
i	NP	i
can	MD	can
recognize	VB	recognize
instinct	NN	instinct
for	IN	for
what	WP	what
it	PP	it
is	VBZ	be
beyond	IN	beyond
my	PP$	my
subjective	JJ	subjective
admiration	NN	admiration
for	IN	for
the	DT	the
actors	NNS	actor
involved	VBD	involve
.	SENT	.
i	NP	i
can	MD	can
also	RB	also
recognize	VB	recognize
reasons	NNS	reason
for	IN	for
wanting	VBG	want
to	TO	to
make	VB	make
instinct	NN	instinct
,	,	,
and	CC	and
it	PP	it
's	VBZ	be
pretty	RB	pretty
clear	JJ	clear
that		IN	that
this	DT	this
could	MD	could
have	VB	have
been	VBN	be
a	DT	a
good	JJ	good
film	NN	film
with	IN	with
a	DT	a
massive	JJ	massive
script	NN	script
overhaul	NN	overhaul
and	CC	and
a	DT	a
director	NN	director
less	RBR	less
interested	JJ	interested
in	IN	in
imitating	VBG	imitate
movies	NNS	movie
like	IN	like
patch	NN	patch
adams	NNS	<unknown>
.	SENT	.
things	NNS	thing
start	VBP	start
off	RP	off
in	IN	in
the	DT	the
predictable	JJ	predictable
way	NN	way
,	,	,
as	IN	as
director	NN	director
jon	NN	<unknown>
turtletaub	NN	<unknown>
introduces	VBZ	introduce
us	PP	us
to	TO	to
our	PP$	our
hero	NN	hero
,	,	,
theo	NN	<unknown>
caulder	NN	<unknown>
(	(	(
cuba	NN	<unknown>
gooding	NN	<unknown>
,	,	,
jr	NP	Jr
