an	DT	an
astonishingly	RB	astonishingly
difficult	JJ	difficult
movie	NN	movie
to	TO	to
watch	VB	watch
,	,	,
the	DT	the
last	JJ	last
temptation	NN	temptation
of	IN	of
=	SYM	=
christ	NN	<unknown>
may	MD	may
be	VB	be
scorsese	NN	<unknown>
's	POS	's
most	RBS	most
important	JJ	important
film	NN	film
,	,	,
and	CC	and
yet	RB	yet
his	PP$	his
most	RBS	most
=	SYM	=
impossibly	RB	impossibly
abstract	JJ	abstract
as	IN	as
well	RB	well
.	SENT	.
scorsese	NP	Scorsese
presents	VBZ	present
the	DT	the
life	NN	life
of	IN	of
jesus	NP	Jesus
=	SYM	=
christ	NN	<unknown>
,	,	,
through	IN	through
nikos	NP	Nikos
kazantzakis	NP	Kazantzakis
'	POS	'
novel	NN	novel
,	,	,
which	WDT	which
details	VBZ	detail
the	DT	the
life	NN	life
of	IN	of
=	SYM	=
christ	NN	<unknown>
from	IN	from
approximately	RB	approximately
20	CD	@card@
until	IN	until
the	DT	the
day	NN	day
of	IN	of
crucifixtion	NN	<unknown>
.	SENT	.
jesus	NNS	<unknown>
of	IN	of
=	SYM	=
nazareth	NP	Nazareth
(	(	(
dafoe	NN	<unknown>
)	)	)
is	VBZ	be
a	DT	a
carpenter	NN	carpenter
,	,	,
who	WP	who
opens	VBZ	open
the	DT	the
film	NN	film
making	VBG	make
crosses	NNS	crosse
,	,	,
so	RB	so
=	SYM	=
that		IN	that
he	PP	he
can	MD	can
escape	VB	escape
the	DT	the
fate	NN	fate
he	PP	he
is	VBZ	be
subjected	VBN	subject
to	TO	to
,	,	,
his	PP$	his
destiny	NN	destiny
on	IN	on
earth	NN	earth
.	SENT	.
=	SYM	=
yet	RB	yet
,	,	,
he	PP	he
soon	RB	soon
learns	VBZ	learn
his	PP$	his
evil	JJ	evil
ways	NNS	way
for	IN	for
aiding	VBG	aid
in	IN	in
the	DT	the
deaths	NNS	death
of	IN	of
others	NNS	other
,	,	,
=	SYM	=
and	CC	and
subjects	VBZ	subject
himself	PP	himself
to	TO	to
a	DT	a
desert	NN	desert
in	IN	in
exile	NN	exile
,	,	,
in	IN	in
hopes	NNS	hope
that		IN	that
he	PP	he
can	MD	can
reach	VB	reach
=	SYM	=
god	NN	god
.	SENT	.
before	IN	before
leaving	VBG	leave
,	,	,
he	PP	he
asks	VBZ	ask
for	IN	for
forgiveness	NN	forgiveness
from	IN	from
mary	JJ	<unknown>
magdelene	NN	<unknown>
=	SYM	=
(	(	(
barbara	NP	Barbara
hershey	NP	Hershey
)	)	)
,	,	,
a	DT	a
prostitute	NN	prostitute
who	WP	who
is	VBZ	be
also	RB	also
a	DT	a
childhood	NN	childhood
friend	NN	friend
of	IN	of
jesus	NN	<unknown>
.	SENT	.
=	SYM	=
=20	NN	<unknown>
after	IN	after
going	VBG	go
to	TO	to
the	DT	the
desert	NN	desert
,	,	,
christ	NN	<unknown>
learns	VBZ	learn
his	PP$	his
true	JJ	true
purpose	NN	purpose
in	IN	in
life	NN	life
,	,	,
=	SYM	=
and	CC	and
what	WP	what
he	PP	he
must	MD	must
do	VB	do
.	SENT	.
aided	VBN	aid
by	IN	by
judas	NN	judas
(	(	(
keitel	NN	<unknown>
)	)	)
,	,	,
he	PP	he
sets	VBZ	set
off	RP	off
on	IN	on
teaching	NN	teaching
=	SYM	=
the	DT	the
world	NN	world
his	PP$	his
message	NN	message
.	SENT	.
along	IN	along
the	DT	the
way	NN	way
,	,	,
he	PP	he
meets	VBZ	meet
john	NN	john
the	DT	the
baptist	NN	Baptist
,	,	,
the	DT	the
=	SYM	=
rest	NN	rest
of	IN	of
the	DT	the
prophets	NNS	prophet
,	,	,
and	CC	and
tries	VBZ	try
to	TO	to
teach	VB	teach
the	DT	the
world	NN	world
his	PP$	his
message	NN	message
.	SENT	.
christ	NN	<unknown>
=	SYM	=
is	VBZ	be
also	RB	also
confronted	VBN	confront
by	IN	by
internal	JJ	internal
demons	NNS	demon
and	CC	and
self-doubt	NN	self-doubt
,	,	,
as	IN	as
he	PP	he
tries	VBZ	try
to	TO	to
=	SYM	=
find	VB	find
his	PP$	his
true	JJ	true
purpose	NN	purpose
throughout	IN	throughout
the	DT	the
entire	JJ	entire
film	NN	film
.	SENT	.
during	IN	during
the	DT	the
story	NN	story
,	,	,
=	SYM	=
judas	NN	judas
is	VBZ	be
the	DT	the
closese	JJ	<unknown>
ally	NN	ally
of	IN	of
jesus	NN	<unknown>
:	:	:
his	PP$	his
betrayal	NN	betrayal
,	,	,
argues	VBZ	argue
the	DT	the
film	NN	film
,	,	,
was	VBD	be
=	SYM	=
not	RB	not
out	RB	out
of	IN	of
hate	NN	hate
,	,	,
but	CC	but
out	RB	out
of	IN	of
love	NN	love
,	,	,
in	IN	in
order	NN	order
to	TO	to
allow	VB	allow
christ	NN	<unknown>
to	TO	to
die	VB	die
.	SENT	.
=20	NN	<unknown>
he	PP	he
is	VBZ	be
eventually	RB	eventually
captured	VBN	capture
,	,	,
and	CC	and
crucified	VBD	crucify
as	RB	as
per	IN	per
the	DT	the
bibile	NN	<unknown>
.	SENT	.
=	SYM	=
however	RB	however
,	,	,
as	IN	as
he	PP	he
is	VBZ	be
about	RB	about
to	TO	to
die	VB	die
on	IN	on
the	DT	the
cross	NN	cross
,	,	,
he	PP	he
is	VBZ	be
saved	VBN	save
by	IN	by
a	DT	a
girl	NN	girl
,	,	,
who	WP	who
=	SYM	=
brings	VBZ	bring
him	PP	him
to	TO	to
his	PP$	his
marriage	NN	marriage
with	IN	with
mary	JJ	<unknown>
magdelene	NN	<unknown>
.	SENT	.
the	DT	the
girl	NN	girl
is	VBZ	be
a	DT	a
guardian	NN	guardian
=	SYM	=
angel	NN	angel
who	WP	who
is	VBZ	be
from	IN	from
god	NN	god
,	,	,
and	CC	and
who	WP	who
has	VBZ	have
saved	VBN	save
him	PP	him
from	IN	from
his	PP$	his
death	NN	death
.	SENT	.
jesus	JJ	<unknown>
goes	NNS	go
=	SYM	=
on	IN	on
to	TO	to
live	VB	live
a	DT	a
life	NN	life
as	IN	as
a	DT	a
man	NN	man
,	,	,
as	IN	as
a	DT	a
carpenter	NN	carpenter
,	,	,
and	CC	and
does	VBZ	do
not	RB	not
die	VB	die
on	IN	on
the	NP	the
=	SYM	=
cross	NN	cross
.	SENT	.
on	IN	on
his	PP$	his
deathbed	NN	deathbed
,	,	,
in	IN	in
the	DT	the
final	JJ	final
moments	NNS	moment
of	IN	of
his	PP$	his
life	NN	life
,	,	,
he	PP	he
is	VBZ	be
visited	VBN	visit
=	SYM	=
by	IN	by
the	DT	the
prophets	NNS	prophet
,	,	,
and	CC	and
by	IN	by
judas	NN	judas
,	,	,
who	WP	who
denounces	VBZ	denounce
