when	WRB	when
jim	NN	<unknown>
henson	NN	<unknown>
passed	VBD	pass
away	RB	away
,	,	,
he	PP	he
left	VBD	leave
behind	IN	behind
diverse	JJ	diverse
legions	NNS	legion
of	IN	of
fans	NNS	fan
and	CC	and
a	DT	a
company	NN	company
whose	WP$	whose
ultimate	JJ	ultimate
success	NN	success
,	,	,
it	PP	it
now	RB	now
seems	VBZ	seem
,	,	,
hinged	VBD	hinge
on	IN	on
his	PP$	his
input	NN	input
.	SENT	.
jim	NN	<unknown>
henson	NN	<unknown>
productions	NNS	production
and	CC	and
the	DT	the
creature	NN	creature
shop	NN	shop
are	VBP	be
still	RB	still
thriving	VBG	thrive
financially	RB	financially
,	,	,
but	CC	but
as	IN	as
the	DT	the
last	JJ	last
two	CD	two
muppet	NN	<unknown>
films	NNS	film
(	(	(
or	CC	or
that	DT	that
silly	JJ	silly
computer-generated	JJ	computer-generated
monkey	NN	monkey
from	IN	from
lost	VBN	lose
in	IN	in
space	NN	space
)	)	)
demonstrate	VBP	demonstrate
,	,	,
the	DT	the
thrill	NN	thrill
and	CC	and
genius	NN	genius
are	VBP	be
gone	VBN	go
.	SENT	.
i	NNS	i
'm	VBP	be
not	RB	not
sure	JJ	sure
the	DT	the
dark	JJ	dark
crystal	NN	crystal
,	,	,
made	VBN	make
today	NN	today
,	,	,
would	MD	would
generate	VB	generate
from	IN	from
an	DT	an
audience	NN	audience
of	IN	of
kids	NNS	kid
five	CD	five
to	TO	to
fifty	CD	fifty
the	DT	the
same	JJ	same
awe-filled	JJ	<unknown>
response	NN	response
.	SENT	.
an	DT	an
all-powerful	JJ	all-powerful
crystal	NN	crystal
has	VBZ	have
cracked	VBN	crack
,	,	,
causing	VBG	cause
the	DT	the
leaders	NNS	leader
of	IN	of
the	DT	the
green	JJ	green
world	NN	world
to	TO	to
split	VB	split
apart	RB	apart
into	IN	into
two	CD	two
beings	NNS	being
:	:	:
the	DT	the
big	JJ	big
,	,	,
gentle	JJ	gentle
mystics	NNS	mystic
,	,	,
and	CC	and
the	DT	the
vulture-like	JJ	vulture-like
skeksis	NN	<unknown>
.	SENT	.
the	DT	the
mystics	NNS	mystic
send	VBP	send
jen	NP	Jen
,	,	,
a	DT	a
naive	JJ	naive
gelfling	NN	<unknown>
boy	NN	boy
,	,	,
on	IN	on
a	DT	a
mission	NN	mission
to	TO	to
find	VB	find
the	DT	the
shard	NN	shard
that	WDT	that
cracked	VBD	crack
away	RB	away
,	,	,
which	WDT	which
must	MD	must
be	VB	be
reinserted	VBN	<unknown>
into	IN	into
the	DT	the
crystal	NN	crystal
before	IN	before
the	DT	the
skeksis	NN	<unknown>
become	VBN	become
eternal	JJ	eternal
rulers	NNS	ruler
,	,	,
before	IN	before
the	DT	the
great	JJ	great
"	``	"
conjunction	NN	conjunction
"	''	"
of	IN	of
three	CD	three
suns	NNS	sun
.	SENT	.
along	IN	along
the	DT	the
way	NN	way
,	,	,
jen	NP	Jen
encounters	NNS	encounter
and	CC	and
teams	NNS	team
up	RP	up
with	IN	with
the	DT	the
only	JJ	only
other	JJ	other
gelfling	NN	<unknown>
alive	RB	alive
,	,	,
the	DT	the
