there	EX	there
is	VBZ	be
nothing	NN	nothing
like	IN	like
american	JJ	American
history	NN	history
x	SYM	x
in	IN	in
theaters	NNS	theater
or	CC	or
on	IN	on
video	NN	video
.	SENT	.
no	DT	no
other	JJ	other
feature	NN	feature
film	NN	film
takes	VBZ	take
such	PDT	such
a	DT	a
cold	JJ	cold
hard	JJ	hard
look	NN	look
at	IN	at
the	DT	the
lure	NN	lure
,	,	,
the	DT	the
culture	NN	culture
,	,	,
and	CC	and
the	DT	the
brotherhood	NN	brotherhood
of	IN	of
white	JJ	white
supremacy	NN	supremacy
.	SENT	.
nice	JJ	nice
guy	NN	guy
ed	NN	editor
norton	NN	Norton
jr	NN	<unknown>
.	SENT	.
(	(	(
who	WP	who
sang	VBD	sing
in	IN	in
everyone	NN	everyone
says	VBZ	say
i	NNS	i
love	VBP	love
you	PP	you
)	)	)
plays	VBZ	play
derek	NP	Derek
,	,	,
a	DT	a
twenty-year	JJ	<unknown>
old	JJ	old
skinhead	NN	skinhead
.	SENT	.
dad	NN	dad
's	POS	's
subtle	JJ	subtle
racism	NN	racism
grew	VBD	grow
large	JJ	large
in	IN	in
derek	NP	Derek
,	,	,
after	IN	after
gang	NN	gang
members	NNS	member
killed	VBD	kill
his	PP$	his
father	NN	father
.	SENT	.
dad	NN	dad
was	VBD	be
fighting	VBG	fight
a	DT	a
fire	NN	fire
when	WRB	when
they	PP	they
shot	VBD	shoot
him	PP	him
.	SENT	.
now	RB	now
derek	NP	Derek
keeps	VBZ	keep
his	PP$	his
head	NN	head
shaved	VBN	shave
and	CC	and
has	VBZ	have
a	DT	a
giant	JJ	giant
swastika	NN	swastika
tattooed	VBN	tattoo
over	IN	over
his	PP$	his
heart	NN	heart
.	SENT	.
derek	NP	Derek
is	VBZ	be
more	RBR	more
interested	JJ	interested
in	IN	in
the	DT	the
ideas	NNS	idea
of	IN	of
white	JJ	white
supremacy	NN	supremacy
than	IN	than
in	IN	in
its	PP$	its
culture	NN	culture
of	IN	of
violence	NN	violence
.	SENT	.
at	IN	at
a	DT	a
basketball	NN	basketball
court	NN	court
,	,	,
black	JJ	black
and	CC	and
white	JJ	white
tempers	NNS	temper
flare	VBP	flare
.	SENT	.
derek	NP	Derek
channels	VBZ	channel
the	DT	the
aggression	NN	aggression
into	IN	into
a	DT	a
game	NN	game
,	,	,
black	JJ	black
versus	CC	versus
white	JJ	white
,	,	,
for	IN	for
ownership	NN	ownership
of	IN	of
the	DT	the
courts	NNS	court
.	SENT	.
when	WRB	when
the	DT	the
choice	NN	choice
presents	VBZ	present
itself	PP	itself
,	,	,
derek	NP	Derek
goes	VBZ	go
for	IN	for
game	NN	game
point	NN	point
instead	RB	instead
of	IN	of
the	DT	the
sucker-punch	NN	<unknown>
.	SENT	.
cameron	NP	Cameron
(	(	(
stacy	NN	<unknown>
keach	NN	<unknown>
)	)	)
steps	NNS	step
in	IN	in
to	TO	to
derek	NP	Derek
's	POS	's
life	NN	life
as	IN	as
a	DT	a
surrogate	JJ	surrogate
father	NN	father
.	SENT	.
he	PP	he
takes	VBZ	take
derek	NNS	<unknown>
under	IN	under
his	PP$	his
wing	NN	wing
and	CC	and
nurtures	VBZ	nurture
his	PP$	his
racist	JJ	racist
feelings	NNS	feeling
.	SENT	.
keeping	VBG	keep
his	PP$	his
own	JJ	own
criminal	JJ	criminal
record	NN	record
spotless	JJ	spotless
,	,	,
he	PP	he
uses	VBZ	use
derek	NNS	<unknown>
as	IN	as
a	DT	a
leader	NN	leader
and	CC	and
organizer	NN	organizer
for	IN	for
high-visibility	JJ	high-visibility
racial	JJ	racial
intimidation	NN	intimidation
.	SENT	.
derek	NP	Derek
obliges	VBZ	oblige
by	IN	by
leading	VBG	lead
his	PP$	his
younger	JJR	young
and	CC	and
dumber	JJR	dumb
friends	NNS	friend
in	IN	in
race-motivated	JJ	<unknown>
mob	NN	mob
crimes	NNS	crime
.	SENT	.
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
chain	NN	chain
,	,	,
derek	NP	Derek
's	POS	's
younger	JJR	young
brother	NN	brother
danny	NN	danny
(	(	(
edward	JJ	<unknown>
furlong	NN	furlong
,	,	,
made	VBD	make
famous	JJ	famous
in	IN	in
terminator	NN	terminator
2	CD	2
)	)	)
joins	VBZ	join
the	DT	the
skinheads	NNS	skinhead
not	RB	not
for	IN	for
ideological	JJ	ideological
or	CC	or
intellectual	JJ	intellectual
reasons	NNS	reason
,	,	,
but	CC	but
because	IN	because
he	PP	he
admires	VBZ	admire
his	PP$	his
brother	NN	brother
and	CC	and
he	PP	he
wants	VBZ	want
to	TO	to
belong	VB	belong
.	SENT	.
one	CD	one
night	NN	night
three	CD	three
black	JJ	black
youths	NNS	youth
break	VBP	break
into	IN	into
derek	NP	Derek
's	POS	's
truck	NN	truck
,	,	,
which	WDT	which
is	VBZ	be
exactly	RB	exactly
what	WP	what
derek	NP	Derek
has	VBZ	have
been	VBN	be
waiting	VBG	wait
for	IN	for
.	SENT	.
outside	IN	outside
in	IN	in
his	PP$	his
shorts	NNS	short
and	CC	and
his	PP$	his
tattoo	NN	tattoo
,	,	,
he	PP	he
shoots	VBZ	shoot
them	PP	them
all	DT	all
.	SENT	.
the	DT	the
third	JJ	third
would-be	JJ	would-be
thief	NN	thief
,	,	,
unarmed	VBD	unarm
,	,	,
is	VBZ	be
only	RB	only
wounded	VBN	wound
.	SENT	.
in	IN	in
the	DT	the
key	JJ	key
scene	NN	scene
of	IN	of
the	DT	the
film	NN	film
,	,	,
derek	NP	Derek
commands	VBZ	command
the	DT	the
kid	NN	kid
into	IN	into
a	DT	a
position	NN	position
where	WRB	where
he	PP	he
can	MD	can
be	VB	be
killed	VBN	kill
with	IN	with
one	CD	one
glorious	JJ	glorious
,	,	,
enraptured	VBD	enrapture
,	,	,
awful	JJ	awful
stomp	VBP	stomp
.	SENT	.
(	(	(
the	DT	the
fun-spoiling	NN	<unknown>
nc-17	JJ	<unknown>
of	IN	of
orgazmo	NN	<unknown>
seems	VBZ	seem
even	RB	even
more	RBR	more
inappropriate	JJ	inappropriate
,	,	,
considering	VBG	consider
american	JJ	American
history	NN	history
x	SYM	x
was	VBD	be
rated	VBN	rate
