why	WRB	why
do	VBP	do
people	NNS	people
hate	VBP	hate
the	DT	the
spice	NN	spice
girls	NNS	girl
?	SENT	?
?	SENT	?
what	WP	what
exactly	RB	exactly
have	VBP	have
they	PP	they
done	VBN	do
wrong	JJ	wrong
,	,	,
other	JJ	other
than	IN	than
perhaps	RB	perhaps
offend	VB	offend
the	DT	the
fashion	NN	fashion
police	NN	police
?	SENT	?
?	SENT	?
so	RB	so
what	WP	what
if	IN	if
they	PP	they
are	VBP	be
not	RB	not
"	``	"
great	JJ	great
"	''	"
singers---they	NNS	<unknown>
ai	VBP	ai
n't	RB	n't
singing	VBG	sing
opera	NN	opera
,	,	,
folks	NNS	folk
,	,	,
its	PP$	its
pop	JJ	pop
music	NN	music
!	SENT	!
?	SENT	?
who	WP	who
exactly	RB	exactly
is	VBZ	be
a	DT	a
"	``	"
great	JJ	great
"	''	"
singer	NN	singer
?	SENT	?
judging	VBG	judge
by	IN	by
that	DT	that
opening	NN	opening
paragraph	NN	paragraph
it	PP	it
is	VBZ	be
obvious	JJ	obvious
that		IN	that
i	NP	i
like	VB	like
the	DT	the
spice	NN	spice
girls	NNS	girl
.	SENT	.
?	SENT	?
they	PP	they
do	VBP	do
what	WP	what
they	PP	they
do--sing	VBG	<unknown>
some	DT	some
catchy	JJ	catchy
tunes--and	NN	<unknown>
they	PP	they
do	VBP	do
it	PP	it
pretty	RB	pretty
well	RB	well
.	SENT	.
?	SENT	?
they	PP	they
are	VBP	be
able	JJ	able
to	TO	to
carry	VB	carry
that		IN	that
into	IN	into
their	PP$	their
first	JJ	first
film	NN	film
,	,	,
"	``	"
spice	NN	spice
world	NN	world
"	''	"
.	SENT	.
?	SENT	?
"	``	"
spice	NN	spice
world	NN	world
"	''	"
certainly	RB	certainly
is	VBZ	be
n't	RB	n't
a	DT	a
great	JJ	great
filmgoing	JJ	<unknown>
experience	NN	experience
.	SENT	.
.	SENT	.
.	SENT	.
what	WP	what
it	PP	it
is	VBZ	be
what	WP	what
the	DT	the
spice	NN	spice
girls	NNS	girl
are	VBP	be
all	RB	all
about	RB	about
:	:	:
fun	NN	fun
,	,	,
songs	NNS	song
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
"	``	"
girl	NN	girl
power	NN	power
!	SENT	!
"	''	"
drawing	VBG	draw
from	IN	from
a	DT	a
number	NN	number
of	IN	of
different	JJ	different
films	NNS	film
(	(	(
like	IN	like
the	DT	the
beatles	NNS	<unknown>
'	POS	'
"	``	"
hard	JJ	hard
day	NN	day
's	POS	's
night	NN	night
"	''	"
)	)	)
"	``	"
spice	NN	spice
world	NN	world
"	``	"
chronicles	VBZ	chronicle
the	DT	the
week	NN	week
heading	VBG	head
up	RP	up
to	TO	to
the	DT	the
girls	NNS	girl
'	POS	'
first	JJ	first
concert	NN	concert
at	IN	at
london	NP	London
's	POS	's
albert	NN	albert
hall	NN	hall
.	SENT	.
?	SENT	?
they	PP	they
get	VBP	get
to	TO	to
tool	VB	tool
around	RP	around
london	NN	<unknown>
in	IN	in
a	DT	a
big	JJ	big
ol	NN	<unknown>
'	POS	'
bus	NN	bus
(	(	(
driven	VBN	drive
by	IN	by
meat	NN	meat
loaf	NN	loaf
!	SENT	!
)	)	)
and	CC	and
generally	RB	generally
have	VB	have
fun	NN	fun
.	SENT	.
?	SENT	?
in	IN	in
order	NN	order
to	TO	to
through	IN	through
a	DT	a
semblence	NN	<unknown>
of	IN	of
plot	NN	plot
into	IN	into
the	DT	the
film	NN	film
,	,	,
there	EX	there
is	VBZ	be
an	DT	an
evil	JJ	evil
tabloid	JJ	tabloid
publisher	NN	publisher
played	VBN	play
by	IN	by
barry	NN	<unknown>
humphries	NNS	<unknown>
,	,	,
better	RBR	well
known	VBN	know
to	TO	to
americans	NNS	American
,	,	,
for	IN	for
about	RB	about
15	CD	@card@
minutes	NNS	minute
,	,	,
as	IN	as
dame	NN	dame
edna	NN	<unknown>
(	(	(
remember	VB	remember
her	PP	her
?	SENT	?
)	)	)
?	SENT	?
he	PP	he
