plot	NN	plot
:	:	:
a	DT	a
big-time	JJ	big-time
momma	NN	momma
's	POS	's
boy	NN	boy
ca	MD	ca
n't	RB	n't
seem	VB	seem
to	TO	to
leave	VB	leave
his	PP$	his
mother	NN	mother
's	POS	's
crib	NN	crib
and	CC	and
make	VB	make
good	JJ	good
on	IN	on
the	DT	the
babies	NNS	baby
that		IN	that
he	PP	he
himself	PP	himself
has	VBZ	have
produced	VBN	produce
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
he	PP	he
visits	VBZ	visit
his	PP$	his
kids	NNS	kid
(	(	(
and	CC	and
their	PP$	their
mommas	NNS	<unknown>
)	)	)
every	DT	every
now	RB	now
and	CC	and
then	RB	then
,	,	,
but	CC	but
his	PP$	his
main	JJ	main
goal	NN	goal
in	IN	in
life	NN	life
is	VBZ	be
.	SENT	.
.	SENT	.
.	SENT	.
well	RB	well
,	,	,
he	PP	he
does	VBZ	do
n't	RB	n't
have	VB	have
any	DT	any
goals	NNS	goal
.	SENT	.
then	RB	then
one	CD	one
day	NN	day
,	,	,
his	PP$	his
mother	NN	mother
gets	VBZ	get
an	DT	an
ex-gangsta	NP	<unknown>
boyfriend	NN	boyfriend
and	CC	and
suddenly	RB	suddenly
he	PP	he
is	VBZ	be
n't	RB	n't
as	RB	as
welcome	VB	welcome
anymore	RB	anymore
in	IN	in
his	PP$	his
own	JJ	own
house	NN	house
.	SENT	.
it	PP	it
is	VBZ	be
n't	RB	n't
long	JJ	long
after	IN	after
that	DT	that
,	,	,
that		IN	that
his	PP$	his
girlfriends	NNS	girlfriend
start	VBP	start
realizing	VBG	realize
what	WP	what
a	DT	a
jerk	NN	jerk
he	PP	he
really	RB	really
is	VBZ	be
and	CC	and
well	RB	well
.	SENT	.
.	SENT	.
.	SENT	.
it	PP	it
's	VBZ	be
either	DT	either
time	NN	time
to	TO	to
grow	VB	grow
up	RP	up
or	CC	or
bow	VB	bow
down	RP	down
!	SENT	!
critique	NN	critique
:	:	:
first	JJ	first
things	NNS	thing
first	JJ	first
!	SENT	!
this	DT	this
movie	NN	movie
ai	VBZ	ai
n't	RB	n't
about	IN	about
the	DT	the
"	``	"
hood	NN	hood
"	''	"
at	IN	at
all	DT	all
,	,	,
it	PP	it
's	VBZ	be
an	DT	an
intelligent	JJ	intelligent
film	NN	film
about	IN	about
love	NN	love
,	,	,
relationships	NNS	relationship
,	,	,
family	NN	family
,	,	,
friendship	NN	friendship
,	,	,
maturity	NN	maturity
and	CC	and
growing	VBG	grow
up	RP	up
.	SENT	.
do	VBP	do
not	RB	not
avoid	VB	avoid
this	DT	this
film	NN	film
because	IN	because
you	PP	you
think	VBP	think
it	PP	it
's	VBZ	be
about	IN	about
gangbangers	NNS	<unknown>
and	CC	and
stuff	NN	stuff
,	,	,
because	IN	because
it	PP	it
is	VBZ	be
n't	RB	n't
at	IN	at
all	DT	all
.	SENT	.
it	PP	it
's	VBZ	be
about	IN	about
you	PP	you
,	,	,
it	PP	it
's	VBZ	be
about	IN	about
me	PP	me
,	,	,
it	PP	it
's	VBZ	be
about	RB	about
your	PP$	your
girlfriend	NN	girlfriend
,	,	,
your	PP$	your
mother	NN	mother
,	,	,
your	PP$	your
problems	NNS	problem
and	CC	and
your	PP$	your
inability	NN	inability
to	TO	to
face	VB	face
up	RP	up
to	TO	to
your	PP$	your
responsibilities	NNS	responsibility
and	CC	and
to	TO	to
,	,	,
well	RB	well
.	SENT	.
.	SENT	.
.	SENT	.
grow	VB	grow
up	RB	up
!	SENT	!
this	DT	this
is	VBZ	be
an	DT	an
extremely	RB	extremely
well-written	VBN	well-write
film	NN	film
,	,	,
with	IN	with
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
developed	JJ	developed
characters	NNS	character
that		IN	that
i	NNS	i
've	VBP	have
seen	VBN	see
on	IN	on
the	DT	the
screen	NN	screen
all	DT	all
year	NN	year
,	,	,
with	IN	with
superb	JJ	superb
acting	VBG	act
performances	NNS	performance
to	TO	to
match	VB	match
.	SENT	.
granted	VBN	grant
,	,	,
the	DT	the
film	NN	film
does	VBZ	do
start	VB	start
a	DT	a
little	RB	little
slow	JJ	slow
(	(	(
and	CC	and
go	VB	go
a	DT	a
little	RB	little
long	JJ	long
)	)	)
,	,	,
but	CC	but
hang	VB	hang
in	IN	in
there	RB	there
,	,	,
because	IN	because
once	RB	once
you	PP	you
appreciate	VBP	appreciate
and	CC	and
get	VBP	get
to	TO	to
know	VB	know
all	DT	all
of	IN	of
its	PP$	its
characters	NNS	character
,	,	,
you	PP	you
will	MD	will
be	VB	be
glad	JJ	glad
that		IN	that
you	PP	you
did	VBD	do
.	SENT	.
this	DT	this
is	VBZ	be
n't	RB	n't
a	DT	a
kid	NN	kid
's	POS	's
movie	NN	movie
.	SENT	.
this	DT	this
is	VBZ	be
about	RB	about
the	DT	the
step	NN	step
that		IN	that
you	PP	you
need	VBP	need
to	TO	to
take	VB	take
in	IN	in
order	NN	order
to	TO	to
pass	VB	pass
into	IN	into
full	JJ	full
"	``	"
adulthood	NN	adulthood
"	''	"
and	CC	and
some	DT	some
might	MD	might
not	RB	not
appreciate	VB	appreciate
the	DT	the
grander	JJR	grand
theme	NN	theme
behind	IN	behind
that	DT	that
step	NN	step
.	SENT	.
i	NP	i
certainly	RB	certainly
did	VBD	do
,	,	,
because	IN	because
i	NP	i
too	RB	too
passed	VBD	pass
,	,	,
and	CC	and
am	VBP	be
passing	VBG	pass
,	,	,
through	IN	through
many	JJ	many
of	IN	of
these	DT	these
very	RB	very
same	JJ	same
things	NNS	thing
right	RB	right
now	RB	now
(	(	(
yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
i	NP	i
still	RB	still
live	VBP	live
with	IN	with
my	PP$	my
momma	NN	momma
!	SENT	!
!	SENT	!
)	)	)
and	CC	and
related	VBN	relate
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
events	NNS	event
that	WDT	that
went	VBD	go
down	RP	down
in	IN	in
this	DT	this
flick	NN	flick
(	(	(
oh	UH	oh
yeah	RB	yeah
,	,	,
and	CC	and
for	IN	for
the	DT	the
record	NN	record
,	,	,
i	NNS	i
'm	VBP	be
not	RB	not
black	JJ	black
but	CC	but
that	WDT	that
made	VBD	make
absolutely	RB	absolutely
zero	CD	zero
difference	NN	difference
in	IN	in
this	DT	this
case	NN	case
)	)	)
.	SENT	.
but	CC	but
that	DT	that
's	VBZ	be
not	RB	not
even	RB	even
half	PDT	half
the	DT	the
story	NN	story
.	SENT	.
you	PP	you
see	VBP	see
,	,	,
the	DT	the
film	NN	film
is	VBZ	be
damn	RB	damn
funny	JJ	funny
,	,	,
too	RB	too
.	SENT	.
.	SENT	.
.	SENT	.
and	CC	and
i	NP	i
mean	VBP	mean
,	,	,
damn	RB	damn
funny	JJ	funny
!	SENT	!
i	NP	i
was	VBD	be
crackin	NP	<unknown>
'	POS	'
up	RB	up
at	IN	at
almost	RB	almost
every	DT	every
other	JJ	other
scene	NN	scene
,	,	,
and	CC	and
they	PP	they
were	VBD	be
n't	RB	n't
"	``	"
set-up	NN	set-up
jokes	NNS	joke
"	''	"
like	IN	like
your	PP$	your
typical	JJ	typical
comedies	NNS	comedy
either	CC	either
,	,	,
just	RB	just
day-to-day	JJ	day-to-day
things	NNS	thing
that		IN	that
we	PP	we
could	MD	could
all	RB	all
relate	VB	relate
to	TO	to
(	(	(
like	IN	like
the	DT	the
scene	NN	scene
in	IN	in
which	WDT	which
ving	NN	<unknown>
rhames	NNS	<unknown>
is	VBZ	be
"	``	"
drinking	VBG	drink
koolaid	JJ	<unknown>
"	''	"
in	IN	in
the	DT	the
kitchen	NN	kitchen
and	CC	and
his	PP$	his
infamously	RB	infamously
improvised	VBN	improvise
"	``	"
african	JJ	African
squat	JJ	squat
f	NN	f
*	SYM	*
*	SYM	*
k	NN	k
"	''	"
scene	NN	scene
,	,	,
which	WDT	which
you	PP	you
just	RB	just
gotta	VB	gotta
see	VB	see
to	TO	to
believe	VB	believe
!	SENT	!
)	)	)
and	CC	and
there	EX	there
are	VBP	be
the	DT	the
performances	NNS	performance
,	,	,
too	RB	too
.	SENT	.
ving	NN	<unknown>
rhames	NNS	<unknown>
,	,	,
now	RB	now
here	RB	here
's	VBZ	be
a	DT	a
man	NN	man
who	WP	who
has	VBZ	have
already	RB	already
established	VBN	establish
an	DT	an
early	JJ	early
lead	NN	lead
in	IN	in
the	DT	the
race	NN	race
for	IN	for
best	JJS	good
supporting	VBG	support
actor	NN	actor
at	IN	at
the	DT	the
end	NN	end
of	IN	of
this	DT	this
year	NN	year
.	SENT	.
damn	JJ	damn
dude	NN	dude
,	,	,
you	PP	you
scared	VBD	scare
the	DT	the
shit	NN	shit
outta	NN	<unknown>
me	PP	me
!	SENT	!
tyrese	JJ	<unknown>
gibson	NN	<unknown>
,	,	,
i	NNS	i
have	VBP	have
no	DT	no
idea	NN	idea
where	WRB	where
this	DT	this
guy	NN	guy
came	VBD	come
from	IN	from
(	(	(
an	DT	an
r&b	NN	<unknown>
singer	NN	singer
and	CC	and
mtv	NN	<unknown>
vj	NN	<unknown>
,	,	,
you	PP	you
say	VBP	say
.	SENT	.
.	SENT	.
.	SENT	.
hmmmm	NP	<unknown>
?	SENT	?
)	)	)
,	,	,
but	CC	but
other	JJ	other
than	IN	than
his	PP$	his
uncanny	JJ	uncanny
resemblance	NN	resemblance
to	TO	to
taye	NN	<unknown>
diggs	NNS	<unknown>
,	,	,
he	PP	he
nailed	VBD	nail
this	DT	this
part	NN	part
to	TO	to
the	DT	the
tee	NN	tee
.	SENT	.
from	IN	from
scene	NN	scene
one	CD	one
on	RB	on
,	,	,
i	NP	i
was	VBD	be
glued	VBN	glue
to	TO	to
his	PP$	his
performance	NN	performance
and	CC	and
sympathized	VBN	sympathize
with	IN	with
his	PP$	his
character	NN	character
as	IN	as
he	PP	he
molded	VBD	mold
and	CC	and
shaped	VBD	shape
himself	PP	himself
into	IN	into
the	DT	the
person	NN	person
that		IN	that
he	PP	he
hoped	VBD	hope
to	TO	to
become	VB	become
one	CD	one
day	NN	day
.	SENT	.
and	CC	and
everyone	NN	everyone
else	RB	else
,	,	,
too	RB	too
.	SENT	.
gibson	NP	Gibson
's	POS	's
girlfriend	NN	girlfriend
in	IN	in
the	DT	the
film	NN	film
,	,	,
taraji	NN	<unknown>
henson	NN	<unknown>
,	,	,
made	VBD	make
me	PP	me
a	DT	a
backer	NN	backer
with	IN	with
her	PP$	her
many	JJ	many
subtle	JJ	subtle
touches	NNS	touch
,	,	,
all	DT	all
of	IN	of
which	WDT	which
helped	VBD	help
raise	VB	raise
her	PP$	her
character	NN	character
several	JJ	several
levels	NNS	level
above	IN	above
the	DT	the
"	``	"
typical	JJ	typical
"	''	"
bitchie	NN	<unknown>
girlfriend	NN	girlfriend
that		IN	that
we	PP	we
've	VBP	have
seen	VBN	see
in	IN	in
many	JJ	many
of	IN	of
these	DT	these
relationship	NN	relationship
movies	NNS	movie
.	SENT	.
but	CC	but
that	DT	that
's	VBZ	be
the	DT	the
thing	NN	thing
that		IN	that
i	NP	i
liked	VBD	like
the	DT	the
most	JJS	most
about	IN	about
this	DT	this
movie	NN	movie
.	SENT	.
everyone	NN	everyone
seemed	VBD	seem
real	JJ	real
,	,	,
the	DT	the
situations	NNS	situation
felt	VBD	feel
authentic	JJ	authentic
,	,	,
the	DT	the
characters	NNS	character
all	RB	all
came	VBD	come
across	RP	across
as	IN	as
people	NNS	people
like	IN	like
you	PP	you
and	CC	and
me	PP	me
with	IN	with
issues	NNS	issue
and	CC	and
struggles	NNS	struggle
and	CC	and
hopes	NNS	hope
and	CC	and
fears	NNS	fear
.	SENT	.
i	NP	i
liked	VBD	like
this	DT	this
movie	NN	movie
a	DT	a
lot	NN	lot
because	IN	because
it	PP	it
was	VBD	be
masterfully	RB	masterfully
written	VBN	write
,	,	,
wonderfully	RB	wonderfully
acted	VBN	act
and	CC	and
genuinely	RB	genuinely
entertaining	JJ	entertaining
to	TO	to
watch	VB	watch
.	SENT	.
and	CC	and
yeah	RB	yeah
,	,	,
i	NP	i
even	RB	even
liked	VBD	like
the	DT	the
whole	JJ	whole
homage	NN	homage
to	TO	to
boyz	NN	<unknown>
'n	NNS	<unknown>
the	DT	the
hood	NN	hood
that		IN	that
singleton	NN	singleton
pulled	VBD	pull
off	RP	off
in	IN	in
the	DT	the
end	NN	end
(	(	(
he	PP	he
called	VBD	call
this	DT	this
movie	NN	movie
a	DT	a
"	``	"
companion	JJ	companion
piece	NN	piece
"	''	"
to	TO	to
that	DT	that
film	NN	film
)	)	)
.	SENT	.
a	DT	a
very	RB	very
solid	JJ	solid
follow-up	NN	follow-up
to	TO	to
an	DT	an
ever	RB	ever
greater	JJR	great
original	JJ	original
