bill	NN	bill
condon	NN	<unknown>
's	POS	's
"	``	"
gods	NNS	god
and	CC	and
monsters	NNS	monster
"	''	"
is	VBZ	be
a	DT	a
fascinating	JJ	fascinating
look	NN	look
into	IN	into
the	DT	the
last	JJ	last
days	NNS	day
in	IN	in
the	DT	the
life	NN	life
of	IN	of
gay	JJ	gay
director	NN	director
james	NNS	<unknown>
whale	NN	whale
(	(	(
ian	NN	<unknown>
mckellan	NN	<unknown>
)	)	)
,	,	,
who	WP	who
made	VBD	make
the	DT	the
horror	NN	horror
classics	NNS	classic
"	``	"
frankenstein	NN	<unknown>
"	''	"
and	CC	and
"	``	"
bride	NN	bride
of	IN	of
frankenstein	NN	<unknown>
.	SENT	.
"	''	"
since	IN	since
i	NP	i
was	VBD	be
unfamiliar	JJ	unfamiliar
of	IN	of
whale	NN	whale
prior	RB	prior
to	TO	to
viewing	VBG	view
the	DT	the
film	NN	film
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
way	NN	way
to	TO	to
know	VB	know
how	WRB	how
accurate	JJ	accurate
the	DT	the
film	NN	film
is	VBZ	be
,	,	,
but	CC	but
i	NP	i
suspect	VBP	suspect
that		IN	that
much	RB	much
of	IN	of
it	PP	it
only	RB	only
came	VBD	come
from	IN	from
whale	NN	whale
's	POS	's
inner	JJ	inner
fantasies	NNS	fantasy
and	CC	and
hallucinations	NNS	hallucination
.	SENT	.
whale	NN	whale
,	,	,
who	WP	who
fought	VBD	fight
in	IN	in
wwi	NNS	<unknown>
and	CC	and
then	RB	then
went	VBD	go
on	RP	on
to	TO	to
become	VB	become
known	VBN	know
for	IN	for
his	PP$	his
work	NN	work
on	IN	on
horror	NN	horror
pictures	NNS	picture
,	,	,
decided	VBD	decide
fifteen	CD	fifteen
years	NNS	year
before	IN	before
his	PP$	his
death	NN	death
at	IN	at
age	NN	age
67	CD	@card@
to	TO	to
quit	VB	quit
filmmaking	VBG	filmmak
once	IN	once
a	DT	a
homosexual	JJ	homosexual
scandal	NN	scandal
broke	VBD	break
out	RP	out
involving	VBG	involve
him	PP	him
.	SENT	.
as	IN	as
the	DT	the
film	NN	film
tells	VBZ	tell
it	PP	it
,	,	,
during	IN	during
the	DT	the
end	NN	end
of	IN	of
his	PP$	his
life	NN	life
,	,	,
whale	NN	whale
,	,	,
at	IN	at
his	PP$	his
large	JJ	large
home	NN	home
in	IN	in
l	NN	l
.	SENT	.
a	DT	a
.	SENT	.
,	,	,
became	VBD	become
infatuated	JJ	infatuated
with	IN	with
the	DT	the
tall	JJ	tall
,	,	,
handsome	JJ	handsome
,	,	,
and	CC	and
much	RB	much
younger	JJR	young
man	NN	man
,	,	,
clayton	NN	<unknown>
boone	NN	<unknown>
(	(	(
brendan	JJ	<unknown>
fraser	NN	<unknown>
)	)	)
,	,	,
who	WP	who
was	VBD	be
working	VBG	work
as	IN	as
the	DT	the
gardener	NN	gardener
at	IN	at
his	PP$	his
home	NN	home
.	SENT	.
james	NNS	<unknown>
whale	NN	whale
,	,	,
we	PP	we
learn	VBP	learn
quickly	RB	quickly
was	VBD	be
,	,	,
what	WP	what
many	JJ	many
people	NNS	people
refer	VBP	refer
to	TO	to
him	PP	him
as	IN	as
in	IN	in
the	DT	the
film	NN	film
,	,	,
"	''	"
a	DT	a
dirty	JJ	dirty
old	JJ	old
man	NN	man
.	SENT	.
"	''	"
in	IN	in
one	CD	one
of	IN	of
the	DT	the
opening	NN	opening
scenes	NNS	scene
,	,	,
a	DT	a
young	JJ	young
film	NN	film
enthusiast	NN	enthusiast
visits	VBZ	visit
whale	NN	whale
's	POS	's
home	NN	home
to	TO	to
interview	VB	interview
him	PP	him
and	CC	and
whale	NN	whale
agrees	VBZ	agree
,	,	,
on	IN	on
one	CD	one
condition	NN	condition
:	:	:
