set	VBN	set
in	IN	in
the	DT	the
wild	JJ	wild
west	NN	west
,	,	,
this	DT	this
carry	NN	carry
on	IN	on
centres	NNS	centre
around	IN	around
the	DT	the
arrival	NN	arrival
of	IN	of
the	DT	the
rumpo	NN	<unknown>
kid	NN	kid
(	(	(
sidney	NN	<unknown>
james	NNS	<unknown>
)	)	)
and	CC	and
his	PP$	his
cronies	NNS	crony
in	IN	in
stodge	NN	stodge
city	NN	city
.	SENT	.
his	PP$	his
dodgy	JJ	dodgy
dealings	NNS	dealing
and	CC	and
summary	NN	summary
shootings	NNS	shooting
aggravate	VBP	aggravate
judge	NN	judge
burke	VB	burke
(	(	(
kenneth	NP	Kenneth
williams	NP	Williams
)	)	)
so	RB	so
much	JJ	much
that		IN	that
he	PP	he
asks	VBZ	ask
sheriff	NN	sheriff
albert	NN	albert
earp	NN	<unknown>
(	(	(
jon	NN	<unknown>
pertwee	NN	<unknown>
)	)	)
to	TO	to
drive	VB	drive
rumpo	NN	<unknown>
out	RP	out
of	IN	of
town	NN	town
.	SENT	.
instead	RB	instead
,	,	,
the	DT	the
rumpo	NN	<unknown>
kid	NN	kid
shoots	VBZ	shoot
the	DT	the
sheriff	NN	sheriff
dead	NN	dead
.	SENT	.
therefore	RB	therefore
,	,	,
judge	VB	judge
burke	VB	burke
sends	NNS	send
for	IN	for
a	DT	a
law	NN	law
marshall	NN	<unknown>
to	TO	to
come	VB	come
in	RP	in
and	CC	and
clean	VB	clean
up	RP	up
the	DT	the
city	NN	city
.	SENT	.
due	JJ	due
to	TO	to
a	DT	a
misunderstanding	NN	misunderstanding
,	,	,
an	DT	an
english	JJ	English
sanitary	JJ	sanitary
engineer	NN	engineer
called	VBD	call
marshall	NN	<unknown>
p	NN	p
.	SENT	.
knutt	NP	Knutt
(	(	(
jim	NN	<unknown>
dale	NN	dale
)	)	)
is	VBZ	be
assigned	VBN	assign
,	,	,
without	IN	without
knowing	VBG	know
it	PP	it
,	,	,
as	IN	as
the	DT	the
law	NN	law
marshall	NN	<unknown>
for	IN	for
stodge	NN	stodge
city	NN	city
.	SENT	.
he	PP	he
arrives	VBZ	arrive
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
as	IN	as
annie	NN	<unknown>
oakley	NN	<unknown>
(	(	(
angela	NN	<unknown>
douglas	NNS	<unknown>
)	)	)
who	WP	who
is	VBZ	be
seeking	VBG	seek
revenge	NN	revenge
for	IN	for
her	PP$	her
father	NN	father
,	,	,
the	DT	the
sheriff	NN	sheriff
's	POS	's
murder	NN	murder
.	SENT	.
when	WRB	when
marshall	NN	<unknown>
arrives	VBZ	arrive
at	IN	at
stodge	NN	stodge
city	NN	city
,	,	,
he	PP	he
soon	RB	soon
becomes	VBZ	become
aware	JJ	aware
of	IN	of
the	DT	the
misunderstanding	NN	misunderstanding
and	CC	and
due	JJ	due
to	TO	to
his	PP$	his
rather	RB	rather
limited	JJ	limited
intellect	NN	intellect
,	,	,
he	PP	he
is	VBZ	be
manipulated	VBN	manipulate
by	IN	by
the	DT	the
rumpo	NN	<unknown>
kid	NN	kid
and	CC	and
always	RB	always
ends	VBZ	end
up	IN	up
getting	VBG	get
things	NNS	thing
wrong	JJ	wrong
.	SENT	.
in	IN	in
the	DT	the
end	NN	end
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
head-to-head	NN	head-to-head
between	IN	between
rumpo	NN	<unknown>
and	CC	and
marshall	NN	<unknown>
.	SENT	.
with	IN	with
the	DT	the
rumpo	NN	<unknown>
's	POS	's
past	JJ	past
experience	NN	experience
,	,	,
it	PP	it
would	MD	would
seem	VB	seem
that	DT	that
marshall	NN	<unknown>
is	VBZ	be
out	RP	out
of	IN	of
his	PP$	his
depth	NN	depth
,	,	,
but	CC	but
using	VBG	use
his	PP$	his
sanitary	JJ	sanitary
skills	NNS	skill
and	CC	and
learning	VBG	learn
the	DT	the
ways	NNS	way
of	IN	of
the	DT	the
west	NN	west
from	IN	from
annie	NN	<unknown>
oakley	NN	<unknown>
,	,	,
he	PP	he
at	IN	at
least	JJS	least
stands	VBZ	stand
some	DT	some
chance	NN	chance
!	SENT	!
sid	JJ	<unknown>
james	NNS	<unknown>
,	,	,
with	IN	with
an	DT	an
american	JJ	American
accent	NN	accent
,	,	,
is	VBZ	be
perfect	JJ	perfect
as	IN	as
the	DT	the
rumpo	NN	<unknown>
kid	NN	kid
,	,	,
a	DT	a
part	NN	part
which	WDT	which
suits	VBZ	suit
him	PP	him
down	RP	down
to	TO	to
the	DT	the
ground	NN	ground
.	SENT	.
jim	NN	<unknown>
dale	NN	dale
provides	VBZ	provide
one	CD	one
of	IN	of
his	PP$	his
best	JJS	good
carry	NN	carry
on	IN	on
performances	NNS	performance
as	IN	as
the	DT	the
stupid	JJ	stupid
sanitary	JJ	sanitary
engineer	NN	engineer
,	,	,
and	CC	and
angela	NN	<unknown>
douglas	NNS	<unknown>
is	VBZ	be
very	RB	very
effective	JJ	effective
in	IN	in
her	PP$	her
role	NN	role
as	IN	as
the	DT	the
revengeful	JJ	revengeful
daughter	NN	daughter
.	SENT	.
other	JJ	other
regulars	NNS	regular
that	WDT	that
appear	VBP	appear
in	IN	in
this	DT	this
movie	NN	movie
include	VBP	include
charles	NNS	<unknown>
hawtrey	NN	<unknown>
and	CC	and
bernard	NN	<unknown>
bresslaw	NN	<unknown>
(	(	(
in	IN	in
his	PP$	his
debut	NN	debut
)	)	)
as	IN	as
big	JJ	big
heap	NN	heap
and	CC	and
little	JJ	little
heap	NN	heap
respectively	RB	respectively
.	SENT	.
big	JJ	big
heap	NN	heap
is	VBZ	be
the	DT	the
local	JJ	local
indian	JJ	Indian
leader	NN	leader
and	CC	and
the	DT	the
crazy	JJ	crazy
casting	NN	casting
of	IN	of
hawtrey	NN	<unknown>
for	IN	for
this	DT	this
part	NN	part
is	VBZ	be
very	RB	very
amusing	JJ	amusing
,	,	,
as	RB	as
is	VBZ	be
his	PP$	his
performance	NN	performance
:	:	:
-	:	-
he	PP	he
steals	VBZ	steal
every	DT	every
scene	NN	scene
he	PP	he
is	VBZ	be
in	RB	in
even	RB	even
though	IN	though
he	PP	he
does	VBZ	do
not	RB	not
enter	VB	enter
the	DT	the
film	NN	film
until	IN	until
thirty	CD	thirty
minutes	NNS	minute
past	JJ	past
.	SENT	.
joan	JJ	<unknown>
sims	NN	<unknown>
provides	VBZ	provide
useful	JJ	useful
and	CC	and
amusing	JJ	amusing
support	NN	support
as	IN	as
belle	NN	belle
,	,	,
the	DT	the
local	JJ	local
bar	NN	bar
owner	NN	owner
who	WP	who
takes	VBZ	take
a	DT	a
fancy	NN	fancy
to	TO	to
the	DT	the
rumpo	NN	<unknown>
kid	NN	kid
.	SENT	.
however	RB	however
,	,	,
the	DT	the
part	NN	part
of	IN	of
doc	NN	doc
played	VBN	play
by	IN	by
peter	NN	peter
butterworth	NN	<unknown>
and	CC	and
sheriff	NN	sheriff
albert	NN	albert
earp	NN	<unknown>
played	VBN	play
by	IN	by
jon	NN	<unknown>
pertwee	NNS	<unknown>
are	VBP	be
not	RB	not
really	RB	really
necessary	JJ	necessary
