synopsis	NN	synopsis
:	:	:
captain	NN	captain
picard	NN	<unknown>
and	CC	and
the	DT	the
crew	NN	crew
of	IN	of
the	DT	the
starship	NN	Starship
enterprise	NN	enterprise
disobey	VB	disobey
federation	NN	federation
orders	NNS	order
and	CC	and
defend	VB	defend
a	DT	a
peaceful	JJ	peaceful
community	NN	community
of	IN	of
600	CD	@card@
,	,	,
the	DT	the
ba'ku	NN	<unknown>
,	,	,
from	IN	from
the	DT	the
evil	JJ	evil
admiral	NN	admiral
dougherty	NN	<unknown>
and	CC	and
ru'afro	NN	<unknown>
.	SENT	.
the	DT	the
enterprise	NN	enterprise
crew	NN	crew
,	,	,
in	IN	in
the	DT	the
meantime	NN	meantime
,	,	,
experience	VBP	experience
the	DT	the
rejuvenating	VBG	rejuvenate
qualities	NNS	quality
of	IN	of
the	DT	the
ba'ku	NN	<unknown>
homeworld	NN	<unknown>
:	:	:
lt	NN	<unknown>
.	SENT	.
worf	NP	Worf
grows	VBZ	grow
a	DT	a
pimple	NN	pimple
,	,	,
data	NN	data
sings	VBZ	sing
opera	NN	opera
pieces	NNS	piece
,	,	,
picard	NN	<unknown>
scores	NNS	score
with	IN	with
a	DT	a
ba'ku	NN	<unknown>
chick	NN	chick
,	,	,
riker	NN	<unknown>
shaves	NNS	shave
while	IN	while
sharing	VBG	share
a	DT	a
bubblebath	NN	<unknown>
with	IN	with
troi	NNS	<unknown>
,	,	,
and	CC	and
the	DT	the
enterprise	NN	enterprise
women	NNS	woman
note	VBP	note
their	PP$	their
firmer	JJR	firm
breasts	NNS	breast
.	SENT	.
comments	NNS	comment
:	:	:
"	``	"
star	NN	star
trek	NN	trek
:	:	:
the	DT	the
next	JJ	next
generation	NN	generation
"	''	"
was	VBD	be
a	DT	a
hugely	RB	hugely
successful	JJ	successful
sequel	NN	sequel
tv	NN	tv
series	NN	series
to	TO	to
"	``	"
star	NN	star
trek	NN	trek
,	,	,
"	''	"
a	DT	a
science	NN	science
fiction	NN	fiction
series	NN	series
which	WDT	which
developed	VBD	develop
a	DT	a
devoted	JJ	devoted
fan	NN	fan
following	VBG	follow
in	IN	in
the	DT	the
1970s	NNS	1970s
.	SENT	.
even	RB	even
though	IN	though
it	PP	it
still	RB	still
enjoyed	VBD	enjoy
high	JJ	high
ratings	NNS	rating
,	,	,
"	``	"
star	NN	star
trek	NN	trek
:	:	:
the	DT	the
next	JJ	next
generation	NN	generation
"	''	"
ended	VBN	end
production	NN	production
after	IN	after
seven	CD	seven
years	NNS	year
so	RB	so
that		IN	that
the	DT	the
cast	NN	cast
could	MD	could
replace	VB	replace
the	DT	the
original	JJ	original
"	``	"
star	NN	star
trek	NN	trek
"	``	"
's	VBZ	be
cast	VBN	cast
in	IN	in
paramount	NN	paramount
's	POS	's
film	NN	film
franchise	NN	franchise
centering	VBG	center
on	IN	on
the	DT	the
voyages	NNS	voyage
of	IN	of
the	DT	the
starship	NN	Starship
enterprise	NN	enterprise
