although	IN	although
i	NP	i
had	VBD	have
not	RB	not
been	VBN	be
a	DT	a
viewer	NN	viewer
of	IN	of
the	DT	the
"	``	"
rugrats	NNS	<unknown>
"	''	"
television	NN	television
series	NN	series
,	,	,
i	NP	i
went	VBD	go
into	IN	into
their	PP$	their
first	JJ	first
animated	JJ	animated
feature	NN	feature
film	NN	film
,	,	,
"	''	"
the	DT	the
rugrats	NNS	<unknown>
movie	NN	movie
,	,	,
"	''	"
with	IN	with
a	DT	a
positive	JJ	positive
attitude	NN	attitude
.	SENT	.
the	DT	the
trailer	NN	trailer
looked	VBD	look
cute	JJ	cute
enough	NN	enough
,	,	,
after	IN	after
all	DT	all
.	SENT	.
after	IN	after
seeing	VBG	see
it	PP	it
,	,	,
i	NNS	i
think	VBP	think
the	DT	the
words	NNS	word
in	IN	in
my	PP$	my
recent	JJ	recent
"	``	"
antz	NN	<unknown>
"	''	"
review	NN	review
,	,	,
in	IN	in
which	WDT	which
i	NP	i
stated	VBD	state
that		IN	that
it	PP	it
was	VBD	be
the	DT	the
worst	JJS	bad
film	NN	film
of	IN	of
its	PP$	its
type	NN	type
since	IN	since
1995	CD	@card@
's	POS	's
"	``	"
the	DT	the
pebble	NN	pebble
and	CC	and
the	DT	the
penguin	NN	penguin
,	,	,
"	''	"
were	VBD	be
a	DT	a
bit	NN	bit
premature	JJ	premature
.	SENT	.
"	``	"
the	DT	the
rugrats	NNS	<unknown>
movie	NN	movie
,	,	,
"	''	"
is	VBZ	be
bottom-of-the-barrel	NN	bottom-of-the-barrel
children	NNS	child
's	POS	's
fare	NN	fare
at	IN	at
its	PP$	its
worst	JJS	bad
,	,	,
and	CC	and
starts	VBZ	start
to	TO	to
make	VB	make
,	,	,
"	``	"
antz	NN	<unknown>
"	''	"
look	VBP	look
good	JJ	good
in	IN	in
comparison	NN	comparison
.	SENT	.
as	RB	as
in	IN	in
the	DT	the
show	NN	show
,	,	,
"	''	"
the	DT	the
rugrats	NNS	<unknown>
movie	NN	movie
,	,	,
"	''	"
is	VBZ	be
about	RB	about
a	DT	a
group	NN	group
of	IN	of
very	RB	very
little	JJ	little
friends	NNS	friend
,	,	,
ranging	VBG	range
from	IN	from
babies	NNS	baby
to	TO	to
a	DT	a
three-year-old	JJ	three-year-old
.	SENT	.
the	DT	the
head	NN	head
of	IN	of
the	DT	the
group	NN	group
,	,	,
tommy	NN	tommy
pickles	NNS	pickle
(	(	(
e	LS	e
.	SENT	.
g	NN	g
.	SENT	.
daily	NN	daily
)	)	)
,	,	,
becomes	VBZ	become
distraught	JJ	distraught
when	WRB	when
his	PP$	his
mother	NN	mother
has	VBZ	have
a	DT	a
newborn	JJ	newborn
baby	NN	baby
named	VBN	name
dill	NN	dill
(	(	(
get	VB	get
it	PP	it
?	SENT	?
dill	NN	dill
pickles	NNS	pickle
?	SENT	?
.	SENT	.
.	SENT	.
.	SENT	.
hardee-har-har	NP	<unknown>
!	SENT	!
)	)	)
and	CC	and
is	VBZ	be
informed	VBN	inform
by	IN	by
his	PP$	his
three-year-old	JJ	three-year-old
cousin	NN	cousin
,	,	,
anjelica	NP	Anjelica
(	(	(
cheryl	NN	<unknown>
chase	NN	chase
)	)	)
,	,	,
that		IN	that
the	DT	the
new	JJ	new
babies	NNS	baby
always	RB	always
take	VBP	take
all	DT	all
of	IN	of
the	DT	the
attention	NN	attention
away	RB	away
from	IN	from
the	DT	the
other	JJ	other
children	NNS	child
.	SENT	.
when	WRB	when
the	DT	the
other	JJ	other
children	NNS	child
,	,	,
chuckie	NN	Chuckie
,	,	,
and	CC	and
twins	NNS	twin
lil	NNS	<unknown>
and	CC	and
phil	NN	<unknown>
,	,	,
suggest	VBP	suggest
taking	VBG	take
dill	NN	dill
back	RB	back
to	TO	to
the	DT	the
hospital	NN	hospital
,	,	,
tommy	NN	tommy
goes	VBZ	go
along	RP	along
with	IN	with
it	PP	it
,	,	,
but	CC	but
on	IN	on
their	PP$	their
way	NN	way
there	RB	there
,	,	,
they	PP	they
crash	VBP	crash
in	IN	in
the	DT	the
forest	NN	forest
,	,	,
and	CC	and
become	VB	become
lost	VBN	lose
,	,	,
running	VBG	run
into	IN	into
wolves	NNS	wolf
and	CC	and
circus	NN	circus
monkeys	NNS	monkey
,	,	,
among	IN	among
other	JJ	other
things	NNS	thing
.	SENT	.
"	``	"
the	DT	the
rugrats	NNS	<unknown>
movie	NN	movie
,	,	,
"	''	"
judging	VBG	judge
from	IN	from
the	DT	the
idea	NN	idea
of	IN	of
being	VBG	be
lost	VBN	lose
in	IN	in
the	DT	the
woods	NNS	wood
,	,	,
could	MD	could
have	VB	have
been	VBN	be
a	DT	a
potentially	RB	potentially
fun	NN	fun
family	NN	family
film	NN	film
,	,	,
and	CC	and
there	EX	there
were	VBD	be
many	JJ	many
different	JJ	different
things	NNS	thing
that	WDT	that
could	MD	could
have	VB	have
been	VBN	be
done	VBN	do
with	IN	with
