oh	UH	oh
god	NN	god
how	WRB	how
many	JJ	many
john	NN	john
grisham	NN	<unknown>
lawyer	NN	lawyer
films	NNS	film
we	PP	we
have	VBP	have
been	VBN	be
munundated	VBN	<unknown>
with	IN	with
!	SENT	!
in	IN	in
a	DT	a
perfect	JJ	perfect
world	NN	world
,	,	,
"	''	"
a	DT	a
civil	JJ	civil
action	NN	action
"	''	"
would	MD	would
be	VB	be
a	DT	a
breath	NN	breath
of	IN	of
fresh	JJ	fresh
air	NN	air
.	SENT	.
it	PP	it
's	VBZ	be
cynical	JJ	cynical
about	IN	about
lawyers	NNS	lawyer
in	IN	in
a	DT	a
way	NN	way
that		IN	that
grisham	NN	<unknown>
is	VBZ	be
n't	RB	n't
.	SENT	.
it	PP	it
's	VBZ	be
romantic	JJ	romantic
in	IN	in
the	DT	the
exact	JJ	exact
opposite	JJ	opposite
way	NN	way
a	DT	a
grisham	NN	<unknown>
book/	NN	<unknown>
film	NN	film
is	VBZ	be
n't	RB	n't
.	SENT	.
and	CC	and
,	,	,
the	DT	the
capper	NN	capper
,	,	,
it	PP	it
has	VBZ	have
no	DT	no
distinct	JJ	distinct
ending	NN	ending
,	,	,
and	CC	and
the	DT	the
law	NN	law
in	IN	in
hollywood	NN	<unknown>
films	NNS	film
is	VBZ	be
that		IN	that
above	IN	above
all	DT	all
else	JJ	else
,	,	,
you	PP	you
must	MD	must
have	VB	have
an	DT	an
ending	NN	ending
.	SENT	.
even	RB	even
if	IN	if
it	PP	it
's	VBZ	be
based	VBN	base
on	IN	on
a	DT	a
true	JJ	true
story	NN	story
,	,	,
a	DT	a
true	JJ	true
story	NN	story
which	WDT	which
has	VBZ	have
n't	RB	n't
yet	RB	yet
ended	VBN	end
,	,	,
you	PP	you
must	MD	must
supply	VB	supply
an	DT	an
ending	NN	ending
,	,	,
a	DT	a
false	JJ	false
one	CD	one
,	,	,
but	CC	but
an	DT	an
ending	NN	ending
nevertheless	RB	nevertheless
.	SENT	.
hell	UH	hell
,	,	,
"	''	"
a	DT	a
civil	JJ	civil
action	NN	action
"	''	"
is	VBZ	be
even	RB	even
more	RBR	more
sly	JJ	sly
and	CC	and
more	RBR	more
witty	JJ	witty
than	IN	than
any	DT	any
of	IN	of
the	DT	the
grisham	NN	<unknown>
works	VBZ	work
put	VBN	put
together	RB	together
(	(	(
and	CC	and
that	DT	that
includes	VBZ	include
"	``	"
the	DT	the
firm	NN	firm
,	,	,
"	''	"
the	DT	the
only	JJ	only
novel	NN	novel
of	IN	of
his	PP$	his
that	WDT	that
will	MD	will
ever	RB	ever
be	VB	be
regarded	VBN	regard
as	IN	as
a	DT	a
classic	JJ	classic
)	)	)
.	SENT	.
yet	RB	yet
it	PP	it
's	VBZ	be
also	RB	also
oddly	RB	oddly
and	CC	and
slightly	RB	slightly
unsatisfying	VBG	unsatisfy
.	SENT	.
weird	JJ	weird
.	SENT	.
this	DT	this
is	VBZ	be
,	,	,
in	IN	in
fact	NN	fact
,	,	,
a	DT	a
steve	NN	<unknown>
zallian	NN	<unknown>
film	NN	film
,	,	,
not	RB	not
just	RB	just
the	DT	the
work	NN	work
of	IN	of
a	DT	a
hack	NN	hack
,	,	,
and	CC	and
zallian	NN	<unknown>
is	VBZ	be
the	DT	the
director	NN	director
of	IN	of
the	DT	the
much-admired	JJ	much-admired
"	``	"
search	NN	search
for	IN	for
bobby	NN	bobby
fischer	NN	<unknown>
"	''	"
(	(	(
did	VBD	do
n't	RB	n't
see	VB	see
it	PP	it
)	)	)
and	CC	and
writer	NN	writer
of	IN	of
none	NN	none
other	JJ	other
than	IN	than
"	``	"
schindler	NN	<unknown>
's	POS	's
list	NN	list
.	SENT	.
"	''	"
in	IN	in
short	RB	short
,	,	,
i	NP	i
like	IN	like
this	DT	this
guy	NN	guy
,	,	,
and	CC	and
am	VBP	be
a	DT	a
sucker	NN	sucker
for	IN	for
the	DT	the
way	NN	way
he	PP	he
tells	VBZ	tell
his	PP$	his
stories	NNS	storey
.	SENT	.
after	IN	after
all	DT	all
,	,	,
apart	RB	apart
from	IN	from
the	DT	the
obvious	JJ	obvious
it's-a-holocaust-film	NN	<unknown>
and	CC	and
it's-a-spielberg-film	NN	<unknown>
,	,	,
is	VBZ	be
n't	RB	n't
"	``	"
schindler	NN	<unknown>
's	POS	's
list	NN	list
"	``	"
just	RB	just
a	DT	a
damn	JJ	damn
brilliant	JJ	brilliant
film	NN	film
,	,	,
not	RB	not
so	RB	so
much	RB	much
a	DT	a
holocaust	NN	holocaust
film	NN	film
as	IN	as
it	PP	it
is	VBZ	be
a	DT	a
wonderful	JJ	wonderful
character	NN	character
study	NN	study
.	SENT	.
"	``	"
a	DT	a
