capsule	NN	capsule
:	:	:
the	DT	the
much	JJ	much
anticipated	JJ	anticipated
re-adaptation	NN	<unknown>
of	IN	of
the	DT	the
pierre	NP	Pierre
boulle	NN	boulle
novel	NN	novel
comes	VBZ	come
to	TO	to
the	DT	the
screen	NN	screen
as	IN	as
a	DT	a
dark	NN	dark
and	CC	and
a	DT	a
little	JJ	little
dreary	JJ	dreary
film	NN	film
with	IN	with
lots	NNS	lot
of	IN	of
chases	NNS	chase
and	CC	and
fighting	VBG	fight
,	,	,
but	CC	but
very	RB	very
little	JJ	little
intelligence	NN	intelligence
.	SENT	.
visually	RB	visually
there	EX	there
is	VBZ	be
much	JJ	much
to	TO	to
like	VB	like
about	IN	about
this	DT	this
version	NN	version
,	,	,
but	CC	but
the	DT	the
approach	NN	approach
is	VBZ	be
to	TO	to
take	VB	take
an	DT	an
adventure	NN	adventure
after	IN	after
the	DT	the
style	NN	style
of	IN	of
gulliver	NN	<unknown>
's	POS	's
travels	NNS	travel
and	CC	and
treat	VB	treat
it	PP	it
as	IN	as
an	DT	an
action	NN	action
film	NN	film
.	SENT	.
that		IN	that
makes	VBZ	make
it	PP	it
a	DT	a
film	NN	film
without	IN	without
much	JJ	much
center	NN	center
.	SENT	.
,	,	,
0	CD	0
(	(	(
-4	CD	@card@
to	TO	to
+4	NP	<unknown>
)	)	)
pierre	NP	Pierre
boulle	NN	boulle
,	,	,
author	NN	author
of	IN	of
the	DT	the
bridge	NN	bridge
on	IN	on
the	DT	the
river	NN	river
kwai	NN	<unknown>
,	,	,
wrote	VBD	write
planet	NN	planet
of	IN	of
the	DT	the
apes	NNS	ape
(	(	(
a	DT	a
.	SENT	.
k	NN	k
.	SENT	.
a	DT	a
.	SENT	.
monkey	NN	monkey
planet	NN	planet
)	)	)
,	,	,
the	DT	the
novel	NN	novel
,	,	,
as	IN	as
a	DT	a
social	JJ	social
satire	NN	satire
.	SENT	.
it	PP	it
reads	VBZ	read
a	DT	a
lot	NN	lot
like	IN	like
a	DT	a
fifth	JJ	fifth
book	NN	book
of	IN	of
gulliver	NN	<unknown>
's	POS	's
travels	NNS	travel
.	SENT	.
humans	NNS	human
discover	VBP	discover
a	DT	a
planet	NN	planet
in	IN	in
which	WDT	which
the	DT	the
roles	NNS	role
of	IN	of
apes	NNS	ape
and	CC	and
humans	NNS	human
have	VBP	have
