hello	NN	hello
kids	NNS	kid
.	SENT	.
today	NN	today
the	DT	the
movie	NN	movie
studios	NNS	studio
want	VBP	want
to	TO	to
take	VB	take
over	RP	over
my	PP$	my
critical	JJ	critical
review	NN	review
,	,	,
and	CC	and
somehow	RB	somehow
persuade	VB	persuade
you	PP	you
that	DT	that
_armageddon_	NN	<unknown>
,	,	,
the	DT	the
summer	NN	summer
's	POS	's
biggest	JJS	big
blockbuster	NN	blockbuster
,	,	,
is	VBZ	be
a	DT	a
film	NN	film
for	IN	for
everybody	NN	everybody
.	SENT	.
and	CC	and
remember	VB	remember
,	,	,
if	IN	if
a	DT	a
film	NN	film
is	VBZ	be
for	IN	for
_everybody_	NN	<unknown>
,	,	,
and	CC	and
if	IN	if
it	PP	it
makes	VBZ	make
the	DT	the
most	JJS	most
money	NN	money
for	IN	for
the	DT	the
summer	NN	summer
,	,	,
it	PP	it
_must_	NN	<unknown>
be	VB	be
good	JJ	good
,	,	,
right	RB	right
?	SENT	?
armageddon	NP	Armageddon
is	VBZ	be
a	DT	a
comedy	NN	comedy
,	,	,
with	IN	with
a	DT	a
capital	NN	capital
"	``	"
c	NN	c
"	''	"
.	SENT	.
it	PP	it
stars	VBZ	star
bruce	NN	<unknown>
willis	NNS	<unknown>
,	,	,
who	WP	who
has	VBZ	have
a	DT	a
hundred	CD	hundred
one-liners	NNS	one-liner
!	SENT	!
it	PP	it
has	VBZ	have
a	DT	a
tiny	JJ	tiny
rock	NN	rock
land	NN	land
directly	RB	directly
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
heated	JJ	heated
argument	NN	argument
in	IN	in
new	JJ	new
york	VBP	york
city	NN	city
!	SENT	!
!	SENT	!
and	CC	and
,	,	,
chuckle	NN	chuckle
,	,	,
chuckle	NN	chuckle
,	,	,
one	CD	one
of	IN	of
those	DT	those
new	JJ	new
yorkers	NNS	yorker
,	,	,
_survives_	NN	<unknown>
,	,	,
with	IN	with
charcoal	NN	charcoal
all	DT	all
over	IN	over
his	PP$	his
face	NN	face
!	SENT	!
!	SENT	!
snorkle	JJ	<unknown>
,	,	,
*	SYM	*
sniff	VB	sniff
*	SYM	*
,	,	,
hiccup	NN	hiccup
.	SENT	.
and	CC	and
it	PP	it
has	VBZ	have
steve	JJ	<unknown>
buscemi	NNS	<unknown>
as	IN	as
a	DT	a
_genius_	NN	<unknown>
who	WP	who
wants	VBZ	want
to	TO	to
work	VB	work
for	IN	for
an	DT	an
oil	NN	oil
rig	NN	rig
?	SENT	?
knee-slap	NN	<unknown>
!	SENT	!
!	SENT	!
is	VBZ	be
n't	RB	n't
this	DT	this
just	RB	just
so	RB	so
,	,	,
so	RB	so
,	,	,
funny	JJ	funny
!	SENT	!
?	SENT	?
armageddon	NP	Armageddon
also	RB	also
has	VBZ	have
romance	NN	romance
,	,	,
with	IN	with
a	DT	a
capital	NN	capital
"	``	"
r	NN	r
"	''	"
.	SENT	.
it	PP	it
has	VBZ	have
a	DT	a
tender	NN	tender
moment	NN	moment
between	RB	between
*	SYM	*
forbidden	JJ	forbidden
lovers	NNS	lover
*	SYM	*
ben	NP	ben
affleck	NP	Affleck
and	CC	and
liv	NP	Liv
tyler	NN	<unknown>
,	,	,
with	IN	with
,	,	,
with	IN	with
,	,	,
animal	JJ	animal
crackers	NNS	cracker
!	SENT	!
and	CC	and
it	PP	it
has	VBZ	have
will	NN	will
patton	NNS	<unknown>
as	IN	as
a	DT	a
long	JJ	long
lost	JJ	lost
husband	NN	husband
trying	VBG	try
to	TO	to
reunite	VB	reunite
with	IN	with
his	PP$	his
separated	JJ	separated
wife	NN	wife
and	CC	and
child	NN	child
,	,	,
who	WP	who
thinks	VBZ	think
he	PP	he
's	VBZ	be
a	DT	a
salesman	NN	salesman
!	SENT	!
gurgle	NN	gurgle
,	,	,
*	SYM	*
sniff	VB	sniff
*	SYM	*
,	,	,
awwwww	NNS	<unknown>
.	SENT	.
and	CC	and
it	PP	it
has	VBZ	have
steve	JJ	<unknown>
buscemi	NNS	<unknown>
spewing	VBG	spew
more	JJR	more
one-liners	NNS	one-liner
about	IN	about
minors	NNS	minor
and	CC	and
strippers	NNS	stripper
.	SENT	.
umm	NP	Umm
,	,	,
moving	VBG	move
right	RB	right
along	RB	along
.	SENT	.
.	SENT	.
.	SENT	.
armageddon	NP	Armageddon
also	RB	also
has	VBZ	have
lots	NNS	lot
of	IN	of
action	NN	action
,	,	,
with	IN	with
a	DT	a
capital	NN	capital
"	''	"
a	DT	a
"	''	"
.	SENT	.
not	RB	not
just	RB	just
any	DT	any
action	NN	action
sequence	NN	sequence
would	MD	would
do	VB	do
.	SENT	.
it	PP	it
must	MD	must
have	VB	have
_original_	JJ	<unknown>
action	NN	action
sequences	NNS	sequence
that	WDT	that
are	VBP	be
designed	VBN	design
to	TO	to
thrill	VB	thrill
.	SENT	.
like	IN	like
,	,	,
drill	VB	drill
,	,	,
darn	VB	darn
it	PP	it
,	,	,
drill	VB	drill
!	SENT	!
!	SENT	!
!	SENT	!
and	CC	and
,	,	,
let	VBP	let
's	VBZ	have
have	VB	have
inept	JJ	inept
people	NNS	people
destroy	VBP	destroy
the	DT	the
mir	NN	mir
space	NN	space
station	NN	station
!	SENT	!
!	SENT	!
ca	MD	ca
n't	RB	n't
you	PP	you
hear	VBP	hear
your	PP$	your
heart	NN	heart
beating	NN	beating
!	SENT	!
?	SENT	?
and	CC	and
steve	NN	<unknown>
buscemi	NN	<unknown>
goes	VBZ	go
crazy	JJ	crazy
and	CC	and
starts	VBZ	start
shooting	VBG	shoot
at	IN	at
people	NNS	people
!	SENT	!
!	SENT	!
what	WP	what
drama	NN	drama
!	SENT	!
!	SENT	!
lastly	RB	lastly
,	,	,
armageddon	NN	<unknown>
is	VBZ	be
out	RB	out
there	RB	there
to	TO	to
save	VB	save
the	DT	the
planet	NN	planet
,	,	,
with	IN	with
a	DT	a
capital	NN	capital
"	``	"
p	NN	p
"	''	"
.	SENT	.
this	DT	this
ca	MD	ca
n't	RB	n't
be	VB	be
any	DT	any
old	JJ	old
thriller--we	NP	<unknown>
must	MD	must
have	VB	have
an	DT	an
asteroid	NN	asteroid
,	,	,
the	DT	the
size	NN	size
of	IN	of
