what	WP	what
surprises	VBZ	surprise
me	PP	me
most	RBS	most
about	IN	about
the	DT	the
long-awaited	JJ	long-awaited
batman	NN	batman
is	VBZ	be
that		IN	that
the	DT	the
movie	NN	movie
centers	VBZ	center
not	RB	not
on	IN	on
the	DT	the
caped	JJ	<unknown>
crusader	NN	crusader
but	CC	but
on	IN	on
the	DT	the
joker	NN	joker
.	SENT	.
the	DT	the
dark	JJ	dark
knight	NN	knight
actually	RB	actually
has	VBZ	have
less	JJR	less
screen	NN	screen
time	NN	time
than	IN	than
his	PP$	his
homicidal	JJ	homicidal
arch	NN	arch
nemesis	NN	nemesis
!	SENT	!
i	NP	i
can	MD	can
hear	VB	hear
batfans	NNS	<unknown>
everywhere	RB	everywhere
protesting	VBG	protest
:	:	:
"	``	"
first	RB	first
they	PP	they
had	VBD	have
the	DT	the
nerve	NN	nerve
to	TO	to
cast	VB	cast
michael	JJ	<unknown>
keaton	NN	<unknown>
as	IN	as
batman	NN	batman
,	,	,
and	CC	and
now	RB	now
they	PP	they
think	VBP	think
they	PP	they
can	MD	can
get	VB	get
away	RB	away
with	IN	with
making	VBG	make
him	PP	him
second	JJ	second
banana	NN	banana
to	TO	to
the	DT	the
joker	NN	joker
!	SENT	!
!	SENT	!
"	''	"
and	CC	and
,	,	,
indeed	RB	indeed
,	,	,
this	DT	this
situation	NN	situation
would	MD	would
have	VB	have
been	VBN	be
altogether	RB	altogether
inappropriate	JJ	inappropriate
and	CC	and
intolerable	JJ	intolerable
were	VBD	be
it	PP	it
not	RB	not
for	IN	for
the	DT	the
fact	NN	fact
that		IN	that
someone	NN	someone
at	IN	at
warner	NN	warner
brothers	NNS	brother
had	VBD	have
the	DT	the
savvy	NN	savvy
to	TO	to
cast	VB	cast
jack	NN	jack
nicholson	NN	<unknown>
in	IN	in
the	DT	the
role	NN	role
he	PP	he
was	VBD	be
born	VBN	bear
to	TO	to
play	VB	play
.	SENT	.
nicholson	NP	Nicholson
deserves	VBZ	deserve
the	DT	the
top	JJ	top
billing	NN	billing
he	PP	he
is	VBZ	be
receiving	VBG	receive
in	IN	in
the	DT	the
posters	NNS	poster
and	CC	and
opening	VBG	open
credits	NNS	credit
since	IN	since
his	PP$	his
astounding	VBG	astound
,	,	,
oscar-worthy	JJ	<unknown>
performance	NN	performance
as	IN	as
the	DT	the
joker	NN	joker
is	VBZ	be
the	DT	the
highlight	NN	highlight
of	IN	of
batman	NN	batman
.	SENT	.
nicholson	NP	Nicholson
shows	VBZ	show
no	DT	no
inhibition	NN	inhibition
or	CC	or
shame	NN	shame
as	IN	as
he	PP	he
pulls	VBZ	pull
out	IN	out
all	PDT	all
the	DT	the
stops	NNS	stop
to	TO	to
create	VB	create
a	DT	a
joker	NN	joker
that	WDT	that
makes	VBZ	make
cesar	NN	<unknown>
romero	NN	<unknown>
look	NN	look
like	IN	like
bozo	NN	bozo
the	DT	the
clown	NN	clown
(	(	(
romero	NP	Romero
played	VBD	play
the	DT	the
joker	NN	joker
in	IN	in
the	DT	the
'60s	CD	'60s
tv	NN	tv
series	NN	series
)	)	)
.	SENT	.
on	IN	on
one	CD	one
hand	NN	hand
,	,	,
nicholson	NP	Nicholson
's	POS	's
joker	NN	joker
is	VBZ	be
extremely	RB	extremely
funny	JJ	funny
.	SENT	.
his	PP$	his
murderous	JJ	murderous
escapades	NNS	escapade
and	CC	and
manic	JJ	manic
outbursts	NNS	outburst
(	(	(
which	WDT	which
include	VBP	include
defacing	VBG	deface
paintings	NNS	painting
in	IN	in
an	DT	an
art	NN	art
museum	NN	museum
and	CC	and
invading	VBG	invade
the	DT	the
television	NN	television
airwaves	NNS	airwaves
with	IN	with
hilarious	JJ	hilarious
pirate	NN	pirate
broadcasts	NNS	broadcast
)	)	)
bring	VBP	bring
humor	NN	humor
and	CC	and
laughter	NN	laughter
into	IN	into
an	DT	an
otherwise	RB	otherwise
dark	JJ	dark
film	NN	film
.	SENT	.
but	CC	but
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
his	PP$	his
outwardly	RB	outwardly
jovial	JJ	jovial
disposition	NN	disposition
is	VBZ	be
only	RB	only
a	DT	a
mask	NN	mask
for	IN	for
his	PP$	his
intense	JJ	intense
contempt	NN	contempt
for	IN	for
all	DT	all
of	IN	of
mankind	NN	mankind
.	SENT	.
the	DT	the
joker	NN	joker
's	POS	's
cruelty	NN	cruelty
and	CC	and
demented	JJ	demented
,	,	,
diabolical	JJ	diabolical
nature	NN	nature
are	VBP	be
truly	RB	truly
frightening	JJ	frightening
and	CC	and
sinister	JJ	sinister
.	SENT	.
this	DT	this
guy	NN	guy
is	VBZ	be
off	IN	off
his	PP$	his
rocker	NN	rocker
,	,	,
and	CC	and
he	PP	he
not	RB	not
only	RB	only
knows	VBZ	know
it	PP	it
,	,	,
he	PP	he
flaunts	VBZ	flaunt
it	PP	it
!	SENT	!
but	CC	but
enough	RB	enough
about	IN	about
nicholson	NN	<unknown>
as	IN	as
the	DT	the
joker	NN	joker
:	:	:
i	NNS	i
'm	VBP	be
sure	JJ	sure
most	JJS	most
people	NNS	people
are	VBP	be
wondering	VBG	wonder
about	IN	about
michael	JJ	<unknown>
keaton	NN	<unknown>
as	IN	as
batman	NN	batman
.	SENT	.
like	IN	like
many	JJ	many
,	,	,
i	NP	i
was	VBD	be
outraged	VBN	outrage
when	WRB	when
warner	NN	warner
brothers	NNS	brother
announced	VBD	announce
that		IN	that
keaton	NP	Keaton
had	VBD	have
been	VBN	be
cast	VBN	cast
as	IN	as
the	DT	the
caped	JJ	<unknown>
crusader	NN	crusader
.	SENT	.
but	CC	but
batfans	NNS	<unknown>
need	VBP	need
not	RB	not
worry	VB	worry
because	IN	because
holy	JJ	holy
unconventional	JJ	unconventional
casting	NN	casting
!	SENT	!
keaton	NP	Keaton
delivers	VBZ	deliver
.	SENT	.
he	PP	he
is	VBZ	be
convincing	VBG	convince
as	IN	as
the	DT	the
tormented	VBN	torment
millionaire	NN	millionaire
,	,	,
bruce	NN	<unknown>
wayne	NN	<unknown>
,	,	,
and	CC	and
beneath	IN	beneath
his	PP$	his
hard	JJ	hard
,	,	,
black	JJ	black
body	NN	body
armor	NN	armor
,	,	,
he	PP	he
is	VBZ	be
mysterious	JJ	mysterious
and	CC	and
formidable	JJ	formidable
as	IN	as
the	DT	the
batman	NN	batman
.	SENT	.
even	RB	even
though	IN	though
the	DT	the
screenplay	NN	screenplay
only	RB	only
halfheartedly	RB	halfheartedly
attempts	VBZ	attempt
to	TO	to
develop	VB	develop
the	DT	the
character	NN	character
,	,	,
keaton	NP	Keaton
manages	VBZ	manage
to	TO	to
give	VB	give
hints	NNS	hint
of	IN	of
the	DT	the
inner	JJ	inner
turmoil	NN	turmoil
and	CC	and
emotional	JJ	emotional
rage	NN	rage
that		IN	that
drive	NN	drive
wayne	NN	<unknown>
to	TO	to
don	VB	don
his	PP$	his
bat	NN	bat
gear	NN	gear
and	CC	and
battle	VB	battle
the	DT	the
low	JJ	low
life	NN	life
scum	NN	scum
of	IN	of
gotham	NN	<unknown>
city	NN	city
.	SENT	.
visually	RB	visually
,	,	,
batman	NN	batman
is	VBZ	be
a	DT	a
knockout	JJ	knockout
nothing	NN	nothing
short	JJ	short
of	IN	of
a	DT	a
triumph	NN	triumph
for	IN	for
director	NN	director
tim	NN	<unknown>
burton	NN	burton
and	CC	and
his	PP$	his
production	NN	production
team	NN	team
.	SENT	.
the	DT	the
movie	NN	movie
successfully	RB	successfully
captures	VBZ	capture
the	DT	the
film	NN	film
noir	NN	noir
look	NN	look
and	CC	and
bleak	JJ	bleak
,	,	,
gloomy	JJ	gloomy
atmosphere	NN	atmosphere
of	IN	of
such	JJ	such
batman	NN	batman
comic	JJ	comic
books	NNS	book
as	IN	as
"	``	"
the	DT	the
dark	JJ	dark
knight	NN	knight
returns	NNS	return
"	''	"
and	CC	and
"	``	"
the	DT	the
killing	VBG	kill
joke	NN	joke
.	SENT	.
"	``	"
burton	NN	burton
's	POS	's
film	NN	film
is	VBZ	be
a	DT	a
feast	NN	feast
for	IN	for
the	DT	the
eyes	NNS	eye
;	:	;
the	DT	the
$35	JJ	<unknown>
million	CD	million
budget	NN	budget
is	VBZ	be
definitely	RB	definitely
on	IN	on
the	DT	the
screen	NN	screen
.	SENT	.
the	DT	the
sets	NNS	set
,	,	,
costumes	NNS	costume
,	,	,
and	CC	and
make-up	NN	make-up
are	VBP	be
stunning	JJ	stunning
and	CC	and
worthy	JJ	worthy
of	IN	of
oscar	NN	oscar
nominations	NNS	nomination
.	SENT	.
nicholson	NP	Nicholson
is	VBZ	be
n't	RB	n't
