okay	RB	okay
,	,	,
let	VB	let
me	PP	me
first	RB	first
say	VBP	say
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
beavis	NN	<unknown>
and	CC	and
butthead	NN	<unknown>
movie	NN	movie
.	SENT	.
if	IN	if
you	PP	you
do	VBP	do
not	RB	not
like	VB	like
beavis	NN	<unknown>
and	CC	and
butthead	NN	<unknown>
,	,	,
do	VBP	do
not	RB	not
go	VB	go
to	TO	to
see	VB	see
this	DT	this
movie	NN	movie
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
however	RB	however
,	,	,
if	IN	if
you	PP	you
do	VBP	do
like	IN	like
them	PP	them
,	,	,
i	NP	i
recommened	VBD	<unknown>
you	PP	you
get	VB	get
out	RP	out
right	RB	right
now	RB	now
and	CC	and
go	VB	go
see	VB	see
it	PP	it
.	SENT	.
the	DT	the
movie	NN	movie
starts	VBZ	start
off	RP	off
with	IN	with
the	DT	the
boys	NNS	boy
wondering	VBG	wonder
what	WP	what
happened	VBD	happen
to	TO	to
their	PP$	their
tv	NN	tv
.	SENT	.
they	PP	they
notice	VBP	notice
that		IN	that
it	PP	it
has	VBZ	have
been	VBN	be
stolen	VBN	steal
and	CC	and
they	PP	they
vow	VBP	vow
to	TO	to
find	VB	find
it	PP	it
.	SENT	.
this	DT	this
wind	VBP	wind
their	PP$	their
way	NN	way
through	IN	through
america	NN	<unknown>
searching	VBG	search
for	IN	for
dallas	NNS	<unknown>
(	(	(
she	PP	she
is	VBZ	be
a	DT	a
woman	NN	woman
)	)	)
.	SENT	.
they	PP	they
look	VBP	look
for	IN	for
her	PP	her
because	IN	because
as	IN	as
they	PP	they
are	VBP	be
searching	VBG	search
for	IN	for
the	DT	the
tv	NN	tv
,	,	,
they	PP	they
find	VBP	find
a	DT	a
drunk	NN	drunk
who	WP	who
wants	VBZ	want
them	PP	them
"	''	"
to	TO	to
do	VB	do
"	''	"
his	PP$	his
wife	NN	wife
.	SENT	.
well	RB	well
,	,	,
of	IN	of
course	NN	course
they	PP	they
think	VBP	think
he	PP	he
wants	VBZ	want
them	PP	them
to	TO	to
score	VB	score
with	IN	with
her	PP$	her
when	WRB	when
actually	RB	actually
he	PP	he
wants	VBZ	want
them	PP	them
to	TO	to
kill	VB	kill
her	PP	her
.	SENT	.
and	CC	and
the	DT	the
fun	NN	fun
starts	VBZ	start
their	PP$	their
.	SENT	.
this	DT	this
movie	NN	movie
is	VBZ	be
a	DT	a
mix	NN	mix
of	IN	of
funny	JJ	funny
gags	NNS	gag
that		IN	that
anly	NN	<unknown>
beavis	NNS	<unknown>
and	CC	and
butthead	NN	<unknown>
could	MD	could
pull	VB	pull
off	RP	off
.	SENT	.
it	PP	it
is	VBZ	be
quality	NN	quality
entertainment	NN	entertainment
that		IN	that
only	JJ	only
fan	NN	fan
of	IN	of
beavis	NN	<unknown>
and	CC	and
butthead	NN	<unknown>
would	MD	would
enjoy	VB	enjoy
.	SENT	.
i	NP	i
enjoyed	VBD	enjoy
this	DT	this
movie	NN	movie
alot	NN	<unknown>
because	IN	because
mike	NN	mike
judge	NN	judge
knew	VBD	know
how	WRB	how
to	TO	to
keep	VB	keep
pace	NN	pace
.	SENT	.
even	RB	even
when	WRB	when
they	PP	they
were	VBD	be
crawling	VBG	crawl
through	IN	through
the	DT	the
desert	NN	desert
and	CC	and
i	NP	i
thought	VBD	think
the	DT	the
movie	NN	movie
started	VBD	start
to	TO	to
lag	VB	lag
,	,	,
he	PP	he
manages	VBZ	manage
to	TO	to
keep	VB	keep
the	DT	the
laughs	NNS	laugh
coming	VBG	come
.	SENT	.
if	IN	if
you	PP	you
expecting	VBG	expect
changes	NNS	change
from	IN	from
the	DT	the
show	NN	show
keep	VB	keep
looking	VBG	look
.	SENT	.
the	DT	the
same	JJ	same
character	NN	character
,	,	,
the	DT	the
same	JJ	same
voices	NNS	voice
,	,	,
the	DT	the
same	JJ	same
everything	NN	everything
from	IN	from
the	DT	the
show	NN	show
and	CC	and
that	DT	that
's	VBZ	be
what	WP	what
makes	VBZ	make
it	PP	it
good	JJ	good
.	SENT	.
you	PP	you
might	MD	might
think	VB	think
with	IN	with
a	DT	a
movie	NN	movie
from	IN	from
a	DT	a
tv	NN	tv
show	NN	show
,	,	,
you	PP	you
can	MD	can
change	VB	change
a	DT	a
few	JJ	few
things	NNS	thing
.	SENT	.
often	RB	often
times	NNS	time
this	DT	this
spells	NNS	spell
disaster	NN	disaster
for	IN	for
films	NNS	film
because	IN	because
the	DT	the
film	NN	film
makers	NNS	maker
veer	VB	veer
away	RB	away
from	IN	from
what	WP	what
made	VBD	make
the	DT	the
show	NN	show
popular	JJ	popular
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
!	SENT	!
