there	EX	there
was	VBD	be
probably	RB	probably
a	DT	a
good	JJ	good
reason	NN	reason
that		IN	that
the	DT	the
warner	NN	warner
bros	NNS	<unknown>
.	SENT	.
studio	NN	studio
chose	VBD	choose
not	RB	not
to	TO	to
allow	VB	allow
critics	NNS	critic
to	TO	to
view	VB	view
this	DT	this
steven	JJ	<unknown>
seagal	JJ	<unknown>
film	NN	film
when	WRB	when
it	PP	it
first	RB	first
opened	VBD	open
.	SENT	.
and	CC	and
,	,	,
after	IN	after
seeing	VBG	see
this	DT	this
piece	NN	piece
of	IN	of
toxic	JJ	toxic
waste	NN	waste
,	,	,
i	NP	i
now	RB	now
know	VB	know
why	WRB	why
.	SENT	.
this	DT	this
movie	NN	movie
is	VBZ	be
by	IN	by
far	RB	far
the	DT	the
worst	JJS	bad
offering	NN	offering
that	WDT	that
has	VBZ	have
hit	VBN	hit
the	DT	the
screen	NN	screen
since	IN	since
possibly	RB	possibly
those	DT	those
ernest	JJ	<unknown>
movies	NNS	movie
years	NNS	year
ago	RB	ago
.	SENT	.
fire	NN	fire
down	RB	down
below	IN	below
centers	NNS	center
its	PP$	its
story	NN	story
on	IN	on
a	DT	a
little	JJ	little
mining	NN	mining
town	NN	town
in	IN	in
god	NN	god
's	POS	's
country	NN	country
,	,	,
somewhere	RB	somewhere
in	IN	in
eastern	JJ	eastern
kentucky	NN	<unknown>
.	SENT	.
it	PP	it
's	VBZ	be
beauty	NN	beauty
and	CC	and
natural	JJ	natural
goodness	NN	goodness
is	VBZ	be
being	VBG	be
slowly	RB	slowly
destroyed	VBN	destroy
by	IN	by
an	DT	an
uncaring	VBG	uncare
mining	NN	mining
magnate	NN	magnate
(	(	(
kris	NN	kris
kristopherson	NN	<unknown>
,	,	,
who	WP	who
constantly	RB	constantly
looks	VBZ	look
like	IN	like
he	PP	he
wants	VBZ	want
to	TO	to
kill	VB	kill
his	PP$	his
agent	NN	agent
for	IN	for
getting	VBG	get
him	PP	him
this	DT	this
role	NN	role
)	)	)
.	SENT	.
it	PP	it
turns	VBZ	turn
out	RP	out
that		IN	that
he	PP	he
's	VBZ	be
filling	VBG	fill
the	DT	the
mines	NNS	mine
throughout	IN	throughout
kentucky	NN	<unknown>
with	IN	with
toxic	JJ	toxic
waste	NN	waste
for	IN	for
a	DT	a
tidy	JJ	tidy
profit	NN	profit
.	SENT	.
seagal	JJ	<unknown>
plays	NNS	play
jack	NN	jack
taggert	NN	<unknown>
,	,	,
an	DT	an
aikido-versed	JJ	<unknown>
,	,	,
fighting	VBG	fight
machine	NN	machine
,	,	,
who	WP	who
is	VBZ	be
an	DT	an
agent	NN	agent
with	IN	with
the	DT	the
epa	NN	<unknown>
.	SENT	.
no	UH	no
.	SENT	.
.	SENT	.
.	SENT	.
not	RB	not
the	DT	the
cia	NN	<unknown>
nor	CC	nor
the	DT	the
fbi	NP	<unknown>
nor	CC	nor
the	DT	the
nsa	NN	<unknown>
.	SENT	.
it	PP	it
's	VBZ	be
the	DT	the
environmental	JJ	environmental
protection	NN	protection
agency	NN	agency
.	SENT	.
i	NP	i
had	VBD	have
no	DT	no
idea	NN	idea
that		IN	that
epa	NN	<unknown>
agents	NNS	agent
were	VBD	be
trained	VBN	train
to	TO	to
be	VB	be
killers	NNS	killer
!	SENT	!
taggert	NP	Taggert
is	VBZ	be
sent	VBN	send
to	TO	to
find	VB	find
the	DT	the
perpetrators	NNS	perpetrator
and	CC	and
to	TO	to
bring	VB	bring
them	PP	them
to	TO	to
justice	NN	justice
.	SENT	.
written	VBN	write
by	IN	by
someone	NN	someone
named	VBN	name
jeb	NP	Jeb
,	,	,
i	NP	i
could	MD	could
already	RB	already
envision	VB	envision
the	DT	the
stereotypes	NNS	stereotype
of	IN	of
incestuous	JJ	incestuous
relationships	NNS	relationship
,	,	,
banjo-picking	VBG	<unknown>
preachers	NNS	preacher
,	,	,
and	CC	and
dumb-as-nails	NNS	<unknown>
rednecks	NNS	redneck
.	SENT	.
but	CC	but
the	DT	the
script	NN	script
puts	VBZ	put
seagal	JJ	<unknown>
right	JJ	right
smack	NN	smack
dab	NN	dab
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
all	DT	all
of	IN	of
these	DT	these
scenarios	NNS	scenario
as	IN	as
he	PP	he
tries	VBZ	try
to	TO	to
discreetly	RB	discreetly
fit	VB	fit
in	IN	in
.	SENT	.
seagal	NN	<unknown>
's	POS	's
idea	NN	idea
of	IN	of
a	DT	a
disguise	NN	disguise
is	VBZ	be
a	DT	a
long-length	JJ	<unknown>
$1000	NN	<unknown>
leather	NN	leather
jacket	NN	jacket
.	SENT	.
but	CC	but
to	TO	to
get	VB	get
closer	RBR	closer
to	TO	to
the	DT	the
kinfolk	NN	kinfolk
,	,	,
he	PP	he
will	MD	will
fix	VB	fix
people	NNS	people
's	POS	's
porches	NNS	porch
for	IN	for
free	JJ	free
.	SENT	.
that	DT	that
's	VBZ	be
another	DT	another
great	JJ	great
epa	NN	<unknown>
asset	NN	asset
-	:	-
teaching	VBG	teach
agents	NNS	agent
how	WRB	how
to	TO	to
fix	VB	fix
porches	NNS	porch
.	SENT	.
slow	JJ	slow
and	CC	and
plodding	VBG	plod
,	,	,
this	DT	this
project	NN	project
is	VBZ	be
a	DT	a
total	JJ	total
mess	NN	mess
.	SENT	.
the	DT	the
sometimes	RB	sometimes
allure	NN	allure
of	IN	of
watching	VBG	watch
seagal	NN	<unknown>
is	VBZ	be
watching	VBG	watch
him	PP	him
outmaneuver	VB	outmaneuver
enemies	NNS	enemy
that	WDT	that
outnumber	VBP	outnumber
and	CC	and
outgun	VBP	outgun
him	PP	him
like	VBP	like
in	IN	in
under	IN	under
seige	NN	seige
.	SENT	.
here	RB	here
,	,	,
his	PP$	his
