all	PDT	all
those	DT	those
who	WP	who
were	VBD	be
offended	VBN	offend
by	IN	by
there	EX	there
's	VBZ	be
something	NN	something
about	IN	about
mary	NN	<unknown>
should	MD	should
not	RB	not
tread	VB	tread
in	IN	in
the	DT	the
waters	NNS	water
of	IN	of
american	JJ	American
pie	NN	pie
,	,	,
a	DT	a
gratuitously	RB	gratuitously
sexual	JJ	sexual
rollercoaster	NN	rollercoaster
ride	NN	ride
of	IN	of
raunch	NN	raunch
.	SENT	.
and	CC	and
while	IN	while
this	DT	this
uproariously	RB	uproariously
funny	JJ	funny
,	,	,
gross-out	JJ	gross-out
summer	NN	summer
movie	NN	movie
is	VBZ	be
basically	RB	basically
an	DT	an
exercise	NN	exercise
in	IN	in
bad	JJ	bad
taste	NN	taste
,	,	,
it	PP	it
also	RB	also
demonstrates	VBZ	demonstrate
a	DT	a
surprising	JJ	surprising
sweetness	NN	sweetness
in	IN	in
the	DT	the
end	NN	end
.	SENT	.
american	JJ	American
pie	NN	pie
is	VBZ	be
the	DT	the
latest	JJS	late
entry	NN	entry
to	TO	to
the	DT	the
offensive	JJ	offensive
teenage-targeted	JJ	<unknown>
fare	NN	fare
this	DT	this
season	NN	season
.	SENT	.
i	NP	i
must	MD	must
question	VB	question
the	DT	the
studio	NN	studio
that	WDT	that
releases	VBZ	release
a	DT	a
movie	NN	movie
like	IN	like
this	DT	this
.	SENT	.
the	DT	the
producers	NNS	producer
are	VBP	be
aiming	VBG	aim
these	DT	these
films	NNS	film
at	IN	at
the	DT	the
15-24	CD	@card@
crowd	NN	crowd
,	,	,
but	CC	but
while	IN	while
pushing	VBG	push
the	DT	the
limit	NN	limit
of	IN	of
possible	JJ	possible
sex	NN	sex
and	CC	and
violence	NN	violence
in	IN	in
an	DT	an
r-rated	JJ	R-rated
film	NN	film
.	SENT	.
some	DT	some
have	VBP	have
even	RB	even
been	VBN	be
narrowly	RB	narrowly
avoiding	VBG	avoid
the	DT	the
dreaded	JJ	dreaded
nc-17	JJ	<unknown>
,	,	,
a	DT	a
rating	NN	rating
the	DT	the
mpaa	NN	<unknown>
gives	VBZ	give
when	WRB	when
the	DT	the
adult	NN	adult
content	NN	content
surpasses	VBZ	surpass
even	RB	even
that		IN	that
of	IN	of
a	DT	a
restricted	JJ	restricted
movie	NN	movie
.	SENT	.
american	JJ	American
pie	NN	pie
was	VBD	be
threatened	VBN	threaten
with	IN	with
an	DT	an
nc-17	JJ	<unknown>
,	,	,
but	CC	but
after	IN	after
snipping	VBG	snip
a	DT	a
few	JJ	few
scenes	NNS	scene
from	IN	from
the	DT	the
finished	JJ	finished
product	NN	product
,	,	,
it	PP	it
was	VBD	be
given	VBN	give
an	DT	an
r	NN	r
.	SENT	.
but	CC	but
at	IN	at
least	JJS	least
this	DT	this
new	JJ	new
addition	NN	addition
is	VBZ	be
not	RB	not
as	RB	as
careless	JJ	careless
and	CC	and
unforgiving	VBG	unforgive
as	IN	as
something	NN	something
like	IN	like
south	JJ	south
park	NN	park
.	SENT	.
it	PP	it
is	VBZ	be
sick	JJ	sick
,	,	,
perverse	JJ	perverse
,	,	,
and	CC	and
ultimately	RB	ultimately
disgusting	JJ	disgusting
-	:	-
not	RB	not
to	TO	to
mention	VB	mention
extremely	RB	extremely
funny	JJ	funny
.	SENT	.
american	JJ	American
pie	NN	pie
is	VBZ	be
about	RB	about
four	CD	four
desperate	JJ	desperate
teenagers	NNS	teenager
who	WP	who
make	VBP	make
a	DT	a
pact	NN	pact
to	TO	to
lose	VB	lose
their	PP$	their
virginity	NN	virginity
by	IN	by
prom	NN	prom
night	NN	night
.	SENT	.
jim	NP	Jim
(	(	(
jason	NN	<unknown>
biggs	NNS	<unknown>
)	)	)
,	,	,
kevin	NP	Kevin
(	(	(
thomas	NN	<unknown>
ian	NN	<unknown>
nicholas	NNS	Nichola
)	)	)
,	,	,
oz	NP	Oz
(	(	(
chris	NN	<unknown>
klein	NN	<unknown>
)	)	)
and	CC	and
finch	NN	finch
(	(	(
eddie	NN	<unknown>
kaye	NN	<unknown>
thomas	NNS	<unknown>
)	)	)
are	VBP	be
a	DT	a
quartet	NN	quartet
of	IN	of
high	JJ	high
school	NN	school
students	NNS	student
in	IN	in
their	PP$	their
senior	JJ	senior
year	NN	year
who	WP	who
think	VBP	think
sex	NN	sex
is	VBZ	be
something	NN	something
they	PP	they
must	MD	must
experience	VB	experience
to	TO	to
be	VB	be
successful	JJ	successful
in	IN	in
their	PP$	their
lives	NNS	life
ahead	RB	ahead
.	SENT	.
jim	NN	<unknown>
inquires	VBZ	inquire
what	WP	what
it	PP	it
feels	VBZ	feel
like	IN	like
when	WRB	when
you	PP	you
reach	VBP	reach
third	JJ	third
base	NN	base
,	,	,
to	TO	to
which	WDT	which
one	CD	one
of	IN	of
his	PP$	his
friends	NNS	friend
replies	VBZ	reply
:	:	:
`	``	`
like	IN	like
warm	JJ	warm
apple	NN	apple
pie	NN	pie
.	SENT	.
.	SENT	.
.	SENT	.
'	''	'
.	SENT	.
of	IN	of
course	NN	course
,	,	,
this	DT	this
prompts	VBZ	prompt
the	DT	the
scene	NN	scene
unfairly	RB	unfairly
exposed	VBN	expose
in	IN	in
the	DT	the
trailers	NNS	trailer
,	,	,
in	IN	in
which	WDT	which
