steve	NP	Steve
soderbergh	NP	Soderbergh
's	POS	's
"	``	"
sex	NN	sex
,	,	,
lies	VBZ	lie
,	,	,
and	CC	and
videotape	NN	videotape
,	,	,
"	''	"
which	WDT	which
won	VBD	win
the	DT	the
grand	JJ	grand
prize	NN	prise
at	IN	at
the	DT	the
cannes	NNS	<unknown>
film	NN	film
festival	NN	festival
in	IN	in
1989	CD	@card@
,	,	,
arguably	RB	arguably
began	VBD	begin
the	DT	the
resurgence	NN	resurgence
of	IN	of
independent	JJ	independent
films	NNS	film
.	SENT	.
made	VBN	make
on	IN	on
a	DT	a
shoestring	NN	shoestring
budget	NN	budget
of	IN	of
$1	NN	<unknown>
.	SENT	.
2	CD	2
million	CD	million
,	,	,
with	IN	with
then	RB	then
relatively	RB	relatively
unknown	JJ	unknown
actors	NNS	actor
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
provocative	JJ	provocative
,	,	,
thoroughly	RB	thoroughly
original	JJ	original
drama	NN	drama
.	SENT	.
the	DT	the
film	NN	film
mostly	RB	mostly
focuses	VBZ	focus
on	IN	on
the	DT	the
four	CD	four
central	JJ	central
characters	NNS	character
,	,	,
all	DT	all
in	IN	in
their	PP$	their
late	JJ	late
20's-early	JJ	<unknown>
30	CD	@card@
's	POS	's
.	SENT	.
ann	NP	Ann
(	(	(
andie	NP	Andie
macdowell	NP	Macdowell
)	)	)
,	,	,
an	DT	an
unfulfilled	JJ	unfulfilled
housewife	NN	housewife
,	,	,
is	VBZ	be
married	VBN	marry
to	TO	to
john	NN	john
(	(	(
peter	NN	peter
gallagher	NN	<unknown>
)	)	)
,	,	,
an	DT	an
insensitive	JJ	insensitive
lawyer	NN	lawyer
,	,	,
who	WP	who
,	,	,
unbeknownst	JJ	unbeknownst
to	TO	to
her	PP	her
,	,	,
is	VBZ	be
having	VBG	have
an	DT	an
affair	NN	affair
with	IN	with
her	PP$	her
younger	JJR	young
sister	NN	sister
,	,	,
cynthia	NN	<unknown>
(	(	(
laura	NN	<unknown>
san	NN	<unknown>
giacomo	NN	<unknown>
)	)	)
.	SENT	.
complicating	VBG	complicate
matters	NNS	matter
even	RB	even
worse	JJR	bad
is	VBZ	be
graham	NN	graham
(	(	(
james	NNS	<unknown>
spader	NN	spader
,	,	,
who	WP	who
won	VBD	win
best	JJS	good
actor	NN	actor
at	IN	at
cannes	NNS	<unknown>
)	)	)
,	,	,
john	NN	john
's	POS	's
old	JJ	old
college	NN	college
buddy	NN	buddy
,	,	,
who	WP	who
comes	VBZ	come
to	TO	to
stay	VB	stay
at	IN	at
their	PP$	their
house	NN	house
.	SENT	.
ann	NP	Ann
is	VBZ	be
absolutely	RB	absolutely
won	VBN	win
over	RP	over
by	IN	by
him	PP	him
,	,	,
even	RB	even
though	IN	though
she	PP	she
clearly	RB	clearly
has	VBZ	have
stated	VBN	state
that		IN	that
she	PP	she
has	VBZ	have
very	RB	very
little	JJ	little
interest	NN	interest
in	IN	in
sex	NN	sex
.	SENT	.
that	DT	that
is	VBZ	be
the	DT	the
set-up	NN	set-up
for	IN	for
the	DT	the
last	JJ	last
hour	NN	hour
of	IN	of
the	DT	the
picture	NN	picture
,	,	,
and	CC	and
since	IN	since
the	DT	the
film	NN	film
is	VBZ	be
entitled	VBN	entitle
,	,	,
"	''	"
sex	NN	sex
,	,	,
lies	VBZ	lie
,	,	,
and	CC	and
videotape	NN	videotape
,	,	,
"	``	"
it	PP	it
is	VBZ	be
best	JJS	good
to	TO	to
keep	VB	keep
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
story	NN	story
developments	NNS	development
at	IN	at
bay	NN	bay
so	RB	so
that		IN	that
they	PP	they
will	MD	will
come	VB	come
as	IN	as
a	DT	a
genuine	JJ	genuine
surprise	NN	surprise
.	SENT	.
director	NN	director
steven	NN	<unknown>
soderbergh	NP	Soderbergh
has	VBZ	have
proven	VBN	prove
to	TO	to
be	VB	be
a	DT	a
wildly	RB	wildly
offbeat	JJ	offbeat
filmmaker	NN	filmmaker
,	,	,
ranging	VBG	range
from	IN	from
the	DT	the
independent	JJ	independent
,	,	,
to	TO	to
the	DT	the
mainstream	NN	mainstream
(	(	(
1998	CD	@card@
's	VBZ	be
"	``	"
out	RB	out
of	IN	of
sight	NN	sight
"	''	"
)	)	)
,	,	,
to	TO	to
the	DT	the
downright	JJ	downright
kafkaesque	NN	<unknown>
(	(	(
1997	CD	@card@
's	POS	's
"	``	"
schizopolis	NN	<unknown>
"	''	"
)	)	)
.	SENT	.
he	PP	he
is	VBZ	be
the	DT	the
type	NN	type
of	IN	of
director	NN	director
who	WP	who
obviously	RB	obviously
takes	VBZ	take
a	DT	a
lot	NN	lot
of	IN	of
chances	NNS	chance
,	,	,
and	CC	and
believes	VBZ	believe
in	IN	in
the	DT	the
work	NN	work
that		IN	that
he	PP	he
does	VBZ	do
,	,	,
and	CC	and
,	,	,
"	``	"
sex	NN	sex
,	,	,
lies	VBZ	lie
,	,	,
and	CC	and
videotape	NN	videotape
,	,	,
"	''	"
is	VBZ	be
probably	RB	probably
his	PP$	his
most	RBS	most
confident	JJ	confident
,	,	,
and	CC	and
maybe	RB	maybe
even	RB	even
best	JJS	good
,	,	,
to	TO	to
date	VB	date
.	SENT	.
the	DT	the
performances	NNS	performance
are	VBP	be
superb	JJ	superb
from	IN	from
all	DT	all
four	CD	four
leads	NNS	lead
