for	IN	for
example	NN	example
,	,	,
in	IN	in
happy	JJ	happy
gilmore	NN	<unknown>
,	,	,
sandler	NN	<unknown>
plays	VBZ	play
a	DT	a
rookie	NN	rookie
golfer	NN	golfer
trying	VBG	try
to	TO	to
beat	VB	beat
a	DT	a
self-confident	JJ	self-confident
jerk	NN	jerk
of	IN	of
a	DT	a
pro	NN	pro
.	SENT	.
if	IN	if
the	DT	the
star	NN	star
were	VBD	be
any	DT	any
other	JJ	other
comic	NN	comic
,	,	,
that	WDT	that
would	MD	would
be	VB	be
enough	JJ	enough
motivation	NN	motivation
to	TO	to
drive	VB	drive
the	DT	the
movie	NN	movie
,	,	,
but	CC	but
with	IN	with
sandler	NN	<unknown>
,	,	,
the	DT	the
rookie	NN	rookie
also	RB	also
wants	VBZ	want
to	TO	to
win	VB	win
the	DT	the
prize	NN	prise
money	NN	money
to	TO	to
help	VB	help
his	PP$	his
grandma	NN	grandma
keep	VB	keep
her	PP$	her
house	NN	house
.	SENT	.
that	DT	that
extra	JJ	extra
motive	NN	motive
does	VBZ	do
n't	RB	n't
make	VB	make
happy	JJ	happy
gilmore	NN	<unknown>
a	DT	a
funnier	JJR	funny
movie	NN	movie
.	SENT	.
it	PP	it
does	VBZ	do
n't	RB	n't
really	RB	really
add	VB	add
any	DT	any
genuine	JJ	genuine
emotional	JJ	emotional
depth	NN	depth
,	,	,
either	RB	either
.	SENT	.
in	IN	in
fact	NN	fact
,	,	,
the	DT	the
motive	NN	motive
is	VBZ	be
almost	RB	almost
totally	RB	totally
irrelevant	JJ	irrelevant
to	TO	to
the	DT	the
movie	NN	movie
.	SENT	.
but	CC	but
sandler	NP	Sandler
's	POS	's
philosophy	NN	philosophy
seems	VBZ	seem
to	TO	to
be	VB	be
,	,	,
if	IN	if
it	PP	it
's	VBZ	be
a	DT	a
token	JJ	token
gesture	NN	gesture
,	,	,
why	WRB	why
not	RB	not
make	VB	make
it	PP	it
a	DT	a
nice	JJ	nice
gesture	NN	gesture
?	SENT	?
that	DT	that
is	VBZ	be
endlessly	RB	endlessly
refreshing	VBG	refresh
.	SENT	.
in	IN	in
the	DT	the
wedding	NN	wedding
singer	NN	singer
,	,	,
sandler	NN	<unknown>
is	VBZ	be
right	RB	right
on	IN	on
track	NN	track
.	SENT	.
the	DT	the
fact	NN	fact
that		IN	that
he	PP	he
's	VBZ	be
a	DT	a
wedding	NN	wedding
singer	NN	singer
is	VBZ	be
only	RB	only
superficially	RB	superficially
relevant	JJ	relevant
to	TO	to
the	DT	the
story	NN	story
.	SENT	.
what	WP	what
kind	NN	kind
of	IN	of
a	DT	a
wedding	NN	wedding
singer	NN	singer
he	PP	he
is	VBZ	be
is	VBZ	be
even	RB	even
less	RBR	less
important	JJ	important
.	SENT	.
david	JJ	<unknown>
spade	NN	spade
could	MD	could
have	VB	have
filled	VBN	fill
the	DT	the
role	NN	role
with	IN	with
cynicism	NN	cynicism
and	CC	and
sarcasm	NN	sarcasm
.	SENT	.
he	PP	he
could	MD	could
make	VB	make
fun	NN	fun
of	IN	of
the	DT	the
fat	JJ	fat
,	,	,
ugly	JJ	ugly
,	,	,
or	CC	or
embarrassing	JJ	embarrassing
people	NNS	people
he	PP	he
meets	VBZ	meet
at	IN	at
weddings	NNS	wedding
,	,	,
and	CC	and
the	DT	the
story	NN	story
would	MD	would
be	VB	be
intact	JJ	intact
.	SENT	.
but	CC	but
sandler	NN	<unknown>
instead	RB	instead
brings	VBZ	bring
a	DT	a
mature	JJ	mature
goodness	NN	goodness
to	TO	to
the	DT	the
character	NN	character
.	SENT	.
he	PP	he
seems	VBZ	seem
to	TO	to
really	RB	really
enjoy	VB	enjoy
the	DT	the
people	NNS	people
at	IN	at
weddings	NNS	wedding
and	CC	and
treats	VBZ	treat
them	PP	them
as	IN	as
though	IN	though
they	PP	they
were	VBD	be
his	PP$	his
own	JJ	own
family	NN	family
.	SENT	.
robbie	NP	Robbie
hart	NP	Hart
(	(	(
sandler	NN	<unknown>
)	)	)
does	VBZ	do
n't	RB	n't
just	RB	just
sing	VB	sing
at	IN	at
weddings	NNS	wedding
;	:	;
he	PP	he
also	RB	also
gets	VBZ	get
the	DT	the
loners	NNS	loner
to	TO	to
join	VB	join
in	RB	in
and	CC	and
have	VB	have
fun	NN	fun
,	,	,
and	CC	and
he	PP	he
smooths	VBZ	smooth
it	PP	it
over	IN	over
when	WRB	when
someone	NN	someone
does	VBZ	do
something	NN	something
embarrassing	JJ	embarrassing
.	SENT	.
he	PP	he
is	VBZ	be
exactly	RB	exactly
the	DT	the
man	NN	man
you	PP	you
would	MD	would
want	VB	want
at	IN	at
your	PP$	your
wedding	NN	wedding
.	SENT	.
the	DT	the
day	NN	day
comes	VBZ	come
when	WRB	when
robbie	NN	<unknown>
has	VBZ	have
his	PP$	his
own	JJ	own
wedding	NN	wedding
,	,	,
and	CC	and
he	PP	he
is	VBZ	be
stood	VBN	stand
up	RP	up
by	IN	by
his	PP$	his
heavy-metal	NN	heavy-metal
bride	NN	bride
(	(	(
the	DT	the
movie	NN	movie
is	VBZ	be
set	VBN	set
in	IN	in
1985	CD	@card@
)	)	)
