one	CD	one
of	IN	of
these	DT	these
days	NNS	day
,	,	,
i	NP	i
'll	MD	will
make	VB	make
good	JJ	good
on	IN	on
my	PP$	my
promise	NN	promise
never	RB	never
to	TO	to
rent	VB	rent
another	DT	another
abel	NN	<unknown>
ferrara	NN	<unknown>
movie	NN	movie
.	SENT	.
king	NN	king
of	IN	of
new	JJ	new
york	VBP	york
and	CC	and
body	NN	body
snatchers	NNS	snatcher
notwithstanding	IN	notwithstanding
(	(	(
and	CC	and
bad	JJ	bad
lieutenant	NN	lieutenant
is	VBZ	be
only	RB	only
fit	JJ	fit
for	IN	for
a	DT	a
single	JJ	single
,	,	,
emotive	JJ	emotive
viewing	NN	viewing
)	)	)
,	,	,
his	PP$	his
exploitation	NN	exploitation
flicks	NNS	flick
have	VBP	have
fallen	VBN	fall
into	IN	into
a	DT	a
rut	NN	rut
of	IN	of
hoary	JJ	hoary
art-house	NN	art-house
trappings	NNS	trapping
.	SENT	.
it	PP	it
's	VBZ	be
a	DT	a
perfume-drenched	JJ	<unknown>
,	,	,
coke-addled	JJ	<unknown>
visit	NN	visit
to	TO	to
the	DT	the
seedy	JJ	seedy
pornography	NN	pornography
shop	NN	shop
,	,	,
where	WRB	where
beautiful	JJ	beautiful
models	NNS	model
(	(	(
no	UH	no
,	,	,
hookers	NNS	hooker
--	:	--
no	RB	no
,	,	,
courtesans	NNS	courtesan
)	)	)
usher	VBP	usher
you	PP	you
through	IN	through
the	DT	the
silk	NN	silk
curtains	NNS	curtain
.	SENT	.
ferrara	NN	<unknown>
's	VBZ	be
only	RB	only
consistently	RB	consistently
smart	JJ	smart
move	NN	move
has	VBZ	have
been	VBN	be
casting	VBG	cast
christopher	NN	<unknown>
walken	NN	<unknown>
over	IN	over
and	CC	and
over	IN	over
again	RB	again
,	,	,
since	IN	since
walken	NN	<unknown>
can	MD	can
make	VB	make
a	DT	a
good	JJ	good
movie	NN	movie
great	JJ	great
and	CC	and
a	DT	a
loathsome	JJ	loathsome
movie	NN	movie
durable	JJ	durable
whenever	WRB	whenever
he	PP	he
's	POS	's
onscreen	NN	onscreen
.	SENT	.
his	PP$	his
8-minute	JJ	<unknown>
scene	NN	scene
in	IN	in
the	DT	the
addiction	NN	addiction
is	VBZ	be
the	DT	the
saving	VBG	save
grace	NN	grace
of	IN	of
that	DT	that
otherwise	RB	otherwise
abysmal	JJ	abysmal
,	,	,
unwatchable	JJ	<unknown>
,	,	,
and	CC	and
pretentious	JJ	pretentious
failure	NN	failure
.	SENT	.
when	WRB	when
he	PP	he
starts	VBZ	start
talking	VBG	talk
about	IN	about
his	PP$	his
vampiric	JJ	vampiric
bowel	NN	bowel
movements	NNS	movement
,	,	,
or	CC	or
questions	NNS	question
whether	IN	whether
lili	NP	Lili
taylor	NP	Taylor
has	VBZ	have
ever	RB	ever
read	VBN	read
naked	JJ	naked
lunch	NN	lunch
,	,	,
there	EX	there
's	VBZ	be
a	DT	a
much-needed	VBN	much-need
dose	NN	dose
of	IN	of
humor	NN	humor
in	IN	in
an	DT	an
otherwise	RB	otherwise
terminally	RB	terminally
unfunny	JJ	unfunny
affair	NN	affair
.	SENT	.
you	PP	you
know	VBP	know
those	DT	those
gothic	JJ	Gothic
club	NN	club
kids	NNS	kid
who	WP	who
are	VBP	be
too	RB	too
cool	JJ	cool
to	TO	to
smile	VB	smile
and	CC	and
let	VB	let
you	PP	you
know	VBP	know
they	PP	they
're	VBP	be
actually	RB	actually
having	VBG	have
fun	NN	fun
?	SENT	?
the	DT	the
addiction	NN	addiction
is	VBZ	be
that	DT	that
movie	NN	movie
.	SENT	.
walken	JJ	<unknown>
,	,	,
sadly	RB	sadly
,	,	,
does	VBZ	do
not	RB	not
appear	VB	appear
in	IN	in
the	DT	the
blackout	NN	blackout
.	SENT	.
the	DT	the
central	JJ	central
role	NN	role
of	IN	of
matty	NN	<unknown>
,	,	,
a	DT	a
junkie	NN	junkie
film	NN	film
star	NN	star
whose	WP$	whose
lightning	NN	lightning
paced	VBD	pace
hollywood	NN	<unknown>
life	NN	life
among	IN	among
the	DT	the
beautiful	JJ	beautiful
people	NNS	people
is	VBZ	be
inevitably	RB	inevitably
leading	VBG	lead
to	TO	to
his	PP$	his
destruction	NN	destruction
,	,	,
is	VBZ	be
played	VBN	play
by	IN	by
matthew	JJ	<unknown>
modine	NN	<unknown>
(	(	(
who	WP	who
takes	VBZ	take
what	WP	what
he	PP	he
can	MD	can
get	VB	get
after	IN	after
cutthroat	JJ	cutthroat
island	NN	island
)	)	)
.	SENT	.
much	RB	much
like	IN	like
the	DT	the
protagonists	NNS	protagonist
of	IN	of
michelangelo	NN	<unknown>
antonioni	NN	<unknown>
's	VBZ	be
terminally	RB	terminally
bored	VBN	bore
cultural	JJ	cultural
elite	NNS	elite
,	,	,
matty	NN	<unknown>
is	VBZ	be
involved	VBN	involve
in	IN	in
a	DT	a
bitter	JJ	bitter
pill	NN	pill
"	``	"
relationship	NN	relationship
"	''	"
with	IN	with
high	JJ	high
fashioned	VBN	fashion
model	NN	model
annie	NN	<unknown>
(	(	(
at	IN	at
least	JJS	least
i	NNS	i
think	VBP	think
she	PP	she
's	VBZ	be
a	DT	a
model	NN	model
.	SENT	.
)	)	)
matty	NN	<unknown>
's	POS	's
lady	NN	lady
is	VBZ	be
played	VBN	play
by	IN	by
french	JJ	French
actress	NN	actress
b	SYM	b
?	SENT	?
atrice	NN	<unknown>
