around	IN	around
the	DT	the
end	NN	end
of	IN	of
1998	CD	@card@
,	,	,
a	DT	a
japanese	JJ	Japanese
cartoon	NN	cartoon
came	VBD	come
to	TO	to
the	DT	the
usa	NN	<unknown>
television	NN	television
,	,	,
and	CC	and
really	RB	really
was	VBD	be
n't	RB	n't
that	DT	that
big	JJ	big
.	SENT	.
in	IN	in
fact	NN	fact
not	RB	not
many	JJ	many
people	NNS	people
even	RB	even
knew	VBD	know
what	WP	what
pokemon	NN	<unknown>
was	VBD	be
,	,	,
but	CC	but
in	IN	in
1999	CD	@card@
it	PP	it
hit	VBD	hit
big	JJ	big
with	IN	with
kids	NNS	kid
and	CC	and
adults	NNS	adult
alike	RB	alike
,	,	,
and	CC	and
became	VBD	become
one	CD	one
of	IN	of
the	DT	the
biggest	JJS	big
franchises	NNS	franchise
and	CC	and
merchandise	NN	merchandise
seller	NN	seller
of	IN	of
all	DT	all
time	NN	time
.	SENT	.
in	IN	in
fact	NN	fact
it	PP	it
even	RB	even
spawned	VBD	spawn
a	DT	a
big	JJ	big
screen	NN	screen
adventure	NN	adventure
pokemon	NN	<unknown>
:	:	:
the	DT	the
first	JJ	first
movie	NN	movie
which	WDT	which
for	IN	for
what	WP	what
it	PP	it
was	VBD	be
,	,	,
was	VBD	be
n't	RB	n't
all	DT	all
that	RB	that
bad	JJ	bad
.	SENT	.
it	PP	it
grossed	VBD	gross
$31	JJ	<unknown>
million	CD	million
in	IN	in
its	PP$	its
opening	NN	opening
weekend	NN	weekend
,	,	,
and	CC	and
went	VBD	go
on	RP	on
to	TO	to
make	VB	make
almost	RB	almost
$90	JJ	<unknown>
million	CD	million
.	SENT	.
fans	NNS	fan
thought	VBD	think
it	PP	it
was	VBD	be
great	JJ	great
and	CC	and
now	RB	now
is	VBZ	be
a	DT	a
second	JJ	second
movie	NN	movie
in	IN	in
the	DT	the
pokemon	NN	<unknown>
craze	NN	craze
,	,	,
"	''	"
pokemon	NN	<unknown>
:	:	:
the	DT	the
movie	NN	movie
2000	CD	@card@
"	''	"
which	WDT	which
is	VBZ	be
far	RB	far
inferior	JJ	inferior
to	TO	to
the	DT	the
original	JJ	original
animated	JJ	animated
movie	NN	movie
.	SENT	.
first	RB	first
up	RB	up
is	VBZ	be
the	DT	the
plot	NN	plot
,	,	,
which	WDT	which
there	EX	there
really	RB	really
