when	WRB	when
critics	NNS	critic
attack	VBP	attack
seemingly	RB	seemingly
well-intentioned	JJ	well-intentioned
films	NNS	film
like	IN	like
patch	NN	patch
adams	NNS	<unknown>
or	CC	or
more	RBR	more
recently	RB	recently
pay	VB	pay
it	PP	it
forward	RB	forward
as	IN	as
i	NP	i
am	VBP	be
about	RB	about
to	TO	to
do	VB	do
,	,	,
their	PP$	their
opinions	NNS	opinion
are	VBP	be
often	RB	often
greeted	VBN	greet
with	IN	with
a	DT	a
backlash	NN	backlash
of	IN	of
angry	JJ	angry
e-mails	NP	<unknown>
,	,	,
sometimes	RB	sometimes
even	RB	even
mock	JJ	mock
death	NN	death
threats	NNS	threat
from	IN	from
those	DT	those
who	WP	who
(	(	(
i	NNS	i
suppose	VBP	suppose
)	)	)
like	VBP	like
to	TO	to
be	VB	be
shamelessly	RB	shamelessly
manipulated	VBN	manipulate
by	IN	by
their	PP$	their
entertainment	NN	entertainment
.	SENT	.
even	RB	even
politicians	NNS	politician
(	(	(
!	SENT	!
)	)	)
tend	VBP	tend
to	TO	to
dismiss	VB	dismiss
film	NN	film
critics	NNS	critic
as	IN	as
heartless	JJ	heartless
cynics	NNS	cynic
for	IN	for
occasionally	RB	occasionally
dumping	VBG	dump
on	IN	on
good-hearted	JJ	good-hearted
films	NNS	film
while	IN	while
praising	VBG	praise
"	``	"
filth	NN	filth
"	''	"
like	IN	like
pulp	NN	pulp
fiction	NN	fiction
.	SENT	.
these	DT	these
[	SYM	[
fill	NN	fill
in	IN	in
the	DT	the
derogatory	JJ	derogatory
term	NN	term
that		IN	that
you	PP	you
are	VBP	be
comfortable	JJ	comfortable
with	IN	with
]	SYM	]
tend	VBP	tend
to	TO	to
forget	VB	forget
that		IN	that
a	DT	a
film	NN	film
critic	NN	critic
's	POS	's
job	NN	job
is	VBZ	be
to	TO	to
review	VB	review
the	DT	the
movie	NN	movie
,	,	,
not	RB	not
the	DT	the
message	NN	message
,	,	,
however	RB	however
sweet	JJ	sweet
and	CC	and
endearing	VBG	endear
that	DT	that
message	NN	message
may	MD	may
be	VB	be
.	SENT	.
thusly	RB	thusly
patch	NN	patch
adams	NNS	<unknown>
is	VBZ	be
n't	RB	n't
a	DT	a
bad	JJ	bad
film	NN	film
because	IN	because
it	PP	it
's	VBZ	be
about	RB	about
a	DT	a
doctor	NN	doctor
who	WP	who
cares	VBZ	care
for	IN	for
his	PP$	his
patients	NNS	patient
;	:	;
it	PP	it
's	VBZ	be
a	DT	a
bad	JJ	bad
film	NN	film
because	IN	because
it	PP	it
's	VBZ	be
a	DT	a
calculated	JJ	calculated
piece	NN	piece
of	IN	of
brazen	JJ	brazen
audience	NN	audience
exploitation	NN	exploitation
.	SENT	.
similarly	RB	similarly
while	IN	while
pay	VB	pay
it	PP	it
forward	RB	forward
may	MD	may
have	VB	have
its	PP$	its
heart	NN	heart
in	IN	in
the	DT	the
right	JJ	right
place	NN	place
(	(	(
though	IN	though
i	NP	i
even	RB	even
doubt	VBP	doubt
that		IN	that
,	,	,
stay	VB	stay
tuned	VBN	tune
,	,	,
an	DT	an
explanation	NN	explanation
is	VBZ	be
forthcoming	JJ	forthcoming
)	)	)
,	,	,
it	PP	it
's	VBZ	be
still	RB	still
an	DT	an
unpleasantly	RB	unpleasantly
maudlin	JJ	maudlin
mess	NN	mess
.	SENT	.
the	DT	the
picture	NN	picture
is	VBZ	be
about	RB	about
an	DT	an
