1	LS	1
.	SENT	.
he	PP	he
does	VBZ	do
n't	RB	n't
have	VB	have
a	DT	a
hard-to-decipher	NN	<unknown>
accent	NN	accent
,	,	,
2	CD	2
.	SENT	.
he	PP	he
does	VBZ	do
n't	RB	n't
always	RB	always
speak	VB	speak
in	IN	in
a	DT	a
monotone	NN	monotone
,	,	,
and	CC	and
3	CD	3
.	SENT	.
his	PP$	his
face	NN	face
does	VBZ	do
n't	RB	n't
always	RB	always
wear	VB	wear
the	DT	the
same	JJ	same
impassive	JJ	impassive
expression	NN	expression
.	SENT	.
in	IN	in
short	JJ	short
,	,	,
the	DT	the
former	JJ	former
nfl	NN	<unknown>
player	NN	player
turned	VBD	turn
fox	NN	fox
sportscaster	NN	sportscaster
turned	VBD	turn
actor	NN	actor
is	VBZ	be
too	RB	too
good	JJ	good
to	TO	to
be	VB	be
bad	JJ	bad
,	,	,
but	CC	but
too	RB	too
bad	JJ	bad
to	TO	to
be	VB	be
good	JJ	good
.	SENT	.
unfortunately	RB	unfortunately
,	,	,
the	DT	the
same	JJ	same
cannot	MD	can
be	VB	be
said	VBN	say
of	IN	of
his	PP$	his
first	JJ	first
star	NN	star
vehicle	NN	vehicle
,	,	,
firestorm	NN	firestorm
,	,	,
which	WDT	which
is	VBZ	be
just	RB	just
plain	RB	plain
awful	JJ	awful
.	SENT	.
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
glaring	JJ	glaring
problems	NNS	problem
with	IN	with
long	JJ	long
(	(	(
who	WP	who
made	VBD	make
his	PP$	his
acting	JJ	acting
debut	NN	debut
in	IN	in
john	NN	john
woo	VBP	woo
's	POS	's
broken	VBN	break
arrow	NN	arrow
)	)	)
is	VBZ	be
that		IN	that
he	PP	he
's	VBZ	be
so	RB	so
mediocre	JJ	mediocre
that		IN	that
he	PP	he
often	RB	often
blends	VBZ	blend
in	IN	in
with	IN	with
the	DT	the
scenery	NN	scenery
.	SENT	.
as	IN	as
ace	NN	ace
firefighter	NN	firefighter
jesse	NN	<unknown>
graves	NNS	grave
,	,	,
long	RB	long
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
playing	VBG	play
a	DT	a
bigger-than-life	JJ	<unknown>
action	NN	action
hero	NN	hero
--	:	--
the	DT	the
kind	NN	kind
of	IN	of
he-	NN	<unknown>
man	NN	man
who	WP	who
will	MD	will
crash	VB	crash
through	IN	through
a	DT	a
flaming	JJ	flaming
door	NN	door
to	TO	to
save	VB	save
a	DT	a
child	NN	child
or	CC	or
parachute	NN	parachute
into	IN	into
a	DT	a
burning	VBG	burn
clearing	NN	clearing
to	TO	to
rescue	VB	rescue
some	DT	some
stupid	JJ	stupid
campers	NNS	camper
.	SENT	.
unfortunately	RB	unfortunately
,	,	,
despite	IN	despite
the	DT	the
best	JJS	good
efforts	NNS	effort
of	IN	of
first-time	JJ	first-time
director	NN	director
dean	NN	dean
semler	NP	Semler
to	TO	to
photograph	VB	photograph
long	RB	long
using	VBG	use
heroic	JJ	heroic
shots	NNS	shot
that	WDT	that
make	VBP	make
kevin	NP	Kevin
costner	NP	Costner
's	POS	's
work	NN	work
in	IN	in
the	DT	the
postman	NN	postman
look	NN	look
stark	JJ	stark
,	,	,
jesse	NN	<unknown>
turns	VBZ	turn
out	RP	out
to	TO	to
be	VB	be
a	DT	a
pretty	RB	pretty
boring	JJ	boring
good	JJ	good
guy	NN	guy
.	SENT	.
to	TO	to
put	VB	put
it	PP	it
kindly	RB	kindly
,	,	,
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
well-written	VBN	well-write
motion	NN	motion
picture	NN	picture
.	SENT	.
firestorm	NN	firestorm
is	VBZ	be
a	DT	a
collection	NN	collection
of	IN	of
howlingly	RB	howlingly
bad	JJ	bad
lines	NNS	line
set	VBN	set
against	IN	against
a	DT	a
backdrop	NN	backdrop
of	IN	of
disaster	NN	disaster
movie	NN	movie
clich	NN	<unknown>
?	SENT	?
s	NNS	<unknown>
which	WDT	which
,	,	,
taken	VBN	take
together	RB	together
,	,	,
form	NN	form
something	NN	something
that	WDT	that
requires	VBZ	require
a	DT	a
level	NN	level
of	IN	of
viewer	NN	viewer
inebriation	NN	inebriation
to	TO	to
be	VB	be
recognized	VBN	recognize
as	IN	as
a	DT	a
plot	NN	plot
.	SENT	.
the	DT	the
only	JJ	only
reason	NN	reason
this	DT	this
film	NN	film
is	VBZ	be
getting	VBG	get
one	CD	one
star	NN	star
(	(	(
instead	RB	instead
of	IN	of
something	RB	something
lower	JJR	low
)	)	)
is	VBZ	be
that		IN	that
most	JJS	most
of	IN	of
the	DT	the
fire	NN	fire
sequences	NNS	sequence
are	VBP	be
realistic	JJ	realistic
,	,	,
and	CC	and
i	NP	i
was	VBD	be
fascinated	VBN	fascinate
by	IN	by
the	DT	the
meticulous	JJ	meticulous
planning	NN	planning
that	WDT	that
must	MD	must
have	VB	have
been	VBN	be
necessary	JJ	necessary
to	TO	to
stage	VB	stage
them	PP	them
effectively	RB	effectively
.	SENT	.
we	PP	we
're	VBP	be
introduced	VBN	introduce
to	TO	to
our	PP$	our
big	JJ	big
burly	JJ	burly
hero	NN	hero
one	CD	one
afternoon	NN	afternoon
when	WRB	when
he	PP	he
and	CC	and
some	DT	some
colleagues	NNS	colleague
jump	VBP	jump
into	IN	into
the	DT	the
midst	NN	midst
of	IN	of
a	DT	a
forest	NN	forest
fire	NN	fire
to	TO	to
save	VB	save
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
.	SENT	.
during	IN	during
this	DT	this
sequence	NN	sequence
,	,	,
our	PP$	our
big	JJ	big
burly	JJ	burly
hero	NN	hero
proves	VBZ	prove
that		IN	that
he	PP	he
's	VBZ	be
also	RB	also
a	DT	a
sensitive	JJ	sensitive
guy	NN	guy
by	IN	by
risking	VBG	risk
his	PP$	his
life	NN	life
to	TO	to
save	VB	save
a	DT	a
little	JJ	little
girl	NN	girl
and	CC	and
her	PP$	her
dog	NN	dog
(	(	(
yes	UH	yes
,	,	,
the	DT	the
dog	NN	dog
lives	NNS	life
)	)	)
from	IN	from
being	VBG	be
broiled	VBN	broil
alive	RB	alive
.	SENT	.
flash-forward	RB	<unknown>
a	DT	a
year	NN	year
.	SENT	.
now	RB	now
,	,	,
our	PP$	our
big	JJ	big
burly	JJ	burly
hero	NN	hero
is	VBZ	be
taking	VBG	take
over	RP	over
as	RB	as
chief	JJ	chief
of	IN	of
his	PP$	his
smokejumpers	NNS	smokejumper
association	NN	association
,	,	,
replacing	VBG	replace
outgoing	JJ	outgoing
honcho	NP	honcho
wynt	NN	<unknown>
perkins	NNS	<unknown>
(	(	(
real	JJ	real
actor	NN	actor
scott	NP	Scott
glenn	NP	Glenn
)	)	)
.	SENT	.
but	CC	but
this	DT	this
