how	WRB	how
do	VBP	do
films	NNS	film
like	IN	like
mouse	NN	mouse
hunt	NN	hunt
get	VBP	get
into	IN	into
theatres	NNS	theatre
?	SENT	?
is	VBZ	be
n't	RB	n't
there	RB	there
a	DT	a
law	NN	law
or	CC	or
something	NN	something
?	SENT	?
this	DT	this
diabolical	JJ	diabolical
load	NN	load
of	IN	of
claptrap	NN	claptrap
from	IN	from
steven	NP	Steven
speilberg	NP	<unknown>
's	POS	's
dreamworks	NNS	<unknown>
studio	NN	studio
is	VBZ	be
hollywood	NN	<unknown>
family	NN	family
fare	NN	fare
at	IN	at
its	PP$	its
deadly	JJ	deadly
worst	JJS	bad
.	SENT	.
mouse	NN	mouse
hunt	NN	hunt
takes	VBZ	take
the	DT	the
bare	JJ	bare
threads	NNS	thread
of	IN	of
a	DT	a
plot	NN	plot
and	CC	and
tries	VBZ	try
to	TO	to
prop	VB	prop
it	PP	it
up	RP	up
with	IN	with
overacting	VBG	overact
and	CC	and
flat-out	JJ	flat-out
stupid	JJ	stupid
slapstick	NN	slapstick
that	WDT	that
makes	VBZ	make
comedies	NNS	comedy
like	VBP	like
jingle	VB	jingle
all	PDT	all
the	DT	the
way	NN	way
look	NN	look
decent	JJ	decent
by	IN	by
comparison	NN	comparison
.	SENT	.
writer	NN	writer
adam	NN	<unknown>
rifkin	NN	<unknown>
and	CC	and
director	NN	director
gore	NN	gore
verbinski	NNS	<unknown>
are	VBP	be
the	DT	the
names	NNS	name
chiefly	RB	chiefly
responsible	JJ	responsible
for	IN	for
this	DT	this
swill	NN	swill
.	SENT	.
the	DT	the
plot	NN	plot
,	,	,
for	IN	for
what	WP	what
its	PP$	its
worth	NN	worth
,	,	,
concerns	VBZ	concern
two	CD	two
brothers	NNS	brother
(	(	(
nathan	NN	<unknown>
lane	NN	lane
and	CC	and
an	DT	an
appalling	JJ	appalling
lee	JJ	lee
evens	NNS	even
)	)	)
who	WP	who
inherit	VBP	inherit
a	DT	a
poorly	RB	poorly
run	VBN	run
string	NN	string
factory	NN	factory
and	CC	and
a	DT	a
seemingly	RB	seemingly
worthless	JJ	worthless
house	NN	house
from	IN	from
their	PP$	their
eccentric	JJ	eccentric
father	NN	father
.	SENT	.
deciding	VBG	decide
to	TO	to
check	VB	check
out	RP	out
the	DT	the
long-abandoned	JJ	<unknown>
house	NN	house
,	,	,
they	PP	they
soon	RB	soon
learn	VBP	learn
that		IN	that
it	PP	it
's	VBZ	be
worth	JJ	worth
a	DT	a
fortune	NN	fortune
and	CC	and
set	VBN	set
about	IN	about
selling	VBG	sell
it	PP	it
in	IN	in
auction	NN	auction
to	TO	to
the	DT	the
highest	JJS	high
bidder	NN	bidder
.	SENT	.
but	CC	but
battling	VBG	battle
them	PP	them
at	IN	at
every	DT	every
turn	NN	turn
is	VBZ	be
a	DT	a
very	RB	very
smart	JJ	smart
mouse	NN	mouse
,	,	,
happy	JJ	happy
with	IN	with
his	PP$	his
run-down	JJ	run-down
little	JJ	little
abode	NN	abode
and	CC	and
wanting	VBG	want
it	PP	it
to	TO	to
stay	VB	stay
that	DT	that
way	NN	way
.	SENT	.
the	DT	the
story	NN	story
alternates	VBZ	alternate
between	IN	between
unfunny	JJ	unfunny
scenes	NNS	scene
of	IN	of
the	DT	the
brothers	NNS	brother
bickering	VBG	bicker
over	IN	over
what	WP	what
to	TO	to
do	VB	do
with	IN	with
their	PP$	their
inheritance	NN	inheritance
and	CC	and
endless	JJ	endless
action	NN	action
sequences	NNS	sequence
as	IN	as
the	DT	the
two	CD	two
take	NN	take
on	IN	on
their	PP$	their
increasingly	RB	increasingly
determined	VBN	determine
furry	JJ	furry
foe	NN	foe
.	SENT	.
whatever	WDT	whatever
promise	NN	promise
the	DT	the
film	NN	film
starts	VBZ	start
with	IN	with
soon	RB	soon
deteriorates	VBZ	deteriorate
into	IN	into
boring	JJ	boring
dialogue	NN	dialogue
,	,	,
terrible	JJ	terrible
overacting	VBG	overact
,	,	,
and	CC	and
increasingly	RB	increasingly
uninspired	JJ	uninspired
slapstick	NN	slapstick
that	WDT	that
becomes	VBZ	become
all	DT	all
sound	NN	sound
and	CC	and
fury	NN	fury
,	,	,
signifying	VBG	signify
nothing	NN	nothing
.	SENT	.
the	DT	the
script	NN	script
becomes	VBZ	become
so	RB	so
unspeakably	RB	unspeakably
bad	JJ	bad
that		IN	that
the	DT	the
best	JJS	good
line	NN	line
poor	JJ	poor
lee	JJ	lee
evens	NNS	even
can	MD	can
utter	VB	utter
after	IN	after
another	DT	another
run	NN	run
in	IN	in
with	IN	with
the	DT	the
rodent	NN	rodent
is	VBZ	be
:	:	:
"	``	"
i	NNS	i
hate	VBP	hate
that	DT	that
mouse	NN	mouse
"	''	"
.	SENT	.
oh	UH	oh
cringe	NN	cringe
!	SENT	!
this	DT	this
is	VBZ	be
home	RB	home
alone	RB	alone
all	RB	all
over	IN	over
again	RB	again
,	,	,
and	CC	and
ten	CD	ten
times	NNS	time
worse	RBR	worse
.	SENT	.
one	CD	one
touching	JJ	touching
scene	NN	scene
early	RB	early
on	IN	on
is	VBZ	be
worth	JJ	worth
mentioning	VBG	mention
.	SENT	.
we	PP	we
follow	VBP	follow
the	DT	the
mouse	NN	mouse
through	IN	through
a	DT	a
maze	NN	maze
of	IN	of
walls	NNS	wall
and	CC	and
pipes	NNS	pipe
until	IN	until
he	PP	he
arrives	VBZ	arrive
at	IN	at
his	PP$	his
makeshift	JJ	makeshift
abode	NN	abode
somewhere	RB	somewhere
in	IN	in
a	DT	a
wall	NN	wall
.	SENT	.
he	PP	he
jumps	VBZ	jump
into	IN	into
a	DT	a
tiny	JJ	tiny
bed	NN	bed
,	,	,
pulls	VBZ	pull
up	RP	up
a	DT	a
makeshift	JJ	makeshift
sheet	NN	sheet
and	CC	and
snuggles	VBZ	snuggle
up	RP	up
to	TO	to
sleep	VB	sleep
,	,	,
seemingly	RB	seemingly
happy	JJ	happy
and	CC	and
just	RB	just
wanting	VBG	want
to	TO	to
be	VB	be
left	VBN	leave
alone	RB	alone
.	SENT	.
it	PP	it
's	VBZ	be
a	DT	a
magical	JJ	magical
little	JJ	little
moment	NN	moment
in	IN	in
an	DT	an
otherwise	RB	otherwise
soulless	JJ	soulless
film	NN	film
.	SENT	.
a	DT	a
message	NN	message
to	TO	to
speilberg	NP	<unknown>
:	:	:
if	IN	if
you	PP	you
want	VBP	want
dreamworks	NNS	<unknown>
to	TO	to
be	VB	be
associated	VBN	associate
with	IN	with
some	DT	some
kind	NN	kind
of	IN	of
artistic	JJ	artistic
credibility	NN	credibility
,	,	,
then	RB	then
either	RB	either
give	VB	give
all	DT	all
concerned	VBN	concern
in	IN	in
mouse	NN	mouse
hunt	VBP	hunt
a	DT	a
swift	JJ	swift
kick	NN	kick
up	IN	up
the	DT	the
arse	NN	arse
or	CC	or
hire	VB	hire
yourself	PP	yourself
some	DT	some
decent	JJ	decent
writers	NNS	writer
and	CC	and
directors	NNS	director
.	SENT	.
this	DT	this
kind	NN	kind
of	IN	of
rubbish	NN	rubbish
will	MD	will
just	RB	just
not	RB	not
do	VB	do
at	IN	at
all	DT	all
.	SENT	.
