sometimes	RB	sometimes
i	NP	i
find	VBP	find
19th	JJ	19th
century	NN	century
british	JJ	British
costume	JJ	costume
dramas	NN	dramas
a	DT	a
little	RB	little
hard	JJ	hard
to	TO	to
relate	VB	relate
to	TO	to
.	SENT	.
it	PP	it
's	VBZ	be
not	RB	not
the	DT	the
time	NN	time
or	CC	or
the	DT	the
distance	NN	distance
,	,	,
it	PP	it
's	VBZ	be
the	DT	the
rules	NNS	rule
and	CC	and
conventions	NNS	convention
of	IN	of
a	DT	a
social	JJ	social
class	NN	class
that	WDT	that
deserves	VBZ	deserve
resentment	NN	resentment
rather	RB	rather
than	IN	than
sympathy	NN	sympathy
.	SENT	.
yet	RB	yet
somehow	RB	somehow
,	,	,
the	DT	the
movies	NNS	movie
are	VBP	be
all	RB	all
well	RB	well
made	VBN	make
and	CC	and
i	NP	i
always	RB	always
get	VB	get
caught	VBN	catch
up	RP	up
in	IN	in
the	DT	the
story	NN	story
.	SENT	.
the	DT	the
wings	NNS	wing
of	IN	of
the	DT	the
dove	NN	dove
fits	VBZ	fit
the	DT	the
pattern	NN	pattern
.	SENT	.
kate	NNS	<unknown>
(	(	(
helena	NN	<unknown>
bonham	NN	<unknown>
carter	NN	carter
)	)	)
and	CC	and
merton	NP	Merton
(	(	(
linus	NN	<unknown>
roache	NN	<unknown>
)	)	)
are	VBP	be
in	IN	in
love	NN	love
.	SENT	.
merton	NP	Merton
,	,	,
a	DT	a
newspaper	NN	newspaper
writer	NN	writer
,	,	,
would	MD	would
like	VB	like
to	TO	to
marry	VB	marry
kate	NNS	<unknown>
.	SENT	.
but	CC	but
kate	NNS	<unknown>
's	POS	's
"	``	"
job	NN	job
"	''	"
,	,	,
if	IN	if
you	PP	you
will	MD	will
,	,	,
is	VBZ	be
to	TO	to
be	VB	be
a	DT	a
member	NN	member
of	IN	of
the	DT	the
british	JJ	British
upper	JJ	upper
class	NN	class
.	SENT	.
her	PP$	her
father	NN	father
lost	VBD	lose
all	DT	all
of	IN	of
her	PP$	her
family	NN	family
's	POS	's
money	NN	money
,	,	,
but	CC	but
a	DT	a
wealthy	JJ	wealthy
aunt	NN	aunt
agreed	VBD	agree
to	TO	to
take	VB	take
care	NN	care
of	IN	of
her	PP	her
until	IN	until
she	PP	she
married	VBD	marry
a	DT	a
nice	JJ	nice
rich	JJ	rich
man	NN	man
.	SENT	.
naturally	RB	naturally
,	,	,
a	DT	a
newspaper	NN	newspaper
writer	NN	writer
's	POS	's
wages	NNS	wage
do	VBP	do
n't	RB	n't
count	VB	count
as	IN	as
"	``	"
rich	JJ	rich
.	SENT	.
"	``	"
kate	NN	<unknown>
leads	VBZ	lead
him	PP	him
on	RP	on
,	,	,
but	CC	but
she	PP	she
always	RB	always
ends	VBZ	end
up	IN	up
giving	VBG	give
him	PP	him
the	DT	the
cold	JJ	cold
shoulder	NN	shoulder
,	,	,
ultimately	RB	ultimately
because	IN	because
he	PP	he
's	VBZ	be
not	RB	not
marriageable	JJ	marriageable
.	SENT	.
kate	NN	<unknown>
's	POS	's
american	JJ	American
friend	NN	friend
millie	NN	<unknown>
(	(	(
alison	NN	<unknown>
elliot	NN	<unknown>
)	)	)
stops	VBZ	stop
in	IN	in
for	IN	for
a	DT	a
visit	NN	visit
on	IN	on
her	PP$	her
way	NN	way
to	TO	to
venice	NP	Venice
.	SENT	.
at	IN	at
a	DT	a
party	NN	party
,	,	,
millie	NN	<unknown>
catches	VBZ	catch
a	DT	a
glimpse	NN	glimpse
of	IN	of
merton	NN	<unknown>
and	CC	and
likes	VBZ	like
what	WP	what
