most	JJS	most
movies	NNS	movie
seem	VBP	seem
to	TO	to
release	VB	release
a	DT	a
third	JJ	third
movie	NN	movie
just	RB	just
so	RB	so
it	PP	it
can	MD	can
be	VB	be
called	VBN	call
a	DT	a
trilogy	NN	trilogy
.	SENT	.
rocky	JJ	rocky
iii	NN	<unknown>
seems	VBZ	seem
to	TO	to
kind	NN	kind
of	IN	of
fit	NN	fit
in	IN	in
that	DT	that
category	NN	category
,	,	,
but	CC	but
manages	VBZ	manage
to	TO	to
be	VB	be
slightly	RB	slightly
unique	JJ	unique
.	SENT	.
the	DT	the
rocky	JJ	rocky
formula	NN	formula
of	IN	of
"	``	"
rocky	JJ	rocky
loses	NNS	lose
fight/	JJ	<unknown>
rocky	JJ	rocky
trains/	JJ	<unknown>
rocky	JJ	rocky
wins	NNS	win
fight	NN	fight
"	``	"
is	VBZ	be
carried	VBN	carry
out	RP	out
to	TO	to
the	DT	the
letter	NN	letter
.	SENT	.
also	RB	also
the	DT	the
'tradition	NN	<unknown>
'	''	'
of	IN	of
showing	VBG	show
the	DT	the
last	JJ	last
five	CD	five
minutes	NNS	minute
or	CC	or
so	RB	so
from	IN	from
the	DT	the
past	JJ	past
rocky	JJ	rocky
film	NN	film
is	VBZ	be
used	VBN	use
as	IN	as
well	RB	well
.	SENT	.
this	DT	this
movie	NN	movie
begins	VBZ	begin
with	IN	with
a	DT	a
series	NN	series
of	IN	of
clips	NNS	clip
showing	VBG	show
how	WRB	how
famous	JJ	famous
rocky	JJ	rocky
(	(	(
sylvester	NN	<unknown>
stallone	NN	<unknown>
)	)	)
has	VBZ	have
become	VBN	become
.	SENT	.
.	SENT	.
.	SENT	.
even	RB	even
showing	VBG	show
a	DT	a
brief	JJ	brief
appearance	NN	appearance
on	IN	on
sesame	NN	sesame
street	NN	street
!	SENT	!
!	SENT	!
then	RB	then
it	PP	it
moves	VBZ	move
on	IN	on
with	IN	with
rocky	JJ	rocky
being	NN	being
in	IN	in
a	DT	a
fixed	VBN	fix
fight	NN	fight
with	IN	with
thunderlips	NNS	<unknown>
(	(	(
hulk	NN	hulk
hogan	NN	hogan
)	)	)
