my	PP$	my
first	JJ	first
exposure	NN	exposure
to	TO	to
the	DT	the
nightmare	NN	nightmare
on	IN	on
elm	NN	elm
street	NN	street
series	NN	series
of	IN	of
films	NNS	film
was	VBD	be
not	RB	not
this	DT	this
one	CD	one
,	,	,
but	CC	but
in	IN	in
fact	NN	fact
the	DT	the
third	JJ	third
installment	NN	installment
(	(	(
it	PP	it
was	VBD	be
the	DT	the
first	JJ	first
to	TO	to
gain	VB	gain
a	DT	a
national	JJ	national
theatrical	JJ	theatrical
release	NN	release
)	)	)
.	SENT	.
i	NP	i
did	VBD	do
n't	RB	n't
see	VB	see
the	DT	the
first	JJ	first
film	NN	film
until	IN	until
much	RB	much
later	RBR	later
.	SENT	.
so	RB	so
looking	VBG	look
back	RB	back
,	,	,
the	DT	the
original	NN	original
did	VBD	do
n't	RB	n't
hold	VB	hold
a	DT	a
lot	NN	lot
of	IN	of
great	JJ	great
memories	NNS	memory
for	IN	for
me	PP	me
,	,	,
since	IN	since
i	NP	i
did	VBD	do
n't	RB	n't
think	VB	think
too	RB	too
much	RB	much
of	IN	of
it	PP	it
when	WRB	when
i	NP	i
initially	RB	initially
saw	VBD	see
it	PP	it
.	SENT	.
watching	VBG	watch
it	PP	it
now	RB	now
for	IN	for
a	DT	a
second	JJ	second
time	NN	time
confirmed	VBD	confirm
that		IN	that
it	PP	it
's	VBZ	be
an	DT	an
overrated	VBN	overrate
horror	NN	horror
film	NN	film
that	WDT	that
ultimately	RB	ultimately
makes	VBZ	make
no	DT	no
sense	NN	sense
whatsoever	RB	whatsoever
.	SENT	.
you	PP	you
all	RB	all
know	VBP	know
the	DT	the
story	NN	story
by	IN	by
now	RB	now
:	:	:
child	NN	child
murderer	NN	murderer
freddy	NN	<unknown>
krueger	NP	Krueger
(	(	(
robert	NP	Robert
englund	NP	Englund
)	)	)
returns	NNS	return
from	IN	from
the	DT	the
grave	NN	grave
by	IN	by
haunting	VBG	haunt
the	DT	the
dreams	NNS	dream
of	IN	of
the	DT	the
children	NNS	child
of	IN	of
those	DT	those
who	WP	who
burned	VBD	burn
him	PP	him
alive	JJ	alive
years	NNS	year
before	RB	before
.	SENT	.
this	DT	this
first	JJ	first
installment	NN	installment
does	VBZ	do
an	DT	an
adequate	JJ	adequate
job	NN	job
with	IN	with
it	PP	it
's	POS	's
low	JJ	low
budget	NN	budget
,	,	,
but	CC	but
there	EX	there
's	VBZ	be
some	DT	some
absurd	JJ	absurd
