`	``	`
oh	UH	oh
behave	VB	behave
!	SENT	!
felicity	NN	felicity
shagwell	NN	<unknown>
is	VBZ	be
one	CD	one
shagadellic	JJ	<unknown>
babe	NN	babe
.	SENT	.
do	VB	do
i	NP	i
make	VB	make
your	PP$	your
horny	JJ	horny
?	SENT	?
female	JJ	female
fembots	NNS	<unknown>
with	IN	with
breasts	NNS	breast
that	WDT	that
require	VBP	require
gun	NN	gun
controlling	NN	controlling
.	SENT	.
anything	NN	anything
that	WDT	that
resembles	VBZ	resemble
bananas	NNS	banana
and	CC	and
two	CD	two
balls	NNS	ball
of	IN	of
icecream	NN	<unknown>
.	SENT	.
the	DT	the
nut-biting	NN	<unknown>
finale	NN	finale
between	IN	between
mini	NN	mini
me	PP	me
and	CC	and
austin	NN	<unknown>
.	SENT	.
all	PDT	all
that	DT	that
body	NN	body
hair	NN	hair
is	VBZ	be
a	DT	a
real	JJ	real
turn	NN	turn
on	IN	on
,	,	,
it	PP	it
's	VBZ	be
a	DT	a
pity	NN	pity
more	RBR	more
leading	VBG	lead
men	NNS	man
do	VBP	do
n't	RB	n't
wear	VB	wear
it	PP	it
on	IN	on
screen	NN	screen
.	SENT	.
anything	NN	anything
that	WDT	that
vaguely	RB	vaguely
resembles	VBZ	resemble
sausages	NNS	sausage
and	CC	and
eggs	NNS	egg
.	SENT	.
fat	JJ	fat
bastard	NN	bastard
.	SENT	.
the	DT	the
love	NN	love
scene	NN	scene
between	IN	between
felicity	NN	felicity
and	CC	and
fat	JJ	fat
bastard	NN	bastard
,	,	,
that	WDT	that
redefines	VBZ	redefin
sex	NN	sex
.	SENT	.
the	DT	the
wrongly	RB	wrongly
implied	VBN	imply
love	NN	love
scene	NN	scene
in	IN	in
the	DT	the
tent	NN	tent
that	WDT	that
redefines	VBZ	redefin
anal	JJ	anal
sex	NN	sex
.	SENT	.
the	DT	the
love	NN	love
scene	NN	scene
between	IN	between
austin	NN	<unknown>
and	CC	and
ivana	NN	<unknown>
humpalot	NN	<unknown>
,	,	,
that	WDT	that
redefines	VBZ	redefin
chess	NN	chess
and	CC	and
oral	JJ	oral
sex	NN	sex
.	SENT	.
the	DT	the
love	NN	love
scene	NN	scene
between	IN	between
dr	NN	Dr
.	SENT	.
evil	NN	evil
and	CC	and
frau	NN	Frau
farbissina	NN	<unknown>
,	,	,
that	WDT	that
redefines	VBZ	redefin
weird	JJ	weird
sex	NN	sex
.	SENT	.
the	DT	the
love	NN	love
affair	NN	affair
between	IN	between
austin	NN	<unknown>
and	CC	and
felicity	NN	felicity
,	,	,
that	WDT	that
does	VBZ	do
not	RB	not
happen	VB	happen
,	,	,
because	IN	because
his	PP$	his
mojo	NN	<unknown>
goes	VBZ	go
missing	VBG	miss
.	SENT	.
the	DT	the
relationship	NN	relationship
between	IN	between
dr	NN	Dr
evil	NN	evil
,	,	,
himself	PP	himself
and	CC	and
mini	NN	mini
me	PP	me
which	WDT	which
redefines	VBZ	redefin
a	DT	a
solo	JJ	solo
love	NN	love
affair	NN	affair
.	SENT	.
the	DT	the
unique	JJ	unique
relationship	NN	relationship
between	IN	between
dr	NN	Dr
evil	NN	evil
and	CC	and
his	PP$	his
son	NN	son
scott	NN	<unknown>
www	NNS	<unknown>
.	SENT	.
com	NN	com
.	SENT	.
zip	NN	zip
,	,	,
that	WDT	that
says	VBZ	say
a	DT	a
lot	NN	lot
about	IN	about
our	PP$	our
relationship	NN	relationship
with	IN	with
our	PP$	our
children	NNS	child
nowadays	RB	nowadays
.	SENT	.
weanies	NNS	<unknown>
,	,	,
johnny	NN	johnny
,	,	,
richard	NP	Richard
,	,	,
dick	NN	dick
etc	NN	etc
.	SENT	.
'	''	'
this	DT	this
movie	NN	movie
is	VBZ	be
every	DT	every
bit	NN	bit
as	IN	as
silly	JJ	silly
and	CC	and
crazy	JJ	crazy
as	IN	as
the	DT	the
first	JJ	first
.	SENT	.
there	EX	there
are	VBP	be
moments	NNS	moment
that	WDT	that
will	MD	will
make	VB	make
your	PP$	your
sick	NN	sick
,	,	,
which	WDT	which
are	VBP	be
probably	RB	probably
best	RBS	well
forgotten	VBN	forget
,	,	,
but	CC	but
overall	JJ	overall
mike	NN	mike
myers	NNS	<unknown>
has	VBZ	have
redefined	VBN	redefin
what	WP	what
it	PP	it
means	VBZ	mean
to	TO	to
be	VB	be
an	DT	an
international	JJ	international
spy	NN	spy
and	CC	and
leading	VBG	lead
man	NN	man
.	SENT	.
