1989	CD	@card@
's	VBZ	be
"	``	"
major	JJ	major
league	NN	league
"	''	"
was	VBD	be
a	DT	a
delightful	JJ	delightful
surprise	NN	surprise
.	SENT	.
i	NP	i
did	VBD	do
n't	RB	n't
expect	VB	expect
much	RB	much
of	IN	of
it	PP	it
when	WRB	when
i	NP	i
decided	VBD	decide
to	TO	to
watch	VB	watch
it	PP	it
on	IN	on
cable	NN	cable
,	,	,
but	CC	but
it	PP	it
proved	VBD	prove
to	TO	to
be	VB	be
fresh	JJ	fresh
and	CC	and
funny	JJ	funny
.	SENT	.
however	RB	however
,	,	,
when	WRB	when
the	DT	the
appeal	NN	appeal
of	IN	of
a	DT	a
movie	NN	movie
is	VBZ	be
its	PP$	its
freshness	NN	freshness
,	,	,
the	DT	the
sequels	NNS	sequel
are	VBP	be
virtually	RB	virtually
guaranteed	VBN	guarantee
to	TO	to
be	VB	be
stale	JJ	stale
.	SENT	.
that	DT	that
's	VBZ	be
certainly	RB	certainly
true	JJ	true
of	IN	of
"	``	"
major	JJ	major
league	NN	league
ii	NNS	<unknown>
"	''	"
and	CC	and
the	DT	the
most	RBS	most
recent	JJ	recent
entry	NN	entry
,	,	,
"	``	"
major	JJ	major
league	NN	league
:	:	:
back	RB	back
to	TO	to
the	DT	the
minors	NNS	minor
.	SENT	.
"	''	"
the	DT	the
title	NN	title
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
a	DT	a
contradiction	NN	contradiction
.	SENT	.
should	MD	should
n't	RB	n't
it	PP	it
be	VB	be
"	``	"
minor	JJ	minor
league	NN	league
?	SENT	?
"	''	"
that	DT	that
contradiction	NN	contradiction
suggests	VBZ	suggest
the	DT	the
lengths	NNS	length
to	TO	to
which	WDT	which
writer/	JJ	<unknown>
director	NN	director
john	NN	john
warren	NN	warren
has	VBZ	have
gone	VBN	go
to	TO	to
squeeze	VB	squeeze
a	DT	a
third	JJ	third
movie	NN	movie
out	RP	out
of	IN	of
the	DT	the
formula	NN	formula
established	VBN	establish
by	IN	by
the	DT	the
first	JJ	first
movie	NN	movie
.	SENT	.
original	JJ	original
stars	NNS	star
charlie	NN	charlie
sheen	NN	sheen
and	CC	and
tom	NN	tom
berenger	NN	<unknown>
(	(	(
who	WP	who
returned	VBD	return
for	IN	for
"	``	"
major	JJ	major
league	NN	league
ii	NNS	<unknown>
"	''	"
)	)	)
are	VBP	be
not	RB	not
around	RB	around
,	,	,
leaving	VBG	leave
corbin	NP	Corbin
bernsen	NP	Bernsen
the	DT	the
only	JJ	only
original	JJ	original
headliner	NN	headliner
to	TO	to
make	VB	make
the	DT	the
third	JJ	third
movie	NN	movie
.	SENT	.
the	DT	the
other	JJ	other
veterans	NNS	veteran
who	WP	who
return	VBP	return
(	(	(
dennis	NN	<unknown>
haysbert	NN	<unknown>
as	IN	as
voodoo-inspired	JJ	<unknown>
batter	NN	batter
cerrano	NN	<unknown>
and	CC	and
takaaki	JJ	<unknown>
ishibashi	NNS	<unknown>
as	IN	as
tanaka	NP	Tanaka
,	,	,
who	WP	who
was	VBD	be
introduced	VBN	introduce
in	IN	in
"	``	"
league	NN	league
ii	NN	<unknown>
"	''	"
)	)	)
seem	VBP	seem
to	TO	to
be	VB	be
around	RB	around
just	RB	just
to	TO	to
lend	VB	lend
legitimacy	NN	legitimacy
to	TO	to
the	DT	the
enterprise	NN	enterprise
.	SENT	.
the	DT	the
only	JJ	only
returning	VBG	return
cast	NN	cast
member	NN	member
who	WP	who
produces	VBZ	produce
any	DT	any
laughs	NNS	laugh
is	VBZ	be
bob	NN	bob
uecker	NN	<unknown>
as	IN	as
radio	NN	radio
announcer	NN	announcer
harry	VBP	harry
doyle	NN	<unknown>
,	,	,
inexplicably	RB	inexplicably
broadcasting	VBG	broadcast
the	DT	the
games	NNS	game
of	IN	of
a	DT	a
minor	JJ	minor
league	NN	league
team	NN	team
far	RB	far
from	IN	from
his	PP$	his
home	NN	home
turf	NN	turf
.	SENT	.
the	DT	the
protagonist	NN	protagonist
this	DT	this
time	NN	time
around	RB	around
