whenever	WRB	whenever
studio	NN	studio
executives	NNS	executive
try	VBP	try
to	TO	to
combine	VB	combine
the	DT	the
successful	JJ	successful
formula	NN	formula
of	IN	of
two	CD	two
blockbuster	JJ	blockbuster
films	NNS	film
,	,	,
the	DT	the
end	NN	end
result	NN	result
is	VBZ	be
always	RB	always
a	DT	a
mess	NN	mess
of	IN	of
a	DT	a
script	NN	script
,	,	,
acting	VBG	act
,	,	,
directing	VBG	direct
,	,	,
and	CC	and
generally	RB	generally
a	DT	a
waste	NN	waste
of	IN	of
time	NN	time
for	IN	for
any	DT	any
audience	NN	audience
with	IN	with
an	DT	an
average	JJ	average
iq	NN	<unknown>
above	IN	above
40	CD	@card@
.	SENT	.
the	DT	the
latest	JJS	late
movie	NN	movie
morass	NN	morass
from	IN	from
hollywood	NN	<unknown>
,	,	,
the	DT	the
crew	NN	crew
,	,	,
appeared	VBD	appear
equally	RB	equally
destined	VBN	destine
to	TO	to
fail	VB	fail
,	,	,
a	DT	a
strange	JJ	strange
combination	NN	combination
of	IN	of
grumpy	JJ	grumpy
old	JJ	old
men	NNS	man
and	CC	and
goodfellas	NNS	<unknown>
tossed	VBD	toss
together	RB	together
with	IN	with
the	DT	the
likes	NN	likes
of	IN	of
richard	NP	Richard
dreyfuss	NP	Dreyfuss
and	CC	and
burt	NP	Burt
reynolds	NNS	<unknown>
helming	VBG	helm
the	DT	the
ship	NN	ship
.	SENT	.
the	DT	the
scary	JJ	scary
thing	NN	thing
is	VBZ	be
that		IN	that
it	PP	it
's	VBZ	be
actually	RB	actually
entertaining	JJ	entertaining
and	CC	and
a	DT	a
breath	NN	breath
of	IN	of
fresh	JJ	fresh
air	NN	air
in	IN	in
this	DT	this
otherwise	RB	otherwise
stale	JJ	stale
month	NN	month
.	SENT	.
the	DT	the
crew	NN	crew
works	VBZ	work
for	IN	for
several	JJ	several
reasons	NNS	reason
.	SENT	.
the	DT	the
clever	JJ	clever
script	NN	script
is	VBZ	be
reminiscent	JJ	reminiscent
of	IN	of
an	DT	an
old	JJ	old
billy	NN	billy
wilder	VB	wilder
movie	NN	movie
,	,	,
following	VBG	follow
four	CD	four
"	''	"
past	IN	past
their	PP$	their
prime	JJ	prime
"	``	"
wiseguys	NNS	<unknown>
from	IN	from
jersey	NN	jersey
who	WP	who
now	RB	now
live	VBP	live
in	IN	in
the	DT	the
raj	NN	raj
mahal	NN	<unknown>
apartment	NN	apartment
house	NN	house
in	IN	in
miami	NN	<unknown>
beach	NN	beach
.	SENT	.
the	DT	the
wiseguys	NNS	<unknown>
find	VBP	find
themselves	PP	themselves
being	VBG	be
evicted	VBN	evict
from	IN	from
their	PP$	their
"	``	"
golden	JJ	golden
paradise	NN	paradise
"	''	"
by	IN	by
greedy	JJ	greedy
landlords	NNS	landlord
bent	VBN	bend
on	IN	on
raising	VBG	raise
rents	NNS	rent
for	IN	for
new	JJ	new
beach	NN	beach
bunnies	NNS	bunny
and	CC	and
boys	NNS	boy
looking	VBG	look
for	IN	for
beachfront	NN	beachfront
property	NN	property
.	SENT	.
the	DT	the
four	CD	four
mobsters	NNS	mobster
,	,	,
bobby	NN	bobby
bartellemeo	NN	<unknown>
(	(	(
richard	NP	Richard
dreyfuss	NP	Dreyfuss
)	)	)
,	,	,
joey	NN	joey
"	``	"
bats	NNS	bat
"	''	"
pistella	NN	<unknown>
(	(	(
burt	NP	Burt
reynolds	NNS	<unknown>
)	)	)
,	,	,
mike	NN	mike
"	``	"
the	DT	the
brick	NN	brick
"	``	"
donatelli	NP	Donatelli
(	(	(
dan	NN	dan
hedaya	NN	<unknown>
)	)	)
,	,	,
and	CC	and
tony	JJ	tony
"	``	"
mouth	NN	mouth
"	''	"
donato	NN	<unknown>
(	(	(
seymour	NN	<unknown>
cassel	NN	<unknown>
)	)	)
decide	VBP	decide
to	TO	to
hatch	VB	hatch
a	DT	a
scheme	NN	scheme
to	TO	to
plant	VB	plant
there	RB	there
a	DT	a
dead	JJ	dead
body	NN	body
heisted	VBN	heist
from	IN	from
the	DT	the
morgue	NN	morgue
in	IN	in
order	NN	order
to	TO	to
drive	VB	drive
out	RP	out
the	DT	the
new	JJ	new
tenants	NNS	tenant
and	CC	and
keep	VB	keep
their	PP$	their
home	NN	home
.	SENT	.
this	DT	this
"	``	"
simple	JJ	simple
plan	NN	plan
"	''	"
suddenly	RB	suddenly
goes	VBZ	go
screwy	JJ	screwy
,	,	,
of	IN	of
course	NN	course
,	,	,
and	CC	and
the	DT	the
boys	NNS	boy
become	VBP	become
involved	VBN	involve
with	IN	with
a	DT	a
stripper	NN	stripper
named	VBN	name
ferris	NN	ferris
(	(	(
jennifer	NN	<unknown>
tilly	NNS	<unknown>
)	)	)
who	WP	who
wants	VBZ	want
her	PP$	her
stepmother	NN	stepmother
killed	VBD	kill
,	,	,
a	DT	a
paranoid	JJ	paranoid
latin	NN	Latin
drug	NN	drug
lord	NN	lord
who	WP	who
's	VBZ	have
convinced	VBN	convince
a	DT	a
mysterious	JJ	mysterious
rival	NN	rival
is	VBZ	be
out	RP	out
to	TO	to
get	VB	get
him	PP	him
,	,	,
and	CC	and
a	DT	a
rat	NN	rat
with	IN	with
its	PP$	its
tail	NN	tail
on	IN	on
fire	NN	fire
.	SENT	.
the	DT	the
crew	NN	crew
works	VBZ	work
as	IN	as
a	DT	a
strong	JJ	strong
comedic	JJ	comedic
vehicle	NN	vehicle
driven	VBN	drive
by	IN	by
a	DT	a
great	JJ	great
ensemble	NN	ensemble
cast	VBN	cast
of	IN	of
talented	JJ	talented
character	NN	character
actors	NNS	actor
and	CC	and
subtle	JJ	subtle
leading	VBG	lead
men	NNS	man
.	SENT	.
instead	RB	instead
of	IN	of
concentrating	VBG	concentrate
on	IN	on
bobby	NN	bobby
's	POS	's
search	NN	search
for	IN	for
his	PP$	his
daughter	NN	daughter
,	,	,
the	DT	the
film	NN	film
gives	VBZ	give
equal	JJ	equal
screen	NN	screen
time	NN	time
to	TO	to
all	DT	all
four	CD	four
wiseguys	NNS	<unknown>
,	,	,
balancing	VBG	balance
the	DT	the
production	NN	production
.	SENT	.
the	DT	the
acting	VBG	act
talents	NNS	talent
of	IN	of
such	JJ	such
screen	NN	screen
veterans	NNS	veteran
as	IN	as
dan	NN	dan
hedaya	NN	<unknown>
,	,	,
seymour	NN	<unknown>
cassel	NN	<unknown>
,	,	,
and	CC	and
the	DT	the
great	JJ	great
,	,	,
great	JJ	great
burt	NP	Burt
reynolds	NNS	<unknown>
are	VBP	be
brought	VBN	bring
out	RP	out
by	IN	by
each	DT	each
character	NN	character
's	POS	's
uniqueness	NN	uniqueness
and	CC	and
synergy	NN	synergy
within	IN	within
the	DT	the
wiseguy	NN	wiseguy
circle	NN	circle
.	SENT	.
a	DT	a
strong	JJ	strong
supporting	VBG	support
cast	NN	cast
including	VBG	include
jeremy	JJ	<unknown>
piven	NN	<unknown>
as	IN	as
a	DT	a
philandering	VBG	philander
boyfriend/	NN	<unknown>
cop/	NN	<unknown>
partner	NN	partner
and	CC	and
miguel	NN	<unknown>
sandoval	NN	<unknown>
as	IN	as
the	DT	the
paranoid	JJ	paranoid
drug	NN	drug
lord	NN	lord
provide	VB	provide
the	DT	the
most	JJS	most
laughs	NNS	laugh
.	SENT	.
the	DT	the
film	NN	film
was	VBD	be
produced	VBN	produce
by	IN	by
barry	NP	Barry
sonnenfeld	NP	Sonnenfeld
and	CC	and
carries	VBZ	carry
a	DT	a
hint	NN	hint
get	VB	get
shorty	NN	shorty
with	IN	with
its	PP$	its
energetic	JJ	energetic
camera	NN	camera
work	NN	work
by	IN	by
michael	NP	Michael
dinner	NN	dinner
,	,	,
emmy	JJ	<unknown>
award-winning	JJ	award-winning
director	NN	director
of	IN	of
the	DT	the
wonder	NN	wonder
years	NNS	year
.	SENT	.
the	DT	the
quick	JJ	quick
script	NN	script
written	VBN	write
by	IN	by
barry	NN	<unknown>
fanaro	NN	<unknown>
,	,	,
screenwriter	NN	screenwriter
of	IN	of
kingpin	NN	kingpin
,	,	,
is	VBZ	be
carried	VBN	carry
by	IN	by
plenty	NN	plenty
of	IN	of
subtly	RB	subtly
dry	JJ	dry
humor	NN	humor
and	CC	and
wit	NN	wit
.	SENT	.
the	DT	the
crew	NN	crew
is	VBZ	be
a	DT	a
prime	JJ	prime
example	NN	example
of	IN	of
how	WRB	how
simple	JJ	simple
and	CC	and
dry-witted	VBD	<unknown>
a	DT	a
comedy	NN	comedy
can	MD	can
get	VB	get
these	DT	these
days	NNS	day
.	SENT	.
the	DT	the
great	JJ	great
thing	NN	thing
is	VBZ	be
that		IN	that
this	DT	this
comedy	NN	comedy
does	VBZ	do
not	RB	not
need	VB	need
to	TO	to
be	VB	be
punctuated	VBN	punctuate
by	IN	by
bodily	JJ	bodily
fluids	NNS	fluid
,	,	,
phallus	NN	phallus
symbols	NNS	symbol
in	IN	in
the	DT	the
head	NN	head
,	,	,
or	CC	or
grandmothers	NNS	grandmother
giving	VBG	give
head	NN	head
in	IN	in
a	DT	a
spa	NN	spa
.	SENT	.
in	IN	in
the	DT	the
steady	JJ	steady
flow	NN	flow
of	IN	of
"	``	"
extreme	JJ	extreme
"	''	"
comedy	NN	comedy
these	DT	these
days	NNS	day
flowing	VBG	flow
from	IN	from
hollywood	NN	<unknown>
like	IN	like
a	DT	a
broken	VBN	break
water	NN	water
main	JJ	main
,	,	,
it	PP	it
's	VBZ	be
the	DT	the
elder	JJR	elder
statesmen	NNS	statesman
like	IN	like
dreyfuss	NN	<unknown>
,	,	,
reynolds	NNS	<unknown>
,	,	,
and	CC	and
hedaya	NN	<unknown>
that	WDT	that
can	MD	can
carry	VB	carry
a	DT	a
comic	JJ	comic
arc	NN	arc
with	IN	with
only	RB	only
a	DT	a
few	JJ	few
weapons	NNS	weapon
of	IN	of
choice	NN	choice
-	:	-
a	DT	a
decent	JJ	decent
script	NN	script
and	CC	and
good	JJ	good
acting	VBG	act
.	SENT	.
