making	VBG	make
a	DT	a
sequel	NN	sequel
to	TO	to
a	DT	a
widely	RB	widely
beloved	JJ	beloved
film	NN	film
is	VBZ	be
a	DT	a
weighty	JJ	weighty
proposition	NN	proposition
indeed	RB	indeed
,	,	,
especially	RB	especially
when	WRB	when
the	DT	the
first	JJ	first
film	NN	film
is	VBZ	be
considered	VBN	consider
by	IN	by
many	JJ	many
to	TO	to
be	VB	be
a	DT	a
masterpiece	NN	masterpiece
.	SENT	.
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
living	VBG	live
up	RP	up
to	TO	to
expectations	NNS	expectation
,	,	,
a	DT	a
filmmaker	NN	filmmaker
is	VBZ	be
almost	RB	almost
doomed	VBN	doom
to	TO	to
some	DT	some
degree	NN	degree
of	IN	of
failure	NN	failure
.	SENT	.
for	IN	for
a	DT	a
sequel	NN	sequel
to	TO	to
live	VB	live
up	RP	up
to	TO	to
or	CC	or
even	RB	even
surpass	VB	surpass
the	DT	the
original	NN	original
's	POS	's
greatness	NN	greatness
is	VBZ	be
very	RB	very
rare	JJ	rare
indeed	RB	indeed
.	SENT	.
and	CC	and
whereas	IN	whereas
"	``	"
babe	NN	babe
:	:	:
pig	NN	pig
in	IN	in
the	DT	the
city	NN	city
"	``	"
misses	VBZ	miss
equaling	VBG	equal
the	DT	the
greatness	NN	greatness
of	IN	of
its	PP$	its
best	JJS	good
picture	NN	picture
nominated	VBD	nominate
predecessor	NN	predecessor
babe	NN	babe
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
worthy	JJ	worthy
companion	NN	companion
piece	NN	piece
.	SENT	.
more	JJR	more
than	IN	than
that	DT	that
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
spectacular	JJ	spectacular
work	NN	work
of	IN	of
art	NN	art
that	WDT	that
deserves	VBZ	deserve
to	TO	to
stand	VB	stand
alone	RB	alone
in	IN	in
its	PP$	its
own	JJ	own
right	NN	right
.	SENT	.
"	''	"
babe	NN	babe
:	:	:
pig	NN	pig
in	IN	in
the	DT	the
city	NN	city
"	``	"
warrants	VBZ	warrant
the	DT	the
classification	NN	classification
of	IN	of
being	VBG	be
recognized	VBN	recognize
with	IN	with
such	JJ	such
classics	NNS	classic
like	IN	like
"	``	"
the	DT	the
godfather	NN	godfather
:	:	:
part	NN	part
ii	NNS	<unknown>
"	''	"
and	CC	and
"	``	"
the	DT	the
empire	NN	empire
strikes	NNS	strike
back	RB	back
"	''	"
as	IN	as
being	VBG	be
one	CD	one
of	IN	of
the	DT	the
greatest	JJS	great
sequels	NNS	sequel
ever	RB	ever
produced	VBN	produce
.	SENT	.
"	''	"
babe	NN	babe
:	:	:
pig	NN	pig
in	IN	in
the	DT	the
city	NN	city
"	``	"
picks	VBZ	pick
up	RP	up
precisely	RB	precisely
where	WRB	where
"	``	"
babe	NN	babe
"	''	"
left	VBN	leave
off	RP	off
.	SENT	.
having	VBG	have
won	VBN	win
the	DT	the
sheep	NN	sheep
herding	NN	herding
competition	NN	competition
,	,	,
farmer	NN	farmer
hoggett	NP	<unknown>
(	(	(
james	NP	James
cromwell	NP	Cromwell
)	)	)
and	CC	and
his	PP$	his
pig	NN	pig
are	VBP	be
elevated	VBN	elevate
to	TO	to
fame	VB	fame
status	NN	status
.	SENT	.
a	DT	a
series	NN	series
of	IN	of
unfortunate	JJ	unfortunate
circumstances	NNS	circumstance
and	CC	and
hilariously	RB	hilariously
freakish	JJ	freakish
events	NNS	event
leads	VBZ	lead
to	TO	to
mrs	NNS	<unknown>
.	SENT	.
hoggett	NN	<unknown>
taking	VBG	take
babe	NN	babe
from	IN	from
the	DT	the
small	JJ	small
country	NN	country
farm	NN	farm
into	IN	into
the	DT	the
big	JJ	big
city	NN	city
.	SENT	.
in	IN	in
doing	VBG	do
so	RB	so
,	,	,
the	DT	the
film	NN	film
transports	VBZ	transport
us	PP	us
into	IN	into
a	DT	a
wonderfully	RB	wonderfully
imaginative	JJ	imaginative
world	NN	world
that	WDT	that
simultaneously	RB	simultaneously
mirrors	VBZ	mirror
and	CC	and
exceeds	VBZ	exceed
the	DT	the
creative	JJ	creative
design	NN	design
seen	VBN	see
