maybe	RB	maybe
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
about	IN	about
this	DT	this
movie	NN	movie
is	VBZ	be
that		IN	that
it	PP	it
's	VBZ	be
not	RB	not
handled	VBN	handle
like	IN	like
the	DT	the
hallmark	NN	hallmark
hall	NN	hall
of	IN	of
fame	NN	fame
movie	NN	movie
of	IN	of
the	DT	the
month	NN	month
,	,	,
because	IN	because
it	PP	it
very	RB	very
well	RB	well
could	MD	could
have	VB	have
been	VBN	be
a	DT	a
manipulative	JJ	manipulative
tearjerker	NN	tearjerker
,	,	,
broadcasted	VBN	broadcast
on	IN	on
abc	NN	<unknown>
on	IN	on
a	DT	a
monday	NN	Monday
night	NN	night
,	,	,
starring	VBG	star
kelly	JJ	<unknown>
martin	NN	martin
and	CC	and
yasmeen	NN	<unknown>
bleeth	NNS	<unknown>
,	,	,
respectively	RB	respectively
.	SENT	.
because	IN	because
it	PP	it
's	VBZ	be
not	RB	not
handled	VBN	handle
like	IN	like
the	DT	the
greatest	JJS	great
story	NN	story
ever	RB	ever
told	VBN	tell
is	VBZ	be
precisely	RB	precisely
why	WRB	why
it	PP	it
's	VBZ	be
so	RB	so
great	JJ	great
.	SENT	.
underneath	IN	underneath
the	DT	the
to-die-for	NN	<unknown>
cinematography	NN	cinematography
,	,	,
the	DT	the
brilliant	JJ	brilliant
acting	NN	acting
,	,	,
and	CC	and
incessantly	RB	incessantly
wonderful	JJ	wonderful
direction	NN	direction
is	VBZ	be
a	DT	a
film	NN	film
of	IN	of
modesty	NN	modesty
,	,	,
not	RB	not
sure	JJ	sure
whether	IN	whether
or	CC	or
not	RB	not
this	DT	this
story	NN	story
is	VBZ	be
totally	RB	totally
great	JJ	great
but	CC	but
with	IN	with
the	DT	the
balls	NNS	ball
to	TO	to
run	VB	run
with	IN	with
it	PP	it
,	,	,
tell	VB	tell
it	PP	it
in	IN	in
a	DT	a
certain	JJ	certain
original	JJ	original
way	NN	way
.	SENT	.
it	PP	it
does	VBZ	do
n't	RB	n't
merely	RB	merely
go	VB	go
from	IN	from
plot	NN	plot
point	NN	point
to	TO	to
plot	VB	plot
point	NN	point
.	SENT	.
it	PP	it
goes	VBZ	go
from	IN	from
character	NN	character
to	TO	to
character	NN	character
.	SENT	.
it	PP	it
obsesses	VBZ	obsess
itself	PP	itself
with	IN	with
the	DT	the
depth	NN	depth
and	CC	and
the	DT	the
style	NN	style
of	IN	of
it	PP	it
all	DT	all
,	,	,
and	CC	and
makes	VBZ	make
the	DT	the
story	NN	story
of	IN	of
a	DT	a
world-reknowned	JJ	<unknown>
cellist	NN	cellist
who	WP	who
contracts	VBZ	contract
ms	NNS	<unknown>
and	CC	and
dies	VBZ	die
prematurely	RB	prematurely
into	IN	into
the	DT	the
story	NN	story
of	IN	of
two	CD	two
sisters	NNS	sister
,	,	,
both	CC	both
musicians	NNS	musician
,	,	,
who	WP	who
have	VBP	have
a	DT	a
totally	RB	totally
unique	JJ	unique
relationship	NN	relationship
.	SENT	.
it	PP	it
's	VBZ	be
that		IN	that
their	PP$	their
relationship	NN	relationship
is	VBZ	be
the	DT	the
center	NN	center
of	IN	of
the	DT	the
story	NN	story
that	WDT	that
makes	VBZ	make
this	DT	this
film	NN	film
transcend	VB	transcend
any	DT	any
cornball	NN	cornball
,	,	,
shamelessly	RB	shamelessly
tired	JJ	tired
tearjerker	NN	tearjerker
qualities	NNS	quality
it	PP	it
could	MD	could
have	VB	have
had	VBN	have
and	CC	and
makes	VBZ	make
this	DT	this
,	,	,
unlike	IN	unlike
"	``	"
patch	NN	patch
adams	NNS	<unknown>
,	,	,
"	``	"
effortlessly	RB	effortlessly
emotional	JJ	emotional
and	CC	and
real	JJ	real
.	SENT	.
in	IN	in
short	JJ	short
,	,	,
this	DT	this
movie	NN	movie
is	VBZ	be
just	RB	just
awesome	JJ	awesome
.	SENT	.
it	PP	it
merely	RB	merely
tells	VBZ	tell
its	PP$	its
story	NN	story
really	RB	really
well	RB	well
,	,	,
and	CC	and
that	DT	that
's	VBZ	be
something	NN	something
that	WDT	that
just	RB	just
has	VBZ	have
to	TO	to
be	VB	be
commended	VBN	commend
these	DT	these
days	NNS	day
,	,	,
when	WRB	when
most	JJS	most
stories	NNS	storey
are	VBP	be
botched	VBN	botch
because	IN	because
they	PP	they
're	VBP	be
not	RB	not
told	VBN	tell
by	IN	by
great	JJ	great
storytellers	NNS	storyteller
.	SENT	.
director	NN	director
anand	NN	<unknown>
tucker	NN	tucker
tells	VBZ	tell
this	DT	this
story	NN	story
well	RB	well
.	SENT	.
he	PP	he
overdramaticizes	VBZ	<unknown>
everything	NN	everything
,	,	,
but	CC	but
still	RB	still
keeps	VBZ	keep
it	PP	it
real	JJ	real
.	SENT	.
the	DT	the
film	NN	film
tells	VBZ	tell
the	DT	the
story	NN	story
of	IN	of
hilary	NN	<unknown>
and	CC	and
jacqueline	NN	<unknown>
du	FW	du
pr	NP	pr
?	SENT	?
(	(	(
rachel	NN	<unknown>
griffiths	NNS	<unknown>
and	CC	and
emily	NN	<unknown>
watson	NN	<unknown>
,	,	,
respectively	RB	respectively
)	)	)
,	,	,
two	CD	two
sisters	NNS	sister
who	WP	who
are	VBP	be
first	RB	first
seen	VBN	see
in	IN	in
childhood	NN	childhood
(	(	(
played	VBN	play
by	IN	by
auriol	NN	<unknown>
evans	NNS	<unknown>
and	CC	and
keely	JJ	<unknown>
flanders	NNS	<unknown>
,	,	,
respectively	RB	respectively
)	)	)
as	IN	as
the	DT	the
very	RB	very
best	JJS	good
of	IN	of
friends	NNS	friend
.	SENT	.
they	PP	they
are	VBP	be
also	RB	also
both	DT	both
musicians	NNS	musician
,	,	,
hilary	JJ	<unknown>
a	DT	a
flutist	NN	flutist
and	CC	and
jackie	NN	<unknown>
a	DT	a
cellist	NN	cellist
,	,	,
and	CC	and
when	WRB	when
it	PP	it
all	RB	all
begins	VBZ	begin
,	,	,
both	CC	both
are	VBP	be
considered	VBN	consider
child	NN	child
prodigies	NNS	prodigy
,	,	,
but	CC	but
hilary	NN	<unknown>
is	VBZ	be
seen	VBN	see
as	IN	as
the	DT	the
better	JJR	good
of	IN	of
the	DT	the
two	CD	two
.	SENT	.
jackie	NN	<unknown>
,	,	,
a	DT	a
bit	NN	bit
jealous	JJ	jealous
,	,	,
works	VBZ	work
and	CC	and
works	VBZ	work
at	IN	at
her	PP$	her
playing	VBG	play
skills	NNS	skill
,	,	,
and	CC	and
soon	RB	soon
the	DT	the
tables	NNS	table
are	VBP	be
turned	VBN	turn
.	SENT	.
when	WRB	when
they	PP	they
both	CC	both
hit	VB	hit
adulthood	NN	adulthood
,	,	,
hilary	NN	<unknown>
strives	VBZ	strive
for	IN	for
a	DT	a
comeback	NN	comeback
,	,	,
while	IN	while
her	PP$	her
sister	NN	sister
is	VBZ	be
playing	VBG	play
in	IN	in
famous	JJ	famous
halls	NNS	hall
around	IN	around
the	DT	the
world	NN	world
,	,	,
but	CC	but
instead	RB	instead
of	IN	of
fame	NN	fame
,	,	,
captures	VBZ	capture
the	DT	the
heart	NN	heart
of	IN	of
a	DT	a
hapless	JJ	hapless
,	,	,
joyful	JJ	joyful
conductor	NN	conductor
,	,	,
kiffer	NP	Kiffer
finzi	NP	<unknown>
(	(	(
david	NN	<unknown>
morissey	NN	<unknown>
,	,	,
in	IN	in
a	DT	a
semi-star-making	JJ	<unknown>
turn	NN	turn
)	)	)
.	SENT	.
they	PP	they
marry	VBP	marry
,	,	,
after	IN	after
a	DT	a
short	JJ	short
courtship	NN	courtship
,	,	,
and	CC	and
move	VB	move
to	TO	to
a	DT	a
lovely	JJ	lovely
country	NN	country
house	NN	house
,	,	,
making	VBG	make
jackie	NN	<unknown>
incredibly	RB	incredibly
jealous	JJ	jealous
since	IN	since
her	PP$	her
cello	NN	cello
playing	NN	playing
becomes	VBZ	become
a	DT	a
symbol	NN	symbol
of	IN	of
her	PP$	her
current	JJ	current
life	NN	life
:	:	:
when	WRB	when
she	PP	she
plays	VBZ	play
,	,	,
she	PP	she
has	VBZ	have
the	DT	the
eyes	NNS	eye
of	IN	of
the	DT	the
world	NN	world
,	,	,
but	CC	but
when	WRB	when
she	PP	she
stops	VBZ	stop
,	,	,
she	PP	she
's	VBZ	be
alone	RB	alone
.	SENT	.
she	PP	she
enters	VBZ	enter
into	IN	into
a	DT	a
shallow	JJ	shallow
relationship	NN	relationship
with	IN	with
an	DT	an
equally	RB	equally
famous	JJ	famous
pianist	NN	pianist
,	,	,
daniel	NN	Daniel
barenboim	NNS	<unknown>
(	(	(
james	NNS	<unknown>
frain	NN	<unknown>
)	)	)
,	,	,
in	IN	in
hopes	NNS	hope
that		IN	that
she	PP	she
may	MD	may
overcloud	VB	overcloud
her	PP$	her
sister	NN	sister
,	,	,
but	CC	but
she	PP	she
eventually	RB	eventually
begins	VBZ	begin
to	TO	to
lose	VB	lose
it	PP	it
,	,	,
and	CC	and
runs	VBZ	run
away	RB	away
to	TO	to
hilary	NN	<unknown>
's	POS	's
country	NN	country
home	NN	home
,	,	,
where	WRB	where
she	PP	she
hopes	VBZ	hope
to	TO	to
gain	VB	gain
admittance	NN	admittance
by	IN	by
hilary	NN	<unknown>
to	TO	to
sleep	VB	sleep
with	IN	with
her	PP$	her
husband	NN	husband
,	,	,
since	IN	since
no	DT	no
one	CD	one
she	PP	she
sleeps	VBZ	sleep
with	IN	with
gives	VBZ	give
her	PP	her
any	DT	any
pleasure	NN	pleasure
.	SENT	.
it	PP	it
's	VBZ	be
all	DT	all
terribly	RB	terribly
melodramtic	JJ	<unknown>
,	,	,
as	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
and	CC	and
by	IN	by
the	DT	the
time	NN	time
jackie	NN	<unknown>
has	VBZ	have
contracted	VBN	contract
ms	NNS	<unknown>
(	(	(
in	IN	in
a	DT	a
brilliantly	RB	brilliantly
edited	VBN	edit
scene	NN	scene
that	WDT	that
surpasses	VBZ	surpass
the	DT	the
breakdown	NN	breakdown
scene	NN	scene
in	IN	in
the	DT	the
semi-smiliar	JJ	<unknown>
"	``	"
shine	NN	shine
"	''	"
in	IN	in
technical	JJ	technical
and	CC	and
emotional	JJ	emotional
devastation	NN	devastation
)	)	)
,	,	,
it	PP	it
would	MD	would
have	VB	have
been	VBN	be
the	DT	the
time	NN	time
that		IN	that
i	NP	i
could	MD	could
easily	RB	easily
call	VB	call
the	DT	the
sign	NN	sign
for	IN	for
melodramatic	JJ	melodramatic
overload	NN	overload
if	IN	if
it	PP	it
had	VBD	have
n't	RB	n't
been	VBN	be
handled	VBN	handle
in	IN	in
such	PDT	such
a	DT	a
way	NN	way
.	SENT	.
