another	DT	another
'independent	JJ	<unknown>
film	NN	film
'	POS	'
,	,	,
this	DT	this
comedy	NN	comedy
,	,	,
which	WDT	which
was	VBD	be
brought	VBN	bring
by	IN	by
miramax	NN	<unknown>
for	IN	for
$5	NP	<unknown>
million	CD	million
,	,	,
is	VBZ	be
good	JJ	good
fun	NN	fun
.	SENT	.
favreau	NP	Favreau
and	CC	and
vaughn	NP	Vaughn
(	(	(
the	DT	the
lost	VBN	lose
world	NN	world
:	:	:
jurassic	JJ	Jurassic
park	NN	park
,	,	,
1997	CD	@card@
)	)	)
play	NN	play
mike	NN	mike
and	CC	and
trent	NN	<unknown>
,	,	,
two	CD	two
everyday	JJ	everyday
20somethings	NNS	<unknown>
on	IN	on
the	DT	the
lookout	NN	lookout
for	IN	for
women	NNS	woman
.	SENT	.
the	DT	the
film	NN	film
just	RB	just
basically	RB	basically
follows	VBZ	follow
their	PP$	their
plight	NN	plight
on	IN	on
the	DT	the
lookout	NN	lookout
for	IN	for
lurve	NN	<unknown>
,	,	,
and	CC	and
along	IN	along
the	DT	the
way	NN	way
we	PP	we
get	VBP	get
to	TO	to
meet	VB	meet
some	DT	some
of	IN	of
their	PP$	their
friends	NNS	friend
,	,	,
see	VB	see
their	PP$	their
attempts	NNS	attempt
at	IN	at
chatting	VBG	chat
up	RP	up
girls	NNS	girl
,	,	,
and	CC	and
just	RB	just
basically	RB	basically
get	VB	get
a	DT	a
insight	NN	insight
into	IN	into
their	PP$	their
lives	NNS	life
.	SENT	.
and	CC	and
all	DT	all
of	IN	of
this	DT	this
is	VBZ	be
great	JJ	great
fun	NN	fun
.	SENT	.
swingers	NNS	swinger
does	VBZ	do
n't	RB	n't
rely	VB	rely
on	IN	on
huge	JJ	huge
special	JJ	special
effects	NNS	effect
,	,	,
or	CC	or
big	JJ	big
name	NN	name
stars	NNS	star
to	TO	to
provide	VB	provide
entertainment	NN	entertainment
.	SENT	.
no	UH	no
,	,	,
it	PP	it
just	RB	just
has	VBZ	have
a	DT	a
great	JJ	great
script	NN	script
and	CC	and
superb	JJ	superb
little	JJ	little
known	VBN	know
actors	NNS	actor
.	SENT	.
the	DT	the
script	NN	script
,	,	,
by	IN	by
favreau	NN	<unknown>
,	,	,
is	VBZ	be
great	JJ	great
.	SENT	.
mike	NN	mike
is	VBZ	be
always	RB	always
missing	VBG	miss
is	VBZ	be
girlfriend	NN	girlfriend
,	,	,
who	WP	who
has	VBZ	have
n't	RB	n't
called	VBN	call
him	PP	him
for	IN	for
six	CD	six
months	NNS	month
,	,	,
and	CC	and
every	DT	every
time	NN	time
he	PP	he
meets	VBZ	meet
a	DT	a
girl	NN	girl
,	,	,
he	PP	he
always	RB	always
end	VBP	end
up	RP	up
telling	VBG	tell
her	PP	her
about	IN	about
the	DT	the
ex	FW	ex
.	SENT	.
the	DT	the
audience	NN	audience
feels	VBZ	feel
for	IN	for
this	DT	this
pathetic	JJ	pathetic
little	JJ	little
man	NN	man
,	,	,
thanks	NNS	thank
to	TO	to
the	DT	the
great	JJ	great
script	NN	script
.	SENT	.
vaughn	NP	Vaughn
is	VBZ	be
'the	JJ	<unknown>
money	NN	money
'	''	'
(	(	(
swingers	NNS	swinger
speak	VBP	speak
for	IN	for
'the	NN	<unknown>
best	JJS	good
'	''	'
)	)	)
as	IN	as
the	DT	the
womanizing	VBG	womanize
trent	NN	<unknown>
,	,	,
always	RB	always
on	IN	on
the	DT	the
lookout	NN	lookout
for	IN	for
a	DT	a
new	JJ	new
girl	NN	girl
.	SENT	.
some	DT	some
of	IN	of
his	PP$	his
chat-up	JJ	<unknown>
lines	NNS	line
are	VBP	be
awful	JJ	awful
,	,	,
but	CC	but
he	PP	he
always	RB	always
seems	VBZ	seem
to	TO	to
get	VB	get
the	DT	the
girl	NN	girl
thanks	NNS	thank
to	TO	to
